cell_id,normalized_delta_preferred_direction,moon_below_horizon
1,-0.1255194072962463,0
2,0.20856886756959694,0
3,0.046164314569741086,0
4,0.21513263581028383,0
5,0.048943302349364885,0
6,-0.02531411158598151,0
7,-0.04750271467680522,0
8,0.26257038330350263,1
9,0.18916628752493775,1
10,-0.2192543862301865,1
11,-0.07173938576607329,1
12,-0.1281978314669124,1
13,-0.19459362751795087,0
14,0.3209318089061566,0
15,-0.2495071458733803,0
16,0.23896148272170398,1
17,0.022456862867387968,1
18,0.05087891443919759,1
19,0.42516220588897013,1
20,-0.020973095520295953,1
