no,barcode,d0,d1,d2,d3,digit_sum,n_nonzero
1,0050,0,0,5,0,5,1
2,1040,1,0,4,0,5,2
3,2030,2,0,3,0,5,2
4,3020,3,0,2,0,5,2
5,4010,4,0,1,0,5,2
6,5000,5,0,0,0,5,1
7,4100,4,1,0,0,5,2
8,3200,3,2,0,0,5,2
9,2300,2,3,0,0,5,2
10,1400,1,4,0,0,5,2
11,0500,0,5,0,0,5,1
12,0410,0,4,1,0,5,2
13,0320,0,3,2,0,5,2
14,0230,0,2,3,0,5,2
15,0140,0,1,4,0,5,2
16,1130,1,1,3,0,5,3
17,2120,2,1,2,0,5,3
18,1220,1,2,2,0,5,3
19,3110,3,1,1,0,5,3
20,2210,2,2,1,0,5,3
21,1310,1,3,1,0,5,3
22,0052,0,0,5,2,7,2
23,1042,1,0,4,2,7,3
24,2032,2,0,3,2,7,3
25,3022,3,0,2,2,7,3
26,4012,4,0,1,2,7,3
27,5002,5,0,0,2,7,2
28,4102,4,1,0,2,7,3
29,3202,3,2,0,2,7,3
30,2302,2,3,0,2,7,3
31,1402,1,4,0,2,7,3
32,0502,0,5,0,2,7,2
33,0412,0,4,1,2,7,3
34,0322,0,3,2,2,7,3
35,0232,0,2,3,2,7,3
36,0142,0,1,4,2,7,3
37,1132,1,1,3,2,7,4
38,2122,2,1,2,2,7,4
39,1222,1,2,2,2,7,4
40,3112,3,1,1,2,7,4
41,2212,2,2,1,2,7,4
42,1312,1,3,1,2,7,4
43,5005,5,0,0,5,10,2
44,4105,4,1,0,5,10,3
45,3205,3,2,0,5,10,3
46,2305,2,3,0,5,10,3
47,1405,1,4,0,5,10,3
48,0505,0,5,0,5,10,2
49,4015,4,0,1,5,10,3
50,3115,3,1,1,5,10,4
51,2215,2,2,1,5,10,4
52,1315,1,3,1,5,10,4
53,0415,0,4,1,5,10,3
54,3025,3,0,2,5,10,3
55,2125,2,1,2,5,10,4
56,1225,1,2,2,5,10,4
57,0325,0,3,2,5,10,3
58,2035,2,0,3,5,10,3
59,1135,1,1,3,5,10,4
60,0235,0,2,3,5,10,3
61,1045,1,0,4,5,10,3
62,0145,0,1,4,5,10,3
63,0055,0,0,5,5,10,2
64,0005,0,0,0,5,5,1
