tejido,panel,gene
Cerebro,30-plex,Slc17a7
Cerebro,30-plex,Gapdh
Cerebro,30-plex,Snap25
Cerebro,30-plex,Gad1
Cerebro,30-plex,Ctgf
Cerebro,30-plex,Nov
Cerebro,30-plex,Plcxd2
Cerebro,30-plex,Pcp4
Cerebro,30-plex,Pmch
Cerebro,30-plex,Cck
Cerebro,30-plex,Enpp2
Cerebro,30-plex,Rasgrf2
Cerebro,30-plex,Rorb
Cerebro,30-plex,Nr4a2
Cerebro,30-plex,Slc1a3
Cerebro,30-plex,Gfap
Cerebro,30-plex,Plp1
Cerebro,30-plex,Rprm
Cerebro,30-plex,Prox1
Cerebro,30-plex,Gad2
Cerebro,30-plex,Aqp4
Cerebro,30-plex,Mbp
Cerebro,30-plex,Lamp5
Cerebro,30-plex,Cx3cr1
Cerebro,30-plex,Vxn
Cerebro,30-plex,Pvalb
Cerebro,30-plex,Sst
Cerebro,30-plex,Vip
Cerebro,30-plex,Apod
Cerebro,30-plex,Rgs4
Embrion,30-plex,Akr1b7
Embrion,30-plex,Acta2
Embrion,30-plex,Neurod1
Embrion,30-plex,Cldn7
Embrion,30-plex,Emx1
Embrion,30-plex,Cdx2
Embrion,30-plex,Col11a1
Embrion,30-plex,Gad2
Embrion,30-plex,Hoxa5
Embrion,30-plex,Pitx2
Embrion,30-plex,Nkx2-1
Embrion,30-plex,Hoxb8
Embrion,30-plex,Smpx
Embrion,30-plex,Afp
Embrion,30-plex,Dlx1
Embrion,30-plex,En2
Embrion,30-plex,Spp1
Embrion,30-plex,Pln
Embrion,30-plex,Myl7
Embrion,30-plex,Tagln
Embrion,30-plex,Myl1
Embrion,30-plex,Apoa1
Embrion,30-plex,Tbx5
Embrion,30-plex,Krt5
Embrion,30-plex,Robo2
Embrion,30-plex,Runx2
Embrion,30-plex,Stmn2
Embrion,30-plex,Tnnt2
Embrion,30-plex,Mef2c
Embrion,30-plex,Wnt5a
Embrion,64-plex,Akr1b7
Embrion,64-plex,Acta2
Embrion,64-plex,Neurod1
Embrion,64-plex,Cldn7
Embrion,64-plex,Emx1
Embrion,64-plex,Cdx2
Embrion,64-plex,Col11a1
Embrion,64-plex,Gad2
Embrion,64-plex,Hoxa5
Embrion,64-plex,Pitx2
Embrion,64-plex,Nkx2-1
Embrion,64-plex,Hoxb8
Embrion,64-plex,Smpx
Embrion,64-plex,Afp
Embrion,64-plex,Dlx1
Embrion,64-plex,En2
Embrion,64-plex,Spp1
Embrion,64-plex,Pln
Embrion,64-plex,Myl7
Embrion,64-plex,Tagln
Embrion,64-plex,Myl1
Embrion,64-plex,Apoa1
Embrion,64-plex,TBX5
Embrion,64-plex,Krt5
Embrion,64-plex,Robo2
Embrion,64-plex,Runx2
Embrion,64-plex,Stmn2
Embrion,64-plex,Tnnt2
Embrion,64-plex,MEF2C
Embrion,64-plex,Wnt5a
Embrion,64-plex,Foxc2
Embrion,64-plex,Pitx1
Embrion,64-plex,Ptgds
Embrion,64-plex,Hoxd11
Embrion,64-plex,Sftpc
Embrion,64-plex,Dmrt2
Embrion,64-plex,Hba-X
Embrion,64-plex,Col2a1
Embrion,64-plex,Fabp7
Embrion,64-plex,Ttr
Embrion,64-plex,Sncg
Embrion,64-plex,Alx1
Embrion,64-plex,Dach1
Embrion,64-plex,Shisa3
Embrion,64-plex,Myh3
Embrion,64-plex,Myh11
Embrion,64-plex,Cnpy1
Embrion,64-plex,Gabrp
Embrion,64-plex,Gjb2
Embrion,64-plex,Htr2c
Embrion,64-plex,Myh6
Embrion,64-plex,Myl2
Embrion,64-plex,Nppc
Embrion,64-plex,Ttn
Embrion,64-plex,Wwp2
Embrion,64-plex,Nkx2-5
Embrion,64-plex,Pax6
Embrion,64-plex,Sox2
Embrion,64-plex,Bmp4
Embrion,64-plex,Actc1
Embrion,64-plex,Otx2
Embrion,64-plex,Cdh1
Embrion,64-plex,Shox2
Embrion,64-plex,Hand2
