time_s,slip_m
0.0000000000,0.0000000000
0.0111111111,-0.0000000000
0.0222222222,-0.0000000000
0.0333333333,0.0000000000
0.0444444444,-0.0055843046
0.0555555556,-0.0251547024
0.0666666667,0.0065652934
0.0777777778,0.0122166368
0.0888888889,0.0048777376
0.1000000000,-0.0123058078
0.1111111111,-0.0490003038
0.1222222222,-0.0856947997
0.1333333333,-0.1198456072
0.1444444444,-0.0846188910
0.1555555556,-0.0493921749
0.1666666667,-0.0141654588
0.1777777778,-0.0221136046
0.1888888889,0.0025064296
0.2000000000,0.0223073673
0.2111111111,0.0149684681
0.2222222222,0.0076295689
0.2333333333,0.0002906697
0.2444444444,0.0000000000
0.2555555556,-0.0000000000
0.2666666667,0.0094994762
0.2777777778,0.0290698741
0.2888888889,0.0486402719
0.3000000000,0.0682106698
0.3111111111,0.0962451524
0.3222222222,0.1183434894
0.3333333333,0.1222575690
0.3444444444,0.1255804153
0.3555555556,0.1193637460
0.3666666667,0.1120248468
0.3777777778,0.1104144786
0.3888888889,0.1128607784
0.4000000000,0.1190892823
0.4111111111,0.1557837783
0.4222222222,0.1789617896
0.4333333333,0.1909641344
0.4444444444,0.2056419327
0.4555555556,0.2283268649
0.4666666667,0.2929091778
0.4777777778,0.3574914907
0.4888888889,0.4220738036
0.5000000000,0.4882696205
0.5111111111,0.5777588817
0.5222222222,0.5899903804
0.5333333333,0.6022218790
0.5444444444,0.6216500980
0.5555555556,0.6436667956
0.5666666667,0.6478417593
0.5777777778,0.6556930235
0.5888888889,0.7339746149
0.6000000000,0.7484614367
0.6111111111,0.7455258770
0.6222222222,0.7425903173
0.6333333333,0.7610326743
0.6444444444,0.8137640551
0.6555555556,0.8724752486
0.6666666667,0.9134884423
0.6777777778,0.9058967457
0.6888888889,0.9499301408
0.7000000000,0.9939635360
0.7111111111,1.0518282006
0.7222222222,1.0909689963
0.7333333333,1.1309131937
0.7444444444,1.1720110292
0.7555555556,1.2131088647
0.7666666667,1.2606959391
0.7777777778,1.3431823394
0.7888888889,1.3823231351
0.8000000000,1.4649957933
0.8111111111,1.5171140910
0.8222222222,1.5444728647
0.8333333333,1.5200747750
0.8444444444,1.5151821755
0.8555555556,1.5102895760
0.8666666667,1.5559209757
0.8777777778,1.6087094034
0.8888888889,1.6576353980
0.9000000000,1.7065613927
0.9111111111,1.7482897569
0.9222222222,1.7874305526
0.9333333333,1.8240216191
0.9444444444,1.8533772159
0.9555555556,1.8827328127
0.9666666667,1.9120884095
0.9777777778,1.8637295540
0.9888888889,1.9004240500
1.0000000000,1.9371185459
1.0111111111,1.9592690627
1.0222222222,1.9943879194
1.0333333333,2.0226321780
1.0444444444,2.0418755230
1.0555555556,2.1299423133
1.0666666667,2.1710737401
1.0777777778,2.1930904376
1.0888888889,2.2168362497
1.1000000000,2.2451873668
1.1111111111,2.2720966639
1.1222222222,2.2990059609
1.1333333333,2.3144712377
1.1444444444,2.3291490361
1.1555555556,2.3438268345
1.1666666667,2.3529068601
1.1777777778,2.3587779794
1.1888888889,2.3717224072
1.2000000000,2.4216269217
1.2111111111,2.4585399865
1.2222222222,2.4830029838
1.2333333333,2.5081636015
1.2444444444,2.5511663753
1.2555555556,2.5903071710
1.2666666667,2.6294479667
1.2777777778,2.7045814647
1.2888888889,2.7191327276
1.3000000000,2.7264716268
1.3111111111,2.7338105260
1.3222222222,2.7366677970
1.3333333333,2.7366677970
1.3444444444,2.7396549040
1.3555555556,2.7616716015
1.3666666667,2.7836882991
1.3777777778,2.8089374471
1.3888888889,2.8174477441
1.4000000000,2.8223403436
1.4111111111,2.8272329430
1.4222222222,2.8321255425
1.4333333333,2.8544038851
1.4444444444,2.8837594818
1.4555555556,2.9096554846
1.4666666667,2.9243332830
1.4777777778,2.9347126355
1.4888888889,2.9420515347
