time_s,sliprate_m_per_s
0.0833333333,-0.0849927527
0.0888888889,-0.1243890259
0.0944444444,0.0132693330
0.1000000000,0.1115368364
0.1055555556,0.0709032698
0.1111111111,0.0343330600
0.1166666667,0.0012457272
0.1222222222,0.0000000000
0.1277777778,-0.0000000000
0.1333333333,0.0356230358
0.1388888889,0.1046515466
0.1444444444,0.1683701720
0.1500000000,0.2273688992
0.1555555556,0.3093594184
0.1611111111,0.3672728983
0.1666666667,0.3667727070
0.1777777778,0.3767412458
0.1888888889,0.3580912381
0.2000000000,0.3360745405
0.2111111111,0.3479963497
0.2222222222,0.4140464425
0.2333333333,0.3375719667
0.2444444444,0.4307014244
0.2555555556,0.5222521558
0.2666666667,0.6098098265
0.2777777778,0.7639267095
0.2888888889,0.9420649939
0.3000000000,1.2382643549
0.3111111111,1.3263311452
0.3222222222,1.4143979356
0.3333333333,1.5073052380
0.3444444444,1.7996174589
0.3555555556,1.7624518523
0.3666666667,1.7397435352
0.3777777778,1.8200448899
0.3888888889,1.9081116802
0.4000000000,1.9426532688
0.4111111111,1.9670790704
0.4222222222,2.2019238446
0.4333333333,2.2168858815
0.4444444444,2.1493680089
0.4555555556,2.0818501363
0.4666666667,2.0784660136
0.4777777778,2.1525567080
0.4888888889,2.2623952775
0.5000000000,2.3736926200
0.5111111111,2.3409489911
0.5222222222,2.4916991844
0.5333333333,2.6458160674
0.5444444444,2.8242411659
0.5555555556,2.9343246538
0.5666666667,3.0354717342
0.5777777778,3.0486817527
0.5888888889,3.1024412254
0.6000000000,3.2091954141
0.6111111111,3.4126212199
0.6222222222,3.4619888106
0.6333333333,3.5162598465
0.6444444444,3.4788678009
0.6555555556,3.3671971833
0.6666666667,3.0954154633
0.6777777778,2.8122698814
0.6888888889,2.7608975871
0.7000000000,2.8610972900
0.7111111111,2.9611779162
0.7222222222,3.0419058073
0.7333333333,3.1761589002
0.7444444444,3.2777902003
0.7555555556,3.1603678132
0.7666666667,3.2266805473
0.7777777778,3.3235540167
0.7888888889,3.4204274861
0.8000000000,3.4531672055
0.8111111111,3.1498964968
0.8222222222,3.0838464040
0.8333333333,3.0708903108
0.8444444444,3.1601169512
0.8555555556,3.1333733358
0.8666666667,3.0860059261
0.8777777778,2.9701419672
0.8888888889,3.1169199511
0.9000000000,3.1204816391
0.9111111111,3.0632382254
0.9222222222,3.0111821551
0.9333333333,2.9534742834
0.9444444444,2.7867429736
