idx,dimension_spose
0,metallic/artificial
1,food-related
2,animal-related
3,textile
4,plant-related
5,house-related/furnishing-related
6,valuable/precious
7,transportation-/movement-related
8,body-/people-related
9,wood-related/brown
10,electronics / technology
11,colorful / playful
12,outdoors
13,circular / round
14,paper-related / flat
15,hobby-related / game-related / playing-related
16,tools-related / handheld / elongated
17,fluid-related / drink-related
18,water-related
19,oriented / many things
20,powdery / earth-related / waste-related
21,white
22,coarse-scale pattern / many things
23,red
24,long / thin
25,weapon-related / war-related / dangerous
26,black
27,household-related
28,feminine (stereotypical)
29,body part-related
30,tubular
31,music-related / hearing-related / hobby-related / loud
32,grid-related / grating-related
33,repetitive / spiky
34,construction-related / craftsmanship-related / housework-related
35,spherical / voluminous
36,string-related / stringy / curved
37,seating / standing / lying-related
38,flying-related / sky-related
39,bug-related / non-mammalian / disgusting
40,transparent / shiny / crystalline
41,sand colored
42,green
43,bathroom-related / wetness-related
44,yellow
45,heat-related / fire-related / light-related
46,beams-related  mesh-related
47,foot-related / walking-related
48,box-related / container
49,stick-shaped / container
50,head-related
51,upright / elongated and volumous
52,pointed / spiky
53,child-related / toy-related / cute
54,farm-related / historical
55,seeing-related
56,medicine-related / health-related
57,sweet / dessert-related
58,orange
59,thin / flat / wrapping
60,cylindrical / conical / cushioning
61,coldness-related / winter-related
62,measurement-related / numbers-related
63,fluffy / soft
64,masculine (stereotypical)
65,fine-grained pattern
