condicion,replica,celulas_por_mm2
hibridos_con_luz,1,215.04
hibridos_con_luz,2,334.99
hibridos_con_luz,3,410.23
hibridos_con_luz,4,300.64
hibridos_sin_luz,1,107.91
hibridos_sin_luz,2,126.84
hibridos_sin_luz,3,173.41
hibridos_sin_luz,4,77.23
hibridos_sin_luz,5,75.03
celulas_solas_con_luz,1,98.91
celulas_solas_con_luz,2,11.43
celulas_solas_con_luz,3,26.33
celulas_solas_con_luz,4,70.92
celulas_solas_con_luz,5,173.39
celulas_solas_sin_luz,1,59.8
celulas_solas_sin_luz,2,44.4
celulas_solas_sin_luz,3,95.2
celulas_solas_sin_luz,4,19.4
