muestra,tipo,reservoir,d17O,d17O_95CI,mu50Ti,mu50Ti_95CI,mu54Cr,mu54Cr_95CI,mu54Fe,mu54Fe_95CI,mu96Zr,mu96Zr_95CI,mu94Mo,mu94Mo_95CI
CI,Chondrites,CC,0.41,0.11,191,6,147,9,0,2,81,31,76,38
CM,Chondrites,CC,-2.92,0.44,295,10,98,6,22.8713,6.0601,104,22,406,84
CV,Chondrites,CC,-3.62,0.48,335,14,84,13,26.5083,5.7056,114,13,136,26
CO,Chondrites,CC,-4.32,0.26,341,35,91,3,18.5512,3,84,21,130,52
CK,Chondrites,CC,-4.47,0.21,360,51,52,6,26,6.1,77,36,164,14
CR,Chondrites,CC,-1.48,0.55,222,24,127.846,6,32.5934,7.2402,119,32,213,89
CH,Chondrites,CC,-1.55,0.27,211,17,149,5,15.5,6.6,111,9,150,36
EC,Chondrites,NC,-0.02,0.07,-19.752,7.625,4,4,6.4,0.7,14,5,37,7
OC,Chondrites,NC,0.99,0.04,-66.102,5.837,-38,2,10.6,2.6,37,7,68,8
R,Chondrites,NC,2.64,0.15,-46.5,7.5,-3,7,10,6,25,3,63,22
HED,Differentiated meteorites,NC,-0.293,0.079,-123.417,5.36,-67,7,12,3,39,8,,
Ureilites,Differentiated meteorites,NC,-1.16,0.15,-199.75,32.49,-88,3,14,3,,,89,9
Acap.-Lodr.,Differentiated meteorites,NC,-1.06,0.07,-151.667,29.687,-74,5,,,32,4,95,11
Angrites,Differentiated meteorites,NC,-0.11,0.11,-117.692,7.549,-43,5,,,50,5,75,11
Aubrites,Differentiated meteorites,NC,0.06,0.14,-6,10.635,5,5,,,21,4,48,5
Mesosiderites,Differentiated meteorites,NC,-0.24,0.06,-126,10,-70,6,,,35,6,106,8
Winonaites,Differentiated meteorites,NC,-0.49,0.07,,,,,,,2,9,26,15
IABs,Differentiated meteorites,NC,-0.48,0.05,-32,7,-4,4,-1,4,,,4,10
ICs,Differentiated meteorites,NC,,,,,,,10,5,,,96,10
IIABs,Differentiated meteorites,NC,-0.66,0.13,,,-82,8,16.21,3.55,,,116,4
IIEs,Differentiated meteorites,NC,0.57,0.05,,,-59,13,,,,,71,10
IIIABs,Differentiated meteorites,NC,-0.2,0.04,,,-81,5,11,6,,,101,4
IVAs,Differentiated meteorites,NC,1.17,0.1,,,-47,6,7.99,3.66,,,74,8
MG Pallasites,Differentiated meteorites,NC,-0.28,0.03,-137,8,-72,10,,,43,18,100,3
Eagle Station,Differentiated meteorites,CC,-4.69,0.1,,,,,,,,,127,8
Earth's mantle,Body,EARTH,0.002,0.004,0,1,10,13,0.4047,1.4187,1,2,4,6
Moon,Body,MOON,-0.001,0.003,-3,4,9,8,2,3,9,6,,
