outcome,organ,n_cases,n,beta,se,hr,ci_lower,ci_upper,p_value,outcome_label,organ_label
acd,Organismal,1151,43579,0.306971417241124,0.0393285733264982,1.35930211491213,1.25846009909041,1.46822473031928,5.93589272372723e-15,All-cause dementia,Organismal
acd,Artery,1151,43579,0.149885648614802,0.0454991662618725,1.16170139296918,1.0625895720988,1.2700577550003,0.000986845298836885,All-cause dementia,Artery
acd,Brain,1151,43579,0.631758422025671,0.043385551314844,1.88091511559581,1.72758469680515,2.04785425491402,4.9367375870639e-48,All-cause dementia,Brain
acd,Heart,1151,43579,0.180862030830354,0.0352299140674781,1.19824984635171,1.11830334710783,1.28391164883409,2.84005628584453e-07,All-cause dementia,Heart
acd,Immune,1151,43579,0.0522124190267639,0.0380209086364055,1.05359952333022,0.977939773081236,1.13511280154207,0.16967295487569,All-cause dementia,Immune
acd,Intestine,1151,43579,0.154121335082835,0.0404999773970506,1.16663243163382,1.07760699568974,1.26301261590148,0.000141536777906883,All-cause dementia,Intestine
acd,Kidney,1151,43579,-0.0120454326361685,0.038840537051999,0.988026823179028,0.915603849653279,1.06617835179582,0.756465684626959,All-cause dementia,Kidney
acd,Liver,1151,43579,0.0747878884645505,0.0377558883042947,1.07765554346834,1.0007880175066,1.16042703355049,0.0476106614683394,All-cause dementia,Liver
acd,Lung,1151,43579,-0.0171674908057042,0.0355887811307223,0.982979030896426,0.91675023097987,1.05399239894306,0.629532542290904,All-cause dementia,Lung
acd,Muscle,1151,43579,0.107884515159429,0.0371228223432356,1.1139190971888,1.0357492940194,1.19798851155063,0.00365905207057975,All-cause dementia,Muscle
acd,Pancreas,1151,43579,0.0458770830837103,0.0374837254344542,1.04694571570879,0.972787449984289,1.12675727021221,0.220982389417682,All-cause dementia,Pancreas
ad,Organismal,611,43613,0.362048520081715,0.0550910288747163,1.43626862814095,1.28926474093956,1.60003411764644,4.9702748245221e-11,Alzheimer's disease,Organismal
ad,Artery,611,43613,0.196476723568094,0.0652371706562707,1.21710699064049,1.07102294873733,1.38311642006586,0.00259763800058825,Alzheimer's disease,Artery
ad,Brain,611,43613,0.770210244949998,0.061606546636649,2.1602203814703,1.91451367033516,2.43746083865923,7.27192437628214e-36,Alzheimer's disease,Brain
