organ_x,organ_y,r
Artery,Artery,1.0
Artery,Brain,0.4185005364413297
Artery,Heart,0.3009387740503915
Artery,Immune,0.4397103381176026
Artery,Intestine,0.4196416965553807
Artery,Kidney,0.2710790624468983
Artery,Liver,0.2732252207082
Artery,Lung,0.4007379311095119
Artery,Muscle,0.2083493306230834
Artery,Pancreas,0.1792789197075288
Brain,Artery,0.4185005364413297
Brain,Brain,1.0
Brain,Heart,0.1170368554770549
Brain,Immune,0.5555366231918768
Brain,Intestine,0.2901014512450865
Brain,Kidney,0.1137077492300846
Brain,Liver,0.2529755149157274
Brain,Lung,0.2392943357590807
Brain,Muscle,0.1956749300922345
Brain,Pancreas,0.1990042829368585
Heart,Artery,0.3009387740503915
Heart,Brain,0.1170368554770549
Heart,Heart,1.0
Heart,Immune,0.1247157853171714
Heart,Intestine,0.2085933154675662
Heart,Kidney,0.1877808832207167
Heart,Liver,0.03140446728025395
Heart,Lung,0.0853648116930543
Heart,Muscle,0.549388984355211
Heart,Pancreas,0.06074796465912738
Immune,Artery,0.4397103381176026
Immune,Brain,0.5555366231918768
Immune,Heart,0.1247157853171714
Immune,Immune,1.0
Immune,Intestine,0.3092972664139534
Immune,Kidney,0.3796830322439221
Immune,Liver,0.393318815863278
Immune,Lung,0.1947232832741434
Immune,Muscle,0.1534164507799372
Immune,Pancreas,0.1304984653861553
Intestine,Artery,0.4196416965553807
Intestine,Brain,0.2901014512450865
Intestine,Heart,0.2085933154675662
Intestine,Immune,0.3092972664139534
Intestine,Intestine,1.0
Intestine,Kidney,0.2681613985303733
Intestine,Liver,0.2148346878405583
Intestine,Lung,0.267393616973144
Intestine,Muscle,0.17726599729683
Intestine,Pancreas,0.22682538062758
Kidney,Artery,0.2710790624468983
Kidney,Brain,0.1137077492300846
Kidney,Heart,0.1877808832207167
Kidney,Immune,0.3796830322439221
Kidney,Intestine,0.2681613985303733
Kidney,Kidney,1.0
Kidney,Liver,0.2592567889144455
Kidney,Lung,0.05551916747519933
Kidney,Muscle,0.2454515531803482
Kidney,Pancreas,0.05040407894894056
Liver,Artery,0.2732252207082
Liver,Brain,0.2529755149157274
Liver,Heart,0.03140446728025395
Liver,Immune,0.393318815863278
Liver,Intestine,0.2148346878405583
Liver,Kidney,0.2592567889144455
Liver,Liver,1.0
Liver,Lung,0.09595984276477422
Liver,Muscle,0.06630885233598775
Liver,Pancreas,0.1175751207749034
Lung,Artery,0.4007379311095119
Lung,Brain,0.2392943357590807
Lung,Heart,0.0853648116930543
Lung,Immune,0.1947232832741434
Lung,Intestine,0.267393616973144
Lung,Kidney,0.05551916747519933
Lung,Liver,0.09595984276477422
Lung,Lung,1.0
Lung,Muscle,0.03721308952823161
Lung,Pancreas,0.1290456722445203
Muscle,Artery,0.2083493306230834
Muscle,Brain,0.1956749300922345
Muscle,Heart,0.549388984355211
Muscle,Immune,0.1534164507799372
Muscle,Intestine,0.17726599729683
Muscle,Kidney,0.2454515531803482
Muscle,Liver,0.06630885233598775
Muscle,Lung,0.03721308952823161
Muscle,Muscle,1.0
Muscle,Pancreas,0.06791958773410921
Pancreas,Artery,0.1792789197075288
Pancreas,Brain,0.1990042829368585
Pancreas,Heart,0.06074796465912738
Pancreas,Immune,0.1304984653861553
Pancreas,Intestine,0.22682538062758
Pancreas,Kidney,0.05040407894894056
Pancreas,Liver,0.1175751207749034
Pancreas,Lung,0.1290456722445203
Pancreas,Muscle,0.06791958773410921
Pancreas,Pancreas,1.0
