organ,r2_ukb,r2_ckb,r2_nhs
Organismal,0.940255050270432,0.91882734547835,0.850124515268544
Artery,0.748879692425412,0.77828121755235,0.541200081031314
Brain,0.771829425244875,0.75979457196758,0.614024356724437
Heart,0.361566738408518,0.454379956839563,0.225502512722496
Immune,0.616947627888697,0.636795300278882,0.454491562928147
Intestine,0.449690230280641,0.594173438917884,0.335636727005227
Kidney,0.244443459145699,0.279995480426424,0.250081218181067
Liver,0.673426025948324,0.645574497309778,0.435628671483011
Lung,0.38665907546684,0.426572966129602,0.273785133324553
Muscle,0.349117250521171,0.450492158866741,0.192769951808155
Pancreas,0.375003383832279,0.482486167255,0.275664681200451
