Plot,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
EP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP04,,,,,,,,,,,,,,,,,,,,15/12/1990,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP19,,,,,,,,,,,,,,,,1/2/1986,,,,,,,,,,,,,,,,,,,,,,,,,2/2/2011,,,,,,,,
EP29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,2/2/2011,,,,,,,,
EP30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP31,,,,,,,,,,,,,,,,1/2/1986,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/4/2006,,,,,,,,,,,,,
EP33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP34,,,,,,,,,,,,,,,,1/2/1986,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP35,,,,,,,,,,,,,,,,1/2/1986,,,,,,,,,,,,,14/2/1999,,,,,,,,,,,,,,,,,,,,
EP37,,,,,,,,,,,,,,,,,,,15/2/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/3/2017,,
EP38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/2/1999,,,,,,,,,,,,,,,,,,,,
EP42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/3/2005,19/4/2006,,,,,,,,,,,,,15/5/2019
EP43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/3/2006,,,,,,,,,,,,,
EP44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
