plot,elevation,lat,long
EP02,710,-17.14616,145.58688
EP03,1120,-17.08783,145.59161
EP04,110,-16.99486,145.83122
EP09,800,-17.11544,145.63272
EP18,1100,-16.52264,145.26656
EP19,620,-18.49892,145.75628
EP29,1200,-17.54569,145.54811
EP30,1060,-16.27767,145.07139
EP31,80,-17.52669,145.82919
EP32,450,-13.73922,143.34822
EP33,720,-17.28642,145.57183
EP34,380,-17.40858,145.77078
EP35,230,-16.35542,145.33667
EP37,920,-21.23492,148.55153
EP38,1000,-17.35025,145.47919
EP40,800,-16.28017,145.10231
EP41,15,-16.13658,145.44139
EP42,60,-12.74061,143.25339
EP43,1120,-17.30869,145.43725
EP44,910,-16.21794,145.08522
