region,ipm_clpahs_kg,ipm_brpahs_kg,stack_gas_clpahs_kg,stack_gas_brpahs_kg
Sub-Saharan Africa,1.12115,1.1749,19.50203,1.43768
South-eastern Asia,3.1042,0.40497,43.6401,3.04079
Central Asia,0.39505,0.31192,62.77988,3.29439
Western Asia,2.4592,0.32888,88.84723,5.1043
Rest of  Europe,3.36939,4.07119,92.33192,6.38946
Northern Africa,1.65273,10.19534,136.15767,7.33621
Northern America,3.21643,0.23883,215.37074,12.85446
Eastern Europe,2.53813,6.55006,246.08845,13.5953
Southern Asia,5.40299,0.46322,353.05326,21.49937
Latin America and the Caribbean,3.74745,0.13672,730.5438,38.7082
Eastern Asia,31.67611,0.11496,775.45711,43.76528
Oceania,4.76529,0.66766,1321.81372,68.90782
