especie,subgenero,sindrome,fraccion,etiqueta,prevalencia_pct,toxina_uniprot,familia_toxina,familia_mayor
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj1,sNTx-1,74.26,P01417,sNTx (α-neurotoxina corta),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj1,sNTx-1,14.46,P18328,AgTx (toxina aminérgica),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj1,sNTx-1,5.61,P60237,AgTx (toxina aminérgica),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj6B,KUN-1,57.71,P01407,AgTx (toxina aminérgica),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj6B,KUN-1,35.05,P00979,KUN (inhibidor Kunitz),KUN
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj6B,KUN-1,4.13,P0DQP2,AgTx (toxina aminérgica),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj10,AgTx-1,41.38,P0DQP2,AgTx (toxina aminérgica),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj10,AgTx-1,30.27,P01407,AgTx (toxina aminérgica),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj10,AgTx-1,22.3,P25682,Og XI (grupo huérfano XI),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj13A,Og XI-1,89.89,P01405,Og XI (grupo huérfano XI),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj13A,Og XI-1,3.48,P01407,AgTx (toxina aminérgica),3FTx
Dendroaspis jamesoni,Dendroaspis (mambas),Neurotóxico,Dj13A,Og XI-1,1.18,C0HJB0,Mambalgin,3FTx
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp4,sNTx-2,72.37,P01416,sNTx (α-neurotoxina corta),3FTx
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp4,sNTx-2,19.15,Q53B57,lNTx (α-neurotoxina larga),3FTx
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp4,sNTx-2,4.16,P00981,KUN (inhibidor Kunitz),KUN
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp5,lNTx-1,42.85,P00981,KUN (inhibidor Kunitz),KUN
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp5,lNTx-1,19.44,P01416,sNTx (α-neurotoxina corta),3FTx
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp5,lNTx-1,18.9,Q53B57,lNTx (α-neurotoxina larga),3FTx
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp6,lNTx-2,31.52,P00981,KUN (inhibidor Kunitz),KUN
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp6,lNTx-2,26.51,P00984,KUN (inhibidor Kunitz),KUN
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp6,lNTx-2,20.26,P01390,lNTx (α-neurotoxina larga),3FTx
Dendroaspis polylepis,Dendroaspis (mambas),Neurotóxico,Dp7,lNTx-3,30.71,C0HJD7,lNTx (α-neurotoxina larga),3FTx
