time_h,group,mouse_id,bgl_mg_dl
0,OP-I,1,604.728
0,OP-I,2,361.384
0,OP-I,3,604.728
0,OP-I,4,310.536
0,OP-I,5,388.624
0,OP-I,6,546.62
0,OP-I,7,533.95
0,OP-I,8,544.81
0,insulin(s.c.),1,432.59
0,insulin(s.c.),2,351.14
0,insulin(s.c.),3,336.66
0,insulin(s.c.),4,409.06
0,insulin(s.c.),5,602.73
0,insulin(s.c.),6,532.14
0,insulin(s.c.),7,483.27
0,insulin(s.c.),8,597.3
0,PEG-I,1,424.944
0,PEG-I,2,314.168
0,PEG-I,3,461.264
0,PEG-I,4,408.6
0,PEG-I,5,604.728
0,PEG-I,6,537.57
0,PEG-I,7,392.77
0,PEG-I,8,450.69
0,insulin(transd),1,395.888
0,insulin(transd),2,499.4
0,insulin(transd),3,446.736
0,insulin(transd),4,386.808
0,insulin(transd),5,334.144
0,insulin(transd),6,323.99
0,insulin(transd),7,562.91
0,insulin(transd),8,394.58
0,PBS,1,304.08
0,PBS,2,409.6
0,PBS,3,602.73
0,PBS,4,602.73
0,PBS,5,342.09
0,PBS,6,405.44
0,PBS,7,575.58
0,PBS,8,494.13
0.5,OP-I,1,450.368
0.5,OP-I,2,167.072
0.5,OP-I,3,401.336
0.5,OP-I,4,139.832
0.5,OP-I,5,128.936
0.5,OP-I,6,387.34
0.5,OP-I,7,376.48
0.5,OP-I,8,275.12
0.5,insulin(s.c.),1,175.57
0.5,insulin(s.c.),2,175.57
0.5,insulin(s.c.),3,97.74
0.5,insulin(s.c.),4,235.3
0.5,insulin(s.c.),5,168.33
0.5,insulin(s.c.),6,266.07
0.5,insulin(s.c.),7,186.43
0.5,insulin(s.c.),8,190.05
0.5,PEG-I,1,357.752
0.5,PEG-I,2,315.984
0.5,PEG-I,3,481.24
0.5,PEG-I,4,468.528
0.5,PEG-I,5,604.728
0.5,PEG-I,6,514.04
0.5,PEG-I,7,381.91
0.5,PEG-I,8,448.88
0.5,insulin(transd),1,374.096
0.5,insulin(transd),2,604.728
0.5,insulin(transd),3,604.728
0.5,insulin(transd),4,254.24
0.5,insulin(transd),5,245.16
0.5,insulin(transd),6,342.09
0.5,insulin(transd),7,550.24
0.5,insulin(transd),8,378.29
0.5,PBS,1,295.03
0.5,PBS,2,398.2
0.5,PBS,3,602.73
0.5,PBS,4,602.73
0.5,PBS,5,356.4
0.5,PBS,6,376.48
0.5,PBS,7,562.91
0.5,PBS,8,488.7
1,OP-I,1,279.664
1,OP-I,2,88.984
1,OP-I,3,237.896
1,OP-I,4,132.13
1,OP-I,5,79.64
1,OP-I,6,213.58
1,OP-I,7,184.62
1,OP-I,8,142.99
1,insulin(s.c.),1,81.45
1,insulin(s.c.),2,92.31
1,insulin(s.c.),3,47.06
1,insulin(s.c.),4,128.51
1,insulin(s.c.),5,124.89
1,insulin(s.c.),6,74.21
1,insulin(s.c.),7,90.5
1,insulin(s.c.),8,81.45
1,PEG-I,1,345.04
1,PEG-I,2,281.48
1,PEG-I,3,390.44
1,PEG-I,4,392.256
1,PEG-I,5,459.448
1,PEG-I,6,532.14
1,PEG-I,7,389.15
1,PEG-I,8,459.74
1,insulin(transd),1,332.328
1,insulin(transd),2,533.904
1,insulin(transd),3,501.216
1,insulin(transd),4,332.328
1,insulin(transd),5,272.4
1,insulin(transd),6,378.29
1,insulin(transd),7,543.0
1,insulin(transd),8,400.01
1,PBS,1,372.86
1,PBS,2,409.6
1,PBS,3,506.8
1,PBS,4,602.73
1,PBS,5,365.62
1,PBS,6,392.77
1,PBS,7,579.2
1,PBS,8,456.12
2,OP-I,1,208.84
