material,temperature_K,mass_pct
HD,599.56,100.00341
HOPG,599.623,98.53635
HD,600.56,100.00587
HOPG,600.623,98.50946
HD,601.56,100.00795
HOPG,601.623,98.50224
HD,602.56,100.00993
HOPG,602.623,98.52132
HD,603.56,100.00959
HOPG,603.623,98.55717
HD,604.56,100.00799
HOPG,604.623,98.59212
HD,605.56,100.01409
HOPG,605.623,98.61272
HD,606.56,100.02191
HOPG,606.623,98.61289
HD,607.56,100.02988
HOPG,607.623,98.59424
HD,608.56,100.03716
HOPG,608.623,98.56849
HD,609.56,100.03469
HOPG,609.623,98.54954
HD,610.56,100.01902
HOPG,610.623,98.5403
HD,611.56,100.00343
HOPG,611.623,98.53354
HD,612.56,99.99734
HOPG,612.623,98.5232
HD,613.56,99.99343
HOPG,613.623,98.50805
HD,614.56,99.98698
HOPG,614.623,98.49074
HD,615.56,99.9865
HOPG,615.623,98.47842
HD,616.56,99.98284
HOPG,616.623,98.47901
HD,617.56,99.97336
HOPG,617.623,98.49277
HD,618.56,99.96804
HOPG,618.623,98.5111
HD,619.56,99.96735
HOPG,619.623,98.52386
HD,620.56,99.96148
HOPG,620.623,98.52692
HD,621.56,99.9594
HOPG,621.623,98.52163
HD,622.56,99.9564
HOPG,622.623,98.51157
HD,623.56,99.94643
HOPG,623.623,98.4988
HD,624.56,99.93517
HOPG,624.623,98.48283
HD,625.56,99.92602
HOPG,625.623,98.46076
HD,626.56,99.91925
HOPG,626.623,98.43203
HD,627.56,99.90773
HOPG,627.623,98.4041
HD,628.56,99.89971
HOPG,628.623,98.38952
HD,629.56,99.89138
HOPG,629.623,98.39257
HD,630.56,99.88664
HOPG,630.623,98.40345
HD,631.56,99.87886
HOPG,631.623,98.41027
HD,632.56,99.87597
HOPG,632.623,98.41013
HD,633.56,99.86932
HOPG,633.623,98.4053
HD,634.56,99.86847
HOPG,634.623,98.39828
HD,635.56,99.87526
HOPG,635.623,98.392
HD,636.56,99.88056
HOPG,636.623,98.38662
HD,637.56,99.8756
HOPG,637.623,98.3792
HD,638.56,99.86303
HOPG,638.623,98.37178
HD,639.56,99.8584
HOPG,639.623,98.37191
HD,640.56,99.85547
HOPG,640.623,98.37904
HD,641.56,99.85594
HOPG,641.623,98.37954
HD,642.56,99.85026
HOPG,642.623,98.3635
HD,643.56,99.84016
HOPG,643.623,98.33894
HD,644.56,99.82244
HOPG,644.623,98.32167
HD,645.56,99.80747
HOPG,645.623,98.31567
HD,646.56,99.79921
HOPG,646.623,98.31017
HD,647.56,99.79165
HOPG,647.623,98.29532
HD,648.56,99.77328
HOPG,648.623,98.27415
HD,649.56,99.75508
HOPG,649.623,98.25791
HD,650.56,99.75193
HOPG,650.623,98.25309
HD,651.56,99.74734
HOPG,651.623,98.25698
HD,652.56,99.74826
HOPG,652.623,98.26379
HD,653.56,99.74207
HOPG,653.623,98.27143
HD,654.56,99.73871
HOPG,654.623,98.28123
HD,655.56,99.73919
HOPG,655.623,98.29195
HD,656.56,99.74716
HOPG,656.623,98.29814
HD,657.56,99.75665
HOPG,657.623,98.29632
HD,658.56,99.75672
HOPG,658.623,98.28976
HD,659.56,99.75926
HOPG,659.623,98.28433
HD,660.56,99.76125
HOPG,660.623,98.28088
HD,661.56,99.76661
HOPG,661.623,98.27694
HD,662.56,99.76401
HOPG,662.623,98.27379
HD,663.56,99.75812
HOPG,663.623,98.27542
HD,664.56,99.75495
HOPG,664.623,98.27994
HD,665.56,99.75625
HOPG,665.623,98.27949
HD,666.56,99.75015
HOPG,666.623,98.27113
HD,667.56,99.74377
HOPG,667.623,98.26263
HD,668.56,99.7376
HOPG,668.623,98.26313
HD,669.56,99.73333
HOPG,669.623,98.27006
HD,670.56,99.73653
HOPG,670.623,98.27149
HD,671.56,99.73327
HOPG,671.623,98.26126
HD,672.56,99.73065
HOPG,672.623,98.2465
HD,673.56,99.7232
HOPG,673.623,98.23707
HD,674.56,99.71246
HOPG,674.623,98.23446
HD,675.56,99.69989
HOPG,675.623,98.23281
HD,676.56,99.69066
HOPG,676.623,98.22466
HD,677.56,99.68827
HOPG,677.623,98.20554
HD,678.56,99.68954
HOPG,678.623,98.17896
HD,679.56,99.68474
HOPG,679.623,98.15701
HD,680.56,99.67666
HOPG,680.623,98.15316
HD,681.56,99.66482
HOPG,681.623,98.16814
HD,682.56,99.64464
HOPG,682.623,98.18495
HD,683.56,99.63111
HOPG,683.623,98.18483
HD,684.56,99.62029
HOPG,684.623,98.16644
HD,685.56,99.62308
HOPG,685.623,98.14248
