dem,region,egm96_1m_area_km2,mdt_1m_area_km2,egm96_1m_pop_wp,mdt_1m_pop_wp,egm96_1m_pop_ls,mdt_1m_pop_ls
CoastalDEM,Africa,54339.8,65952.7,16336414,17192706,11495959,10758377
CoastalDEM,Asia,47176.9,145163.8,16796516,65673519,13873470,50125885
CoastalDEM,Australia,8792.4,15983.7,54082,157389,152426,292579
CoastalDEM,Europe,97006.0,101310.5,11477366,12298181,9637693,9870284
CoastalDEM,North America,61094.1,89923.8,2399533,3574918,3006326,3468235
CoastalDEM,Pacific Region,1937.7,4528.5,69558,222618,125376,228822
CoastalDEM,South America,23706.1,36906.1,2016321,3040105,1912129,2207059
CoastalDEM,Global,294472.6,460107.8,49149790,102842464,40203380,76951242
CoastalDEM,Southeast Asia,20869.1,77996.9,8271699,32097859,7020135,24227339
FABDEM,Africa,39601.9,48521.0,9619830,11885193,7573137,9076047
FABDEM,Asia,119828.0,243487.0,23946761,91939038,17376592,70683207
FABDEM,Australia,16839.4,31424.8,24659,104261,56432,194277
FABDEM,Europe,109014.1,115099.2,9956433,10790072,8267829,9060375
FABDEM,North America,124911.2,150938.3,1997678,3075849,1930260,2943412
FABDEM,Pacific Region,1225.7,2236.9,144287,189796,117877,185589
FABDEM,South America,19624.1,32609.7,1030677,2737194,868264,2182898
FABDEM,Global,431138.9,624360.9,46720324,120721403,36190391,94325806
FABDEM,Southeast Asia,15443.2,81062.1,5447416,42251196,4289051,32763075
GLL-DTM,Africa,64192.9,62335.6,18976085,16409781,10079761,8111760
GLL-DTM,Asia,180736.5,184349.5,70064408,86662738,45619613,55508130
GLL-DTM,Australia,13886.0,14569.6,311535,328262,250774,261796
GLL-DTM,Europe,75298.3,77867.1,11083748,11416525,7681640,7957113
GLL-DTM,North America,132995.9,130487.6,4073542,4437279,2761072,2951480
GLL-DTM,Pacific Region,2957.2,3004.4,134104,139242,129610,122178
GLL-DTM,South America,56335.2,42204.8,3737233,3037713,2108163,1718316
GLL-DTM,Global,527043.3,515685.1,108380654,122431539,68630633,76630773
GLL-DTM,Southeast Asia,92424.6,100304.2,38669262,44614012,25761696,29069468
DeltaDTM,Africa,49508.5,68292.7,13508709,17875913,9374109,11347027
DeltaDTM,Asia,121778.2,273102.1,16290495,96518736,12035595,78885690
DeltaDTM,Australia,4976.0,17361.6,13689,98357,28972,162364
DeltaDTM,Europe,102731.2,109395.3,10600878,11229969,9374111,9881704
DeltaDTM,North America,123643.1,156374.7,2544239,3789183,2429865,3449463
DeltaDTM,Pacific Region,770.5,2006.0,114093,154128,99241,140938
DeltaDTM,South America,20869.2,43486.7,962162,2553366,675293,1983923
DeltaDTM,Global,424332.8,670040.8,44034265,132219652,34017187,105851109
DeltaDTM,Southeast Asia,5858.3,99646.3,2120942,46915015,1693829,39257914
