region,area_total_km2,pop_worldpop2020,pop_landscan2020,egm96_1m_area_km2,egm96_1m_area_pct,egm96_1m_pop_wp,egm96_1m_pop_ls2020,mdt_1m_area_km2,mdt_1m_area_pct,mdt_1m_pop_wp,mdt_1m_pop_ls2020,disc_1m_area_km2,disc_1m_area_pct,disc_1m_pop_wp,disc_1m_pop_wp_pct
Africa,29904909.8657173,1357303880.3051,1332941497,54339.7815,0.18170856138340882,16336413.8899644,11495958.5092376,65952.6543,0.22054122415398913,17192705.6276192,10758376.7164822,11612.872799999997,0.03883266277058031,856291.7376547996,4.980552544790924
Antarctica,12435855.4350947,0,0,419.6934,0.003374865542547247,0,0,338.6448,0.002723132331084558,0,0,-81.04860000000002,-0.0006517332114626892,0,
Asia,44906060.2001208,4706396351.302,4520320526,47176.8705,0.10505680144229862,16796516.3841696,13873469.7104973,145163.826,0.32326110407612535,65673519.4600348,50125885.3210573,97986.95550000001,0.21820430263382673,48877003.0758652,74.42421767209991
Australia,7686944.18708475,20787519.9144436,24684472,8792.3718,0.11438058591309325,54081.5528544152,152426.297540789,15983.7381,0.20793357816822894,157389.493356844,292578.843222723,7191.3663,0.09355299225513569,103307.9405024288,65.63839701053115
Europe,9938280.61283865,717013352.091879,696696640,97006.0212,0.9760845459996765,11477366.1780991,9637693.2771469,101310.4503,1.0193961535874052,12298181.4334469,9870284.1890518,4304.429099999994,0.04331160758772867,820815.2553478014,6.674281557722515
North America,24269505.6353926,610227800.155508,574920320,61094.0718,0.2517318346645906,2399532.89050498,3006326.15480163,89923.8024,0.3705217722641318,3574917.57526365,3468235.09769167,28829.730600000003,0.1187899375995412,1175384.6847586702,32.87865132588366
Pacific Region,428898.919673031,9338961.88164343,9173125,1937.7306,0.4517919050664011,69558.1555067833,125376.188010914,4528.4994,1.0558430418645677,222618.488624664,228822.229834839,2590.7688,0.6040511367981666,153060.33311788068,68.75454687680558
South America,17703650.3819013,449376053.31422,418764168,23706.0999,0.13390515169817796,2016320.72689588,1912129.37884395,36906.1434,0.20846629143631126,3040105.42767318,2207059.2761544,13200.0435,0.0745611397381333,1023784.7007773002,33.675960427493436
Global,147274105.256735,7870443909.08285,7577500748,294472.6407,0.19994868764380658,49149789.7779927,40203379.5160765,460107.7587,0.3124159253236806,102842463.528832,76951241.6734922,165635.11800000002,0.11246723767987404,53692673.7508393,52.20866158635581
"Central America, Carribean, northern South America",5005791.50456106,348785497.781643,308991616,22919.9868,0.4578693854731325,1155861.21621616,940961.056083759,50855.6232,1.0159357047464435,2598562.21486143,1496757.82008039,27935.636400000003,0.558066319273311,1442700.9986452702,55.51920174911813
East Africa,6370529.61408131,411921437.720533,418901564,2859.057,0.04487942405416952,299760.134988433,133755.935215159,6910.9119,0.10848253314330787,725264.915726155,353597.171988772,4051.8549000000003,0.06360310908913835,425504.78073772206,58.66887691812516
"Melanesia, Micronesia, Polynesia",546405.32687636,11544767.3525333,9119782,450.6678,0.08247866150506557,31234.5929176242,31870.4364040223,2474.9469,0.4529507269170581,172844.394858916,135879.291422686,2024.2791,0.37047206541199257,141609.8019412918,81.92906808281553
"USA, Canada",21578635.4151157,374553657.508044,359979608,45931.1958,0.21285496008624105,1814755.61995184,2396728.769393,52290.8865,0.24232712353706368,2065176.18117807,2410566.13896468,6359.690699999999,0.029472163450822625,250420.56122622988,12.125869139328282
"Northern Europe, Western Europe",2902307.33003566,295852513.116225,291727468,50545.6281,1.7415670482897814,8829816.01077358,7141766.69849786,54530.01,1.8788503007822401,9561562.65400761,7583380.15415755,3984.3819000000003,0.13728325249245876,731746.6432340294,7.653002649387306
Southeast Asia,4436530.05657498,666860060.462362,643369250,20869.0749,0.4703918295126127,8271699.15427714,7020135.06875244,77996.8602,1.7580599974614826,32097858.9322905,24227338.7393108,57127.785299999996,1.28766816794887,23826159.778013356,74.2297479351316
Southern South America,4113540.43376589,76074103.2313355,73528888,5363.0424,0.1303753417853294,185002.06809572,135821.496249518,8363.9385,0.2033270034577715,294862.178922446,148888.903796616,3000.8961,0.0729516616724421,109860.11082672598,37.258122160055386
USA,9465794.54630068,337827505.42261,322870507,42168.7215,0.44548528170284374,1771145.61882847,2299481.71780237,47326.6557,0.49997552206006524,1985372.55593777,2260963.83804636,5157.934200000003,0.0544902403572215,214226.93710930017,10.790263845876156
Vietnamese Mekong Delta,38413.8351112,18160825.9233947,17337392,6008.8068,15.642298621332037,2417406.30119359,1944418.7526032,21238.1676,55.28780851617642,9418633.16084567,7428872.74912671,15229.3608,39.64550989484438,7001226.8596520815,74.33378856665718
