forecast_hours,r_aod_cams,r_aod_gamfs,r_aod_op_gamfs,r_duaod_cams,r_duaod_gamfs,r_duaod_op_gamfs,rmse_aod_cams,rmse_aod_gamfs,rmse_aod_op_gamfs,rmse_duaod_cams,rmse_duaod_gamfs,rmse_duaod_op_gamfs
3,0.7561275727792227,0.9779620391418626,0.8436576305872268,0.8154216635414431,0.9951383867280337,0.8895566863538009,0.1096269587944049,0.03051450932422048,0.08088481372472342,0.0464171020414271,0.00683378467935433,0.03269887850921997
6,0.7594491690304589,0.9545762934416872,0.8511884451186059,0.8223150144541218,0.9905433532553388,0.8970046185137275,0.1074314866477454,0.04386148886540951,0.07875487972194062,0.04530570388841829,0.009383446657026173,0.03118930346410267
9,0.7565811724597113,0.931289120967167,0.8475508314752792,0.8205413702626208,0.9787315214586039,0.9024719532918046,0.108263379476297,0.05439534601988925,0.08064835798823779,0.04571972535425248,0.01416819683559906,0.03057079946801473
12,0.7504219839974064,0.91233743771546,0.8460315465350989,0.8004486062474618,0.9615767002222732,0.9044420844075912,0.1103555420420324,0.06249903466353397,0.08271755146852192,0.04873209212035162,0.01974042925618469,0.03093228664511777
15,0.7456388713868976,0.9006059339884922,0.8406132389125875,0.7803596410099923,0.9514452572122186,0.9017118519438031,0.1115479823565797,0.06631553907973493,0.08404798552036272,0.05106671553020417,0.02260709499376651,0.03173313964065532
18,0.7439694968839806,0.8927649747746031,0.8388807780392956,0.7741738115641357,0.9513252464711821,0.9051560937495343,0.1114896026645903,0.06886879090094387,0.08464448192629914,0.05172479360143827,0.0227186566558591,0.03128362826716389
21,0.7444803892310176,0.8842468255126715,0.8362453452127108,0.7809086474680171,0.9518065803573968,0.9063084960047316,0.1103032705659107,0.07049145845229866,0.08440368880338218,0.05076075354761581,0.02245605650093783,0.03089427286839255
24,0.7444327918598534,0.8793680030374923,0.8356400827862053,0.7939165491360474,0.9522383381448407,0.911382047608558,0.1098198249429581,0.07133198209101577,0.08398994320171908,0.04901163393497676,0.02213410133611927,0.02977162826851712
27,0.742515121562803,0.8729349759331284,0.830880220068876,0.8058021202222947,0.9530555808667314,0.9139599217033663,0.1090745608298399,0.07166432513747617,0.08366181294545653,0.04727124611678589,0.02166925603265978,0.0289518546118748
30,0.7414984519994713,0.8625464635892321,0.8228979691892317,0.8135781220124395,0.9526914215279656,0.9157983230706914,0.1084745591068561,0.07408806395212264,0.08519202557983713,0.04600997600967782,0.02146819031354055,0.02832321195797664
33,0.736235444878054,0.8507808480814727,0.8143089277456423,0.812837251161918,0.9462083601791199,0.9125547084104197,0.1103538030680511,0.07791942601310593,0.08813380712447369,0.04631282232753995,0.02291103140477412,0.02890174454674575
36,0.7281406109916492,0.8386133336215529,0.8067249273937155,0.7939619532770291,0.9333425009993088,0.9070977237871147,0.1134604736485418,0.08236565141425226,0.09138262783489454,0.04934288851338953,0.02608850059953992,0.03050260954700482
39,0.7213330509907142,0.8267648363847491,0.7959508200907851,0.7746093343684002,0.9232508187547003,0.8998610697167703,0.115423553586856,0.0850553981879564,0.09346443007946925,0.05185387709219842,0.02839575786073134,0.03198376677164477
42,0.7179855571986846,0.8203378087549559,0.7904219688887844,0.7688253016290368,0.9233822280883983,0.9012397856990971,0.1159794417343765,0.08650866964520822,0.09460277349912477,0.05251888542756895,0.02843176573798514,0.03172205960565205
