taxon,grupo,n_coded,n_total,n_missing,n_gaps,pct_complete
Mimipiscis_toombsi,Actinopterigio,670,709,39,107,94.5
Moythomasia_durgaringa,Actinopterigio,652,712,60,105,91.6
Eusthenopteron_foordi,Sarcopterigio,582,709,127,102,82.1
Galeaspida,Agnato,574,727,153,402,79.0
Dicksonosteus_arcticus,Placodermo,554,712,158,121,77.8
Osteostraci,Agnato,542,718,176,362,75.5
Gogonasus_andrewsae,Sarcopterigio,528,709,181,75,74.5
Acanthodes_bronni,Acantodio,515,709,194,198,72.6
Cheirolepis_trailli,Actinopterigio,516,718,202,88,71.9
Youngolepis_praecursor,Sarcopterigio,487,712,225,68,68.4
Onychodus_jandemarrai,Sarcopterigio,482,709,227,84,68.0
Osteolepis_macrolepidotus,Otro,478,709,231,83,67.4
Glyptolepis_groenlandica,Sarcopterigio,475,709,234,75,67.0
Akmonistion_zangerli,Condrictio,475,709,234,194,67.0
Romundina_stellina,Placodermo,468,715,247,93,65.5
Porolepis_spp,Sarcopterigio,464,709,245,72,65.4
Megamastax_amblyodus,Stem Osteictio,453,709,256,63,63.9
Guiyu_oneiros,Stem Osteictio,450,709,259,63,63.5
Buchanosteus_confertituberculatus,Placodermo,447,709,262,107,63.0
Howqualepis_rostridens,Actinopterigio,447,709,262,76,63.0
Kujdanowiaspis_podolica,Placodermo,446,712,266,88,62.6
Tristychius_arcuatus,Condrictio,440,709,269,167,62.1
Entelognathus_primordialis,Placodermo,440,712,272,85,61.8
Orthacanthus_spp,Condrictio,436,709,273,172,61.5
Coccosteus_cuspidatus,Placodermo,420,709,289,126,59.2
Cobelodus_aculeatus,Condrictio,420,709,289,179,59.2
Psarolepis_romeri,Stem Osteictio,419,715,296,53,58.6
Bothriolepis_spp,Placodermo,415,709,294,143,58.5
Parabuchanosteus_murrumbidgeensis,Placodermo,414,709,295,90,58.4
Powichthys_thorsteinssoni,Sarcopterigio,408,709,301,47,57.5
Debeerius_ellefseni_,Otro,401,709,308,181,56.6
Jagorina_pandora,Placodermo,397,709,312,110,56.0
Styloichthys_changae,Otro,398,712,314,63,55.9
Austroptyctodus_gardineri,Placodermo,394,709,315,119,55.6
Kentuckia_deani,Actinopterigio,391,709,318,59,55.1
Hamiltonichthys_mapesi,Condrictio,389,709,320,174,54.9
Brindabellaspis_stensioi,Placodermo,384,709,325,62,54.2
Cladoselache_kepleri,Otro,383,709,326,170,54.0
Incisoscutum_ritchiei,Placodermo,374,709,335,96,52.8
Macropetalichthys_rapheidolabis,Placodermo,370,709,339,105,52.2
Campbellodus_decipiens,Placodermo,369,709,340,124,52.0
Chondrenchelys_problematica,Otro,368,709,341,185,51.9
Cowralepis_mclachlani,Placodermo,362,709,347,116,51.1
Gemuendina_stuertzi,Placodermo,362,709,347,131,51.1
Compagopiscis_croucheri,Placodermo,358,709,351,89,50.5
Eastmanosteus_calliaspis,Placodermo,357,709,352,88,50.4
Holonema_westolli,Placodermo,344,709,365,78,48.5
Pterichthyodes_milleri,Placodermo,343,709,366,125,48.4
Onychoselache_traquari,Otro,343,709,366,163,48.4
Tamiobatis_vetustus,Condrictio,342,709,367,144,48.2
Parayunnanolepis_xitunensis,Placodermo,341,709,368,120,48.1
Rhamphodopsis_threiplandi,Placodermo,341,709,368,107,48.1
Doliodus_latispinosus,Otro,339,709,370,163,47.8
Ptomacanthus_anglicus,Condrictio,338,709,371,153,47.7
Kenichthys_campbelli,Otro,335,709,374,55,47.2
Cheiracanthus_spp,Otro,332,709,377,172,46.8
Climatius_reticulatus,Acantodio,332,709,377,165,46.8
Materpiscis_attenboroughi,Placodermo,331,709,378,91,46.7
Helodus_simplex,Otro,331,709,378,152,46.7
Ischnacanthus_gracilis,Acantodio,330,709,379,157,46.5
Miguashaia_bureaui,Sarcopterigio,324,709,385,76,45.7
Tetanopsyrus_lindoeibreviacanthias,Otro,322,709,387,173,45.4
Promesacanthus_eppleri,Acantodio,314,709,395,163,44.3
Cladodoides_wildungensis,Condrictio,311,709,398,125,43.9
Homalacanthus_concinnus,Acantodio,311,709,398,174,43.9
Squalus_spp,Otro,310,709,399,109,43.7
Brochoadmones_milesi,Otro,309,709,400,158,43.6
Diplacanthus_crassisimus,Acantodio,309,709,400,159,43.6
Mesacanthus_mitchelli,Acantodio,308,709,401,162,43.4
Chimaeroidei,Otro,308,709,401,126,43.4
Ligulalepis_toombsi,Stem Osteictio,306,709,403,47,43.2
Egertonodus_basanus,Otro,297,709,412,103,41.9
Groenlandaspis_antarcticus,Placodermo,290,709,419,70,40.9
Kathemacanthus_rosulentus,Acantodio,291,712,421,165,40.9
Gladbachus_adentatus,Condrictio,290,709,419,134,40.9
Osorioichthys_marginis,Actinopterigio,287,709,422,61,40.5
Dipterus_spp,Otro,287,712,425,62,40.3
Euthacanthus_macnicoli,Acantodio,286,709,423,147,40.3
Parexus_recurvus,Acantodio,284,709,425,148,40.1
Xiushanosteus_mirabilis,Placodermo,283,709,426,86,39.9
Remigolepis_spp,Placodermo,280,709,429,75,39.5
Zemlyacanthus_menneri,Otro,280,709,429,156,39.5
Diabolepis_speratus,Sarcopterigio,274,709,435,50,38.6
Iniopera_richardsoni,Otro,274,709,435,128,38.6
Lupopsyrus_pygmaeus,Acantodio,269,709,440,155,37.9
Yunnanolepis_spp,Placodermo,268,709,441,79,37.8
Wuttagoonaspis_fletcheri,Placodermo,267,709,442,61,37.7
Culmacanthus_stewarti,Acantodio,267,709,442,152,37.7
Microbrachius_dicki,Placodermo,265,709,444,83,37.4
Raynerius_splendens,Actinopterigio,265,709,444,41,37.4
Uraniacanthus_probaton,Otro,263,709,446,149,37.1
Pucapampella_rodrigae,Condrictio,263,709,446,130,37.1
Triodus_moorei,Otro,263,709,446,112,37.1
Tribodus_limae,Otro,262,709,447,100,37.0
Falcatus_falcatus,Otro,264,715,451,106,36.9
Sigaspis_lepidophora,Placodermo,261,709,448,75,36.8
Obtusacanthus_corroconis,Acantodio,256,709,453,158,36.1
Diplocercides_spp,Otro,255,712,457,48,35.8
Cassidiceps_vermiculatus,Acantodio,254,709,455,150,35.8
Brachyacanthus_scutiger,Acantodio,252,709,457,152,35.5
Lunaspis_broili,Placodermo,250,709,459,62,35.3
Dobunnacanthus_waynensis,Otro,244,709,465,143,34.4
Dialipina_salgueiroensis,Stem Osteictio,244,712,468,61,34.3
Shenacanthus_vermiformis,Otro,243,709,466,166,34.3
Ozarcus_mapesae,Condrictio,236,709,473,98,33.3
Qilinyu_rostrata,Placodermo,232,709,477,55,32.7
Damocles_serratus,Otro,234,715,481,106,32.7
Shearsbyaspis_oepiki,Placodermo,228,709,481,36,32.2
