taxon,grupo,caracteres_comparables,caracteres_coincidentes,similitud_pct
Minjinia_turgenensis,Placodermo,5,5,100.0
Lawrenciella_schaefferi,Otro,8,8,100.0
Pucapampella_rodrigae,Condrictio,9,9,100.0
Meemannia_eos,Stem Osteictio,55,53,96.4
Kentuckia_deani,Actinopterigio,110,105,95.5
Tlamaspis_inopinatus,Placodermo,19,18,94.7
Osorioichthys_marginis,Actinopterigio,111,105,94.6
Janusiscus_schultzei,Stem Osteictio,36,34,94.4
Ligulalepis_toombsi,Stem Osteictio,69,65,94.2
Raynerius_splendens,Actinopterigio,48,45,93.8
Mimipiscis_toombsi,Actinopterigio,153,142,92.8
Howqualepis_rostridens,Actinopterigio,143,132,92.3
Mulgaspis_evansorum,Placodermo,51,47,92.2
Kansasiella_eatoni,Otro,25,23,92.0
Sudaspis_chiupaci,Placodermo,24,22,91.7
Cheirolepis_canadensis,Actinopterigio,72,66,91.7
Kosoraspis_peckai,Placodermo,22,20,90.9
Andreolepis_hedei,Stem Osteictio,21,19,90.5
Cladodoides_wildungensis,Condrictio,10,9,90.0
Guiyu_oneiros,Stem Osteictio,162,145,89.5
Radotina_tessellata,Placodermo,28,25,89.3
Radotina_kosorensis,Placodermo,27,24,88.9
Megamastax_amblyodus,Stem Osteictio,133,118,88.7
Kimaspis_tienshanica,Placodermo,25,22,88.0
Arabosteus_variabilis,Placodermo,33,29,87.9
Pauropetalichthys_magnoculus,Placodermo,48,42,87.5
Achoania_jarviki,Stem Osteictio,59,51,86.4
Bianchengichthys_micros,Placodermo,78,67,85.9
Lophosteus_superbus,Stem Osteictio,21,18,85.7
Ptyctolepis_brachynotus,Otro,14,12,85.7
Epipetalichthys_wildungensis,Placodermo,41,35,85.4
Guangxipetalichthys_tiaomajianensis,Placodermo,41,35,85.4
Pampetalichthys_longhuaensis,Placodermo,41,35,85.4
Notopetalichthys_hillsi,Placodermo,41,35,85.4
Widjeaspis_warrooensis,Placodermo,41,35,85.4
Xiushanosteus_mirabilis,Placodermo,115,97,84.3
Qilinyu_rostrata,Placodermo,95,80,84.2
Moythomasia_durgaringa,Actinopterigio,134,111,82.8
Sinopetalichthys_kueiyangensis,Placodermo,45,37,82.2
Ellopetalichthys_scheii,Placodermo,39,32,82.1
Eurycaraspis_incilis,Placodermo,77,63,81.8
Quasipetalichthys_haikouensis,Placodermo,66,54,81.8
Cheirolepis_trailli,Actinopterigio,139,113,81.3
Gavinaspis_convergens,Placodermo,52,42,80.8
Entelognathus_primordialis,Placodermo,138,111,80.4
Shenacanthus_vermiformis,Otro,46,37,80.4
Dialipina_salgueiroensis,Stem Osteictio,76,61,80.3
Ramirosuarezia_boliviana,Otro,15,12,80.0
Culmacanthus_stewarti,Acantodio,65,52,80.0
Incisoscutum_ritchiei,Placodermo,109,87,79.8
Diabolepis_speratus,Sarcopterigio,69,55,79.7
Sigaspis_lepidophora,Placodermo,101,80,79.2
Diandongpetalichthys_liaojiaoshanensis,Placodermo,72,57,79.2
Kolymaspis_sibirica,Placodermo,48,38,79.2
Brachyacanthus_scutiger,Acantodio,53,42,79.2
Shearsbyaspis_oepiki,Placodermo,57,45,78.9
Holonema_westolli,Placodermo,118,93,78.8
Qingmenodus_yui,Otro,33,26,78.8
Groenlandaspis_antarcticus,Placodermo,106,83,78.3
Kenichthys_campbelli,Otro,106,83,78.3
Eastmanosteus_calliaspis,Placodermo,110,86,78.2
Wuttagoonaspis_fletcheri,Placodermo,96,75,78.1
Parabuchanosteus_murrumbidgeensis,Placodermo,105,82,78.1
Euthacanthus_macnicoli,Acantodio,67,52,77.6
