site_code,lat,lon,proteccion,proteccion_detallada,edad_mpa,biomasa_piscivoros,riqueza_peces
ACEH1,5.881469999999999,95.25631,protección parcial,parcial,1.0,-0.3665154419053693,0.20483105503126425
ACEH11,5.86718,95.2696,sin protección,sin protección,1.0,-0.6087693869431313,1.3214328524433814
ACEH14,5.646380000000001,95.16272,sin protección,sin protección,,0.44459358259265364,0.4338775775773396
ACEH15,5.84835,95.28406,sin protección,sin protección,,-0.03556616577517263,1.4645869290346785
ACEH16,5.88585,95.25413,protección parcial,parcial,1.0,-0.05757880998929797,1.9035927639146564
ACEH18,5.77726,95.33671,sin protección,sin protección,,-0.017803056470643515,1.4264125086103323
ACEH19,5.80058,95.34664000000001,sin protección,sin protección,,-1.5752999197501902,0.5102264184260314
ACEH2,5.8810199999999995,95.26021,protección parcial,parcial,1.0,-0.028145905435788477,1.149647960533825
ACEH20,5.88679,95.25650999999999,protección parcial,parcial,1.0,-0.5977730833751114,1.7938413051946618
ACEH21,5.88277,95.24911,protección parcial,parcial,1.0,-0.9066129097100402,2.208988127309423
ACEH22,5.88289,95.25118,protección parcial,parcial,1.0,-0.5280026495536589,1.5218485596711973
ACEH23,5.85724,95.36138000000001,sin protección,sin protección,-1.0,-0.7157552319328988,1.579110190307716
ACEH24,5.89158,95.34356,sin protección,sin protección,-1.0,-2.4821733557870593,1.1210171452155655
ACEH25,5.87715,95.31384,sin protección,sin protección,,-0.30268178733976964,2.0944648660363856
ACEH26,5.86461,95.26884,sin protección,sin protección,1.0,-0.6057402207998719,1.4645869290346785
ACEH27,5.8543,95.27358000000001,sin protección,sin protección,,-0.7987665947032443,1.235540406488603
ACEH28,5.87207,95.26658,protección parcial,parcial,1.0,-0.3058315149608032,2.609819541765055
ACEH29,5.60681,95.19375,sin protección,sin protección,-11.0,-0.8336890334793423,1.9226799741268292
ACEH3,5.89492,95.25287,protección parcial,parcial,1.0,0.10869140089324524,0.8633398073512307
ACEH4,5.88529,95.25431,protección parcial,parcial,1.0,-0.12348632588798417,0.8347089920329713
ACEH6,5.66782,95.12631999999999,sin protección,sin protección,-11.0,-2.4821733557870593,0.3193543163043019
ACEH7,5.8952800000000005,95.25435999999999,protección parcial,parcial,1.0,-0.49410297927915786,0.7201857307599338
ACEH8,5.89083,95.25435999999999,protección parcial,parcial,1.0,-0.006036008069984636,1.3500636677616409
ACEH9,5.82587,95.37793,sin protección,sin protección,-1.0,-0.5651985023687234,0.6056624694868961
AH1,-3.7322599999999997,128.13721,sin protección,sin protección,,-0.09473169330767124,0.949232253306009
AH2,-3.73631,128.1349,sin protección,sin protección,,-0.993466351410035,0.8919706226694902
AH3,-3.71001,128.10204,sin protección,sin protección,,-0.31823515711060685,0.462508392895599
AL10,10.22592,169.92878000000002,sin protección,sin protección,,-0.6217387224357898,0.26209268566778304
AL2,10.2822,169.97562,sin protección,sin protección,,0.4020009856286252,0.4338775775773396
AL3,10.22375,169.96187,sin protección,sin protección,,0.10064350815734235,-0.36778525133392403
AL4,10.292,169.85435,sin protección,sin protección,,1.072135507283248,0.40524676225908013
AL6,10.39396,169.91481000000002,sin protección,sin protección,,0.11451147096620802,-0.0814770981513299
AL7,10.40857,169.91403,sin protección,sin protección,,1.0526426010896606,0.7201857307599338
AL8,10.35851,169.90865,sin protección,sin protección,,0.7139502571752013,1.1210171452155655
BA1,-4.53,131.6519,sin protección,sin protección,,-0.07598092469508858,1.8081567128537914
BA10,-5.63704,132.62948,sin protección,sin protección,-1.0,0.9659077751228908,0.8060781767147119
BA11,-5.66913,132.58354,sin protección,sin protección,-1.0,-2.4821733557870593,-0.6540934045165182
BA13,-6.00515,132.42802,sin protección,sin protección,-1.0,1.476497556587381,1.3786944830799002
BA2,-4.58683,131.68701000000001,sin protección,sin protección,,-0.6954692529447237,1.6936334515807538
BA3,-4.53805,131.78298999999998,sin protección,sin protección,,0.379004011513232,1.836787528172051
BA5,-5.13609,132.01311,sin protección,sin protección,,-0.12784663637250882,1.0351246992607872
BA6,-5.1746,132.00893,sin protección,sin protección,,-0.37709004840602584,0.8919706226694902
BA7,-5.30438,131.99694,sin protección,sin protección,,-0.6418743032610149,0.49113920821385837
BA8,-5.57744,132.70776999999998,sin protección,sin protección,,-2.4821733557870593,-0.5109393279252211
BA9,-5.57774,132.66298999999998,sin protección,sin protección,,-0.6075420671950458,1.006493883942528
BOCAS1,9.233920097351074,-82.11184692382812,sin protección,sin protección,,-1.0673976645829537,-1.1980788955634472
BOCAS1,9.233920097351074,-82.11184692382812,sin protección,sin protección,,-0.3487605638541918,-1.2839713415182252
BOCAS10,9.265419960021973,-82.11905670166016,sin protección,sin protección,,-0.4818007885676382,-1.2457969210938793
BOCAS10,9.265419960021973,-82.11905670166016,sin protección,sin protección,,-0.8119889816483594,-1.1121864496086689
BOCAS10,9.265419960021973,-82.11905670166016,sin protección,sin protección,,-0.6584185039496591,-1.05492481897215
BOCAS10,9.265419960021973,-82.11905670166016,sin protección,sin protección,,-0.14727255068114511,-1.2267097108817064
BOCAS10,9.265419960021973,-82.11905670166016,sin protección,sin protección,,-0.3740883672117992,-0.8831399270625935
BOCAS11,9.29109001159668,-82.34519958496094,sin protección,sin protección,,-0.44172909241862796,-1.5416486793825601
BOCAS11,9.29109001159668,-82.34519958496094,sin protección,sin protección,,-1.3111749528794243,-1.6848027559738572
BOCAS12,9.378049850463867,-82.30372619628906,sin protección,sin protección,,-0.7119789317630798,-1.05492481897215
BOCAS12,9.378049850463867,-82.30372619628906,sin protección,sin protección,,0.595497209340739,-0.8258782964260747
BOCAS12,9.378049850463867,-82.30372619628906,sin protección,sin protección,,0.4959226604619925,-1.05492481897215
BOCAS13,9.357580184936523,-82.27156829833984,sin protección,sin protección,,-0.6680165784121221,-1.4271254181095223
BOCAS14,9.338330268859863,-82.23027038574219,sin protección,sin protección,,-0.10191031758716047,-1.1121864496086689
BOCAS15,9.3,-82.29,sin protección,sin protección,,-0.8520748518103036,-1.4557562334277818
BOCAS15,9.3,-82.29,sin protección,sin protección,,-1.6022315638224371,-1.2839713415182252
BOCAS16,9.24,-82.11,sin protección,sin protección,,0.3211459448458741,-0.8258782964260747
BOCAS17,9.25,-82.13,sin protección,sin protección,,-1.2871033326036514,-0.8831399270625935
BOCAS2,9.28993034362793,-82.34308624267578,sin protección,sin protección,,-0.8010247285392459,-1.4939306538521275
BOCAS2,9.28993034362793,-82.34308624267578,sin protección,sin protección,,-2.4821733557870593,-1.4557562334277818
BOCAS2,9.28993034362793,-82.34308624267578,sin protección,sin protección,,-0.1224480305028916,-1.1694480802451876
BOCAS3,9.23719,-82.32823,sin protección,sin protección,,-0.8607059886286189,-1.5130178640643006
BOCAS4,9.239640235900879,-82.33512115478516,sin protección,sin protección,,-0.8094163870736284,-1.6275411253373384
BOCAS5,9.304750442504883,-82.27559661865234,sin protección,sin protección,,-1.7627485265797498,-1.7134335712921165
BOCAS5,9.304750442504883,-82.27559661865234,sin protección,sin protección,,-2.4821733557870593,-1.5702794947008194
BOCAS6,9.301549911499023,-82.29474639892578,sin protección,sin protección,,0.0142040481279952,-1.1121864496086689
BOCAS6,9.301549911499023,-82.29474639892578,sin protección,sin protección,,-0.19318715022445937,-1.3412329721547442
BOCAS6,9.301549911499023,-82.29474639892578,sin protección,sin protección,,-0.30377611109512687,-1.2267097108817064
BOCAS7,9.33324,-82.21558,sin protección,sin protección,,-0.21244202033110793,-1.3221457619425714
BOCAS7,9.33324,-82.21558,sin protección,sin protección,,0.34816254697538435,-0.711355035153037
BOCAS7,9.33324,-82.21558,sin protección,sin protección,,-0.293318338406417,-1.1694480802451876
BOCAS8,9.348719596862793,-82.26258087158203,sin protección,sin protección,,-0.3315163337894304,-1.4366690232156087
BOCAS8,9.348719596862793,-82.26258087158203,sin protección,sin protección,,0.7265705795777261,-1.05492481897215
BOCAS8,9.348719596862793,-82.26258087158203,sin protección,sin protección,,-0.34696283152748464,-1.398494602791263
BOCAS8,9.348719596862793,-82.26258087158203,sin protección,sin protección,,0.4408364254131127,-0.9404015576991124
BOCAS9,9.279620170593262,-82.10162353515625,sin protección,sin protección,,-1.1718938550237579,-1.3603201823669173
BOCAS9,9.279620170593262,-82.10162353515625,sin protección,sin protección,,-0.4736977642257554,-0.8258782964260747
BRA10,-17.69942,-38.94211,protección parcial,parcial,29.0,-2.4821733557870593,-1.1408172649269281
BRA3,-17.96548,-38.69404,protección total,total (grande y antigua),29.0,0.1068923778195302,-0.9404015576991124
BRA5,-17.960620000000002,-38.69363,protección total,total (grande y antigua),29.0,0.29370739700738924,-0.7399858504712965
BRA6,-17.962529999999997,-38.6964,protección total,total (grande y antigua),29.0,-0.6948584927179424,-1.255340526199966
BS1,-4.5121,129.88875,sin protección,sin protección,,0.3478875025999224,0.6342932848051555
BS2,-4.52338,129.89757,sin protección,sin protección,,-0.7387358872411753,-0.33915443601566464
BS3,-4.51512,129.89878000000002,sin protección,sin protección,,0.39338845209541506,0.06167697843996717
BS4,-4.52632,129.89183,sin protección,sin protección,,0.41983982511248175,0.3193543163043019
BS5,-4.50935,129.88402,sin protección,sin protección,,-0.06781182956870405,0.7488165460781931
BS6,-4.5058300000000004,129.88086,sin protección,sin protección,,-0.1714539324656849,1.3500636677616409
BS7,-4.51107,129.93881000000002,sin protección,sin protección,,0.3646232269859098,2.0372032353998666
BS8,-4.57843,130.03531999999998,sin protección,sin protección,,0.37499591577232905,2.8388660643111305
BS9,-4.63746,130.05772,sin protección,sin protección,,-0.1385376654149826,1.4645869290346785
BZE1,16.80407,-88.07896,protección total,total (grande y antigua),20.0,-0.552854621892295,-0.7686166657895559
BZE1,16.80407,-88.07896,protección total,total (grande y antigua),20.0,0.3878103557166011,-0.4823085126069617
BZE1,16.80407,-88.07896,protección total,total (grande y antigua),20.0,0.14322384222754597,-0.4823085126069617
BZE2,16.79972,-88.07863,protección total,total (grande y antigua),20.0,-0.6372700951361695,-0.6827242198347776
BZE2,16.79972,-88.07863,protección total,total (grande y antigua),20.0,-0.9324309419394627,-1.2839713415182252
BZE3,16.80958,-88.08563000000001,protección total,total (grande y antigua),20.0,0.4780905395116135,-0.19600035942436755
BZE4,16.75328,-88.09841999999999,protección parcial,parcial,20.0,-0.6066054384785705,-0.6827242198347776
BZE5,16.78881,-88.07675,protección total,total (grande y antigua),20.0,-1.1188088658328672,-0.8831399270625935
BZE6,16.80861,-88.08185,protección total,total (grande y antigua),20.0,-0.7445360537723897,-0.8258782964260747
CAM4,10.62083,103.29556,sin protección,sin protección,,-0.04656743156791855,-0.8258782964260747
CAM7,10.622530000000001,103.28933,sin protección,sin protección,,-0.23582455982953665,-0.8258782964260747
CAM8,10.62054,103.29564,sin protección,sin protección,,0.290876728236573,-0.6540934045165182
CAM9,10.61955,103.29703,sin protección,sin protección,,-0.14696967713180342,-0.9976631883356312
CAN1,28.16443,-16.42887,sin protección,sin protección,,0.09193107799753816,-1.7706952019286353
CAN1,28.16443,-16.42887,sin protección,sin protección,,-1.3366125479686792,-1.8565876478834136
CAN10,28.400990000000004,-16.32476,sin protección,sin protección,,0.2696318956936094,-1.3412329721547442
CAN10,28.400990000000004,-16.32476,sin protección,sin protección,,-0.7257398437411892,-1.8279568325651543
CAN10,28.400990000000004,-16.32476,sin protección,sin protección,,0.2813712412370583,-1.8565876478834136
CAN107,28.079929999999997,-17.33107,protección parcial,parcial,18.0,-0.46431344616349096,-1.6848027559738572
CAN11,28.5085,-16.1811,sin protección,sin protección,0.0,-0.5037903268968035,-1.742064386610376
CAN12,28.14238,-16.4387,sin protección,sin protección,,-0.6678644733643256,-1.8279568325651543
CAN13,28.19274,-16.42234,sin protección,sin protección,,0.6365859019447205,-1.6132257176782085
CAN14,27.8566,-15.3873,protección parcial,parcial,14.0,-0.46906922687048,-1.7993260172468948
CAN15,28.274559999999997,-16.38328,sin protección,sin protección,,1.4917360004645648,-1.4557562334277818
CAN16,28.3416,-16.9198,protección parcial,parcial,1.0,-0.47052472571967413,-1.8729481137795618
CAN16,28.3416,-16.9198,protección parcial,parcial,1.0,0.34166587739711,-1.7134335712921165
CAN17,28.3423,-16.9179,protección parcial,parcial,1.0,-0.5638863295609208,-1.7277489789512464
CAN18,28.3429,-16.9213,protección parcial,parcial,1.0,-0.3329670912855295,-1.742064386610376
CAN18,28.3429,-16.9213,protección parcial,parcial,1.0,-0.5327449152625665,-1.5893667049129925
CAN19,28.4013,-16.3312,sin protección,sin protección,,-0.8274599398922625,-1.8565876478834136
CAN19,28.4013,-16.3312,sin protección,sin protección,,-2.025076697771239,-1.9711109091564514
CAN2,27.8003,-17.88635,sin protección,sin protección,,0.4182605032099119,-1.6275411253373384
CAN20,28.4009,-16.332,sin protección,sin protección,,0.6394391852105397,-1.7993260172468948
CAN21,28.294520000000002,-16.37373,sin protección,sin protección,,-1.7480126328114078,-1.8995338708608027
CAN21,28.294520000000002,-16.37373,sin protección,sin protección,,-1.525166007585465,-1.8279568325651543
CAN22,28.404840000000004,-16.31606,sin protección,sin protección,,-0.07112062871019528,-1.6848027559738572
CAN23,28.407420000000002,-16.310470000000002,sin protección,sin protección,,-0.3998606044665579,-1.8279568325651543
CAN24,28.22075,-16.412670000000002,sin protección,sin protección,,-0.2792390817491659,-1.8184132274590676
CAN25,28.4061,-16.3148,sin protección,sin protección,,-0.17130466786220191,-1.8279568325651543
CAN25,28.4061,-16.3148,sin protección,sin protección,,0.02972341673026504,-1.7706952019286353
CAN26,28.23907,-16.40304,sin protección,sin protección,,-2.4821733557870593,-1.8565876478834136
CAN27,28.09883,-16.47955,sin protección,sin protección,,-1.0958883563073476,-1.9329364887321054
CAN28,28.09427,-16.48191,sin protección,sin protección,,-1.8284781886288535,-1.7993260172468948
CAN29,28.240479999999998,-16.40157,sin protección,sin protección,,-0.47831288194854715,-1.8565876478834136
CAN3,27.79932,-17.888820000000003,sin protección,sin protección,,0.5652115589567721,-1.6084539151251653
CAN30,28.118940000000002,-16.462770000000003,sin protección,sin protección,,-2.4821733557870593,-1.9711109091564514
CAN31,28.2195,-16.4132,sin protección,sin protección,,-2.4821733557870593,-2.0140571321338405
CAN32,28.9186,-13.68179,protección parcial,parcial,1.0,-0.5555017460447733,-1.8279568325651543
CAN33,28.9182,-13.6665,protección parcial,parcial,1.0,-0.2943403883250285,-1.6848027559738572
CAN34,28.919790000000003,-13.67615,protección parcial,parcial,1.0,-0.9731341865428448,-1.5702794947008194
CAN35,28.9221,-13.67392,sin protección,sin protección,,-0.2943403883250285,-1.742064386610376
CAN36,28.4021,-16.3283,sin protección,sin protección,,1.2573054791628395,-1.742064386610376
CAN36,28.4021,-16.3283,sin protección,sin protección,,-1.0028654780610151,-1.7134335712921165
CAN37,28.5858,-17.9116,protección parcial,parcial,1.0,-0.28484264832976985,-1.742064386610376
CAN38,28.4553,-17.8444,protección parcial,parcial,1.0,0.12499180249557207,-1.7134335712921165
CAN39,28.6715,-17.7639,sin protección,sin protección,,1.0754158551871915,-1.7993260172468948
CAN4,27.645540000000004,-17.99875,protección total,total (grande y antigua),15.0,0.5933120478423624,-1.474843443639955
CAN40,28.6784,-17.7654,sin protección,sin protección,,0.4108817301551532,-1.742064386610376
CAN41,28.6742,-17.7647,sin protección,sin protección,,0.4255952760769575,-1.6848027559738572
CAN42,28.5469,-16.3698,sin protección,sin protección,,-0.5673653407036718,-1.6561719406555977
CAN43,28.2878,-16.37839,sin protección,sin protección,,-0.22958920596795548,-1.7706952019286353
CAN44,28.24809,-16.84349,protección parcial,parcial,1.0,0.6164741371748159,-1.4557562334277818
CAN45,28.268459999999997,-16.85099,protección parcial,parcial,1.0,0.9217576745348525,-1.5702794947008194
CAN46,28.916999999999998,-13.6942,sin protección,sin protección,,-0.5301816915022595,-1.8565876478834136
CAN48,28.3733,-16.7526,sin protección,sin protección,,-2.4821733557870593,-1.722977176398203
CAN48,28.3733,-16.7526,sin protección,sin protección,,-2.4821733557870593,-1.761151596822549
CAN5,27.63995,-17.99556,protección total,total (grande y antigua),15.0,0.5790469544328448,-1.5511922844886463
CAN50,28.381140000000002,-16.35615,sin protección,sin protección,,-0.08963758487851393,-1.8565876478834136
CAN51,28.38437,-16.35294,sin protección,sin protección,,0.40505954755506834,-1.7993260172468948
CAN52,28.0871,-16.4903,sin protección,sin protección,,0.016112394291725503,-1.6275411253373384
CAN52,28.0871,-16.4903,sin protección,sin protección,,0.2928034936543198,-1.5130178640643006
CAN53,28.0882,-16.4898,sin protección,sin protección,,-1.631109122856796,-1.742064386610376
CAN53,28.0882,-16.4898,sin protección,sin protección,,-1.5485064376183142,-1.742064386610376
