color,mag,Mass,logTe
2.27244966173512,24.869148714886556,0.266,3.5747
2.229513318863533,24.68528297496401,0.298,3.581
2.226459677508433,24.672652389256385,0.3,3.5814
2.202092876332255,24.57062052375081,0.32,3.5852
2.1687663651416496,24.42373879475056,0.35,3.5906
2.1396451923598634,24.313393155655696,0.374,3.5951
2.108682405940447,24.197335835900446,0.4,3.5999
2.0502119629721776,23.98694254487348,0.45,3.6093
1.9806059372257667,23.752273556501773,0.5,3.6203
1.901171656623919,23.53528802946502,0.55,3.6333
1.869473994135129,23.448791817599428,0.566,3.6385
1.8017633442911625,23.255618635883398,0.6,3.6497
1.8017633442911625,23.255618635883398,0.6,3.6497
1.7412589158010674,23.07763509448153,0.631,3.66
1.7027418708988502,22.957489369634875,0.65,3.6668
1.6271561047734018,22.697232339086277,0.693,3.6821
1.616011590339443,22.652991881043064,0.7,3.6847
1.5891319122009686,22.57726508366933,0.712,3.6907
1.571560165749497,22.52108079551334,0.719,3.6949
1.4969675062950325,22.287225782993357,0.75,3.7129
1.485957199275736,22.24204434781281,0.757,3.7158
1.4228257675357143,21.98659676148651,0.792,3.7325
1.4091383241413595,21.93091219448607,0.8,3.7361
1.3736053586376364,21.77496784527403,0.822,3.746
1.3236128585749458,21.56959443649537,0.849,3.7588
1.322705037574296,21.56975221528682,0.85,3.7588
1.2973006192640515,21.456183453429883,0.865,3.7655
1.2574299046784183,21.274198969964026,0.889,3.7762
1.239324039525466,21.19440877516615,0.899,3.781
1.2067550343028883,21.040219167028177,0.92,3.7902
1.1633613219939352,20.85603136562165,0.947,3.8024
1.1597463099624254,20.83968571507467,0.95,3.8035
1.156131422835508,20.822340575249807,0.952,3.8047
1.099205224376262,20.629721650573668,0.986,3.8214
1.084747383558239,20.586378066915845,0.995,3.8258
1.0775179462103237,20.56670928694341,1.0,3.8282
1.0639614540735884,20.53621072116564,1.008,3.8323
1.0169453645146338,20.45293656201822,1.038,3.8467
1.0024700801775606,20.431638260238827,1.05,3.8515
0.966257140646571,20.394426869311133,1.074,3.8627
0.935442169246901,20.36323552781854,1.099,3.8721
0.935442169246901,20.36323552781854,1.1,3.8722
0.8791476409632248,20.28491757072092,1.149,3.8895
0.8226874450573305,20.17971420610809,1.2,3.9063
0.8226874450573305,20.178714206108097,1.2,3.9064
0.7760925934236084,20.065680065307955,1.241,3.9201
0.7669382282687878,20.040446963038075,1.25,3.9231
0.7155521608753062,19.91639494107414,1.3,3.9392
0.6731733975873349,19.802633626230836,1.35,3.9549
0.6685570907496925,19.790532753009323,1.356,3.9567
0.6380378020817139,19.69648465998577,1.4,3.9698
0.6102116107817621,19.59892197093509,1.45,3.9841
0.5869605990040023,19.507472195393685,1.5,3.9979
0.567383817411729,19.427307741779355,1.55,4.0107
0.5515041165517058,19.35042159462918,1.6,4.0232
0.5374682687449499,19.280175686140176,1.649,4.0347
0.5243470394581244,19.212751711124437,1.699,4.0461
0.5121443917168356,19.14714850674456,1.749,4.057
0.50274528648786,19.084995313259157,1.799,4.0674
0.4923935485243792,19.026029922648853,1.849,4.0772
0.4829711338366835,18.967882398550834,1.899,4.0869
0.4744812574023589,18.91155192628947,1.95,4.096
0.4669268828998394,18.85603777556561,2.0,4.1047
0.4603107005404281,18.803339299538,2.05,4.1128
0.4527422969718064,18.75182835906867,2.099,4.1207
0.4470610094078968,18.69994627420972,2.149,4.1283
0.4404273879885902,18.64925172024117,2.199,4.1355
0.4347367125602067,18.600371710901907,2.249,4.1426
0.4290416481124102,18.55249265716767,2.299,4.1493
0.423342159176431,18.50461455756868,2.349,4.1557
0.4185891796567866,18.458550202362485,2.399,4.162
0.4004992491752792,18.276111671129915,2.6,4.1841
0.3842744398283458,18.1033062975207,2.8,4.2036
0.3699271090083271,17.938131370748337,3.0,4.2204
0.3565092621110526,17.783773400842602,3.199,4.2361
0.3459480756460591,17.636852855726236,3.398,4.2501
0.3353702893747463,17.500935445933603,3.598,4.2637
0.3334452549794135,17.486314434843873,3.619,4.265
0.3247756847372381,17.37202116240792,3.798,4.2765
0.3151294476137203,17.247919973548907,4.001,4.2884
0.3064356599961623,17.13063110060866,4.198,4.2996
0.2996657717380294,17.04296341290053,4.353,4.3078
0.2986980658759448,17.01815384562298,4.397,4.3101
0.2977302147792217,17.017344303923775,4.399,4.3102
0.2899821578535924,16.90986889033406,4.597,4.3201
0.2831949085108539,16.8052042432102,4.798,4.3295
0.2754291771177375,16.7047318888153,4.999,4.3384
0.2695986177949718,16.617878690641266,5.176,4.3459
0.264735690441019,16.534835056682763,5.353,4.353
0.2588951934075397,16.452983532083948,5.529,4.3598
0.2530492255571547,16.374132918262173,5.706,4.3664
0.2501241789916317,16.32370795243337,5.819,4.3705
0.2481733809966214,16.295091434749448,5.884,4.3728
0.2442699384119464,16.241858702021325,6.008,4.3771
0.2432936921006829,16.219050581849544,6.06,4.3789
0.2393871592690294,16.14481835299927,6.234,4.3847
0.227652614613971,15.964124080380635,6.677,4.3986
0.2384101383434301,15.900010358711892,6.759,4.401
0.2286313541413478,15.663931798321116,7.301,4.416
0.2217768700453075,15.524278299213602,7.635,4.4246
0.2188368641831058,15.475855746772629,7.779,4.4281
0.2090265042614333,15.302782197261934,8.306,4.4403
0.2070625134312476,15.236167787005536,8.51,4.4448
0.2021497217550286,15.13813219767313,8.825,4.4513
0.1992001101690614,15.012711142984545,9.244,4.4593
0.1992001101690619,14.974711142984544,9.371,4.4617
0.1972328927998636,14.864097230958263,9.735,4.468
0.1932965090014791,14.699869705299424,10.271,4.4765
0.1923120060398419,14.696062886010376,10.285,4.4767
0.1864015567249271,14.601222491607736,10.599,4.4812
0.1775247936715566,14.490963573262976,10.967,4.4861
0.1735752672586541,14.430738030726156,11.168,4.4886
0.1725874704330252,14.42493170687739,11.186,4.4888
0.1627003221268562,14.295869825798167,11.625,4.4937
0.1547785110835655,14.170422094802984,12.053,4.4978
0.1478380372062051,14.050781620650792,12.454,4.5011
0.1468458601614389,13.935975936805306,12.828,4.5036
0.1468458601614387,13.908975936805303,12.914,4.5041
0.1448609938474023,13.791364642678476,13.287,4.5055
0.1428754434726479,13.678753446591813,13.641,4.5063
0.1408892077235174,13.529142348490875,14.093,4.5063
0.1369146748474949,13.390920446028444,14.485,4.5047
0.1379085661492387,13.316725884943631,14.679,4.5033
0.1389022852863521,13.24353134832123,14.878,4.502
0.144860993847403,13.096364642678475,15.254,4.4985
0.1597309079471875,12.911451742118182,15.669,4.4921
0.1696230807950531,12.738512883507276,16.037,4.4844
0.1735752672586543,12.593738030726156,16.331,4.4768
0.1745628978311143,12.55154437928229,16.415,4.4744
0.175550362314613,12.542350752552604,16.432,4.4739
0.1834441186848667,12.42580262924198,16.662,4.4663
0.1923120060398427,12.31406288601038,16.897,4.4598
0.1942808489940918,12.269676549431932,17.0,4.4579
0.1824579770015973,12.261996058013295,17.108,4.4648
0.1666571889671007,12.289094282258542,17.148,4.4747
0.1656682237714877,12.332288131170849,17.165,4.4874
0.1607208810068703,12.36225774539033,17.17,4.4977
0.1597309079471875,12.389451742118183,17.173,4.5072
0.1597309079471865,12.391451742118182,17.173,4.5077
0.1597309079471875,12.387451742118182,17.174,4.5059
0.1587407663354334,12.372645763458143,17.176,4.5019
0.1597309079471875,12.357451742118185,17.176,4.4988
0.1617106856786911,12.34506377328139,17.177,4.4961
0.1627003221268562,12.332869825798166,17.177,4.4937
0.1636897905155714,12.309675902947466,17.178,4.49
0.1656682237714877,12.291288131170848,17.178,4.487
0.1656682237714868,12.271288131170849,17.179,4.4839
0.1656682237714868,12.24428813117085,17.179,4.4797
0.1636897905155714,12.222675902947469,17.18,4.4764
0.1656682237714877,12.201288131170848,17.18,4.473
0.17159950719002,12.17912540772919,17.18,4.4696
0.1775247936715566,12.155963573262976,17.181,4.4659
0.1844300957570396,12.133609225246074,17.181,4.462
0.1903425105526711,12.115449321935452,17.182,4.4589
0.1972328927998639,12.096097230958264,17.182,4.4556
0.2060802770930766,12.07136061928882,17.182,4.4519
0.2100082590818621,12.052589439815227,17.182,4.4492
0.211971288354428,12.03020399980604,17.183,4.4463
0.2139336782306521,12.004818659687835,17.183,4.4428
0.2158954300241941,11.973433419515054,17.183,4.4384
0.2168760670504782,11.955240836925208,17.184,4.4358
0.2168760670504782,11.935240836925209,17.184,4.4328
0.2178565450487128,11.91104827934213,17.184,4.4293
0.2188368641831054,11.884855746772628,17.184,4.4254
0.2237360826447006,11.854893459366869,17.185,4.4209
0.227652614613971,11.821124080380638,17.185,4.4155
0.233522699198954,11.782970764485938,17.186,4.4095
0.2393871592690299,11.739818352999269,17.186,4.4023
0.2296099366111641,11.742739541350018,17.187,4.394
0.236455630081558,11.693394445599738,17.187,4.3856
0.244269938411946,11.638858702021324,17.188,4.3763
0.251099347739532,11.582516249129108,17.188,4.3667
0.2588951934075398,11.524983532083947,17.189,4.3568
0.2666813131788264,11.467452434197966,17.189,4.347
0.270570752126364,11.441687493528384,17.189,4.3425
0.2744577911275175,11.414922958955056,17.189,4.3377
0.278342440691551,11.388158830913472,17.19,4.3327
0.2822247113277318,11.362395109839122,17.19,4.3275
0.2851348594554433,11.337822586367574,17.19,4.3234
0.2928887750287802,11.278296978864786,17.191,4.3134
0.3112669735527119,11.122680217818989,17.192,4.3005
0.319954336451457,11.08897024637785,17.193,4.284
0.3295935129969704,11.022072722489677,17.193,4.2743
0.3392186915419279,10.949177778210498,17.194,4.2635
0.3488300362935973,10.870285420344818,17.195,4.252
0.3603456205922992,10.787018014552528,17.195,4.2396
0.3708845231823586,10.698942849705976,17.196,4.2267
0.3833188715787552,10.607494452702287,17.197,4.213
0.3928686958709377,10.52961407998052,17.198,4.2015
0.4024056059305437,10.453736331777392,17.199,4.1904
0.4100259460780585,10.386236027440937,17.2,4.1808
0.4185891796567872,10.326550202362483,17.202,4.1724
0.429991131818624,10.253305766490952,17.205,4.1628
0.4337878409031304,10.231558468957768,17.206,4.1605
0.4290416481124099,10.243492657167666,17.21,4.1634
0.4261924589222414,10.254053488193128,17.214,4.1663
0.39954587913675,10.401299380259006,17.224,4.1938
0.3938229653079439,10.432426186944593,17.226,4.1998
0.3900051120491346,10.454177916532196,17.228,4.2044
0.3833188715787552,10.498494452702287,17.229,4.2124
0.3794952890943315,10.53124733513201,17.229,4.2181
0.3756696035502676,10.555000635960509,17.23,4.2221
0.3727989529373496,10.576565885894109,17.231,4.2257
0.3699271090083265,10.597131370748338,17.232,4.2292
0.3680118812461556,10.616508491071892,17.233,4.2326
0.3641798234675777,10.637263044483795,17.234,4.2359
0.3613043729886607,10.656829232997582,17.235,4.2393
0.3584277114592504,10.677395655697117,17.236,4.2428
0.3555498344457547,10.696962312398671,17.237,4.2461
0.3526707375145737,10.716529202918526,17.239,4.2495
0.3459480756460591,10.757852855726236,17.243,4.2566
0.341142061941092,10.79679909950654,17.246,4.2633
0.3353702893747464,10.834935445933604,17.25,4.27
0.3295935129969704,10.868072722489677,17.254,4.2757
0.3247756847372387,10.899021162407918,17.259,4.281
0.3170598293287086,10.942540005550786,17.264,4.288
0.310300997698118,10.979870343070532,17.27,4.2942
0.3035351461241313,11.014201937930286,17.276,4.2998
0.3083686160322706,10.982250670546817,17.283,4.3063
0.3016007484151132,11.02158262421789,17.292,4.3131
0.2948257884391517,11.055915832228193,17.302,4.3187
0.2899821578535926,11.08586889033406,17.312,4.3239
0.2880436797812939,11.09525029224378,17.325,4.3283
0.2773715017355471,11.189349824787705,17.342,4.3335
0.2744577911275175,11.206922958955056,17.372,4.3379
0.2715427364611069,11.215496321796516,17.391,4.3402
0.2802838727187942,11.126776919478177,17.512,4.3299
0.2996657717380293,10.95496341290053,17.606,4.3204
0.3045021282761342,10.909011633201638,17.694,4.3112
0.3141640431736575,10.836109996092404,17.767,4.3013
0.3131984961262741,10.825300044323122,17.827,4.2913
0.325739531334439,10.747831422872917,17.875,4.281
0.3344078417565639,10.68012492747368,17.914,4.2714
0.3430648803021826,10.619420524313556,17.945,4.2624
0.3507506596389771,10.559907259740092,17.972,4.2532
0.3584277114592504,10.501395655697117,17.994,4.2442
0.365138038604521,10.444074367052233,18.014,4.2351
0.3727989529373505,10.38656588589411,18.031,4.226
0.3823631725447642,10.31968263406102,18.049,4.2151
0.3890503250575803,10.26436591450804,18.061,4.2061
0.3947771057668325,10.220238320160655,18.07,4.1988
0.4014524913851417,10.17692398830044,18.077,4.1917
0.4090738469368777,10.123423473267604,18.085,4.1829
0.4157358967539043,10.083111906440092,18.091,4.176
0.4233421591764315,10.043614557568684,18.095,4.1693
0.4347367125602065,9.995371710901908,18.1,4.161
0.4461137098663317,9.953132686655236,18.104,4.1535
0.4527422969718067,9.925828359068674,18.108,4.1488
0.4574734348449673,9.889897496586835,18.111,4.1425
0.4622016233123418,9.845967301802297,18.114,4.135
0.4640920774634747,9.802595411034249,18.117,4.1278
0.4678715851580335,9.755851950618869,18.119,4.1199
0.4707049955697368,9.711294636502302,18.121,4.112
0.476368697538837,9.670180732138071,18.123,4.1048
0.4848565198606716,9.615511688019788,18.125,4.0949
0.4923935485243792,9.569029922648854,18.126,4.0864
0.5008641495653084,9.530364999193909,18.127,4.0791
0.5271604703337822,9.488199256482767,18.129,4.0697
0.5337214461687139,9.441911148369602,18.13,4.0609
0.5402772929069595,9.407624375950164,18.13,4.0539
0.5477634809038818,9.3661554174367,18.131,4.0455
0.5533738243857613,9.334054847528243,18.131,4.0388
0.5711160396411661,9.244576224450888,18.133,4.019
0.5860293365072804,9.166654564489548,18.134,4.0007
0.602777612150278,9.083376156293973,18.134,3.9811
0.6306252604501958,9.013932151295029,18.134,3.9624
0.6630148521804203,8.932612637176998,18.135,3.9393
0.7081934090484381,8.854823428405208,18.135,3.9118
0.758693892568845,8.79903964844795,18.136,3.8805
0.8181258018816442,8.795589846799897,18.136,3.8606
0.8882375843425511,8.813186867322926,18.137,3.8425
0.9599156769485392,8.814619899534787,18.137,3.8259
1.042266343572928,8.781227607432465,18.137,3.8083
1.1317334000225898,8.7327742067845,18.137,3.7897
1.223941105544946,8.692147338930738,18.138,3.7707
1.3154438008741276,8.683015638264727,18.138,3.7513
1.3617772549159053,8.68299774725477,18.139,3.741
1.4100504434924914,8.69075759549249,18.138,3.7307
1.4612187237392065,8.70315419283429,18.139,3.7205
1.5107443406265313,8.719959553378208,18.139,3.7105
1.562323843665948,8.738567826460992,18.139,3.7008
1.6150834691330034,8.763138739297096,18.14,3.6909
1.6802780753547957,8.784944337536306,18.14,3.6817
1.772396552015962,8.809967336697623,18.14,3.6724
1.865641892752958,8.839340485486375,18.14,3.664
1.940765887865312,8.86874914284735,18.14,3.6572
1.9747598948156475,8.897070889807205,18.141,3.6522
2.0001327155961395,8.92262565025192,18.141,3.6484
2.0207031220345137,8.936861739400664,18.141,3.6452
2.0383908954347114,8.940506083783172,18.141,3.6429
2.055144388035948,8.94229270243593,18.142,3.6406
2.0729355127812337,8.922961235420377,18.142,3.6384
2.088795621251021,8.900899311441238,18.142,3.6365
2.103704224356296,8.880975251166285,18.142,3.6348
2.1126680878512767,8.867825002404912,18.143,3.6338
2.122644563484998,8.854550638916056,18.143,3.6328
2.130638452145961,8.842533949689145,18.143,3.6318
2.137642442927268,8.832646392399772,18.143,3.631
2.1506731767856624,8.809003145726921,18.144,3.6297
2.1597123721288485,8.78586938397864,18.144,3.6285
2.167759631446856,8.758864258954006,18.145,3.6273
2.1778352755311667,8.723611383003158,18.145,3.6258
2.1848992623789485,8.694736707151813,18.146,3.6245
2.197030279657934,8.654241748549309,18.147,3.6226
2.203105963762244,8.636496397122013,18.148,3.6218
2.203105963762243,8.634496397122014,18.148,3.6218
2.204119240940424,8.63137230995272,18.148,3.6216
2.203105963762244,8.629496397122013,18.149,3.6217
