reach_id,continente,n_nodos,n_marea,n_probable_marea,n_sin_marea,n_probable_sin_marea,pct_tidal,amplitud_media_m,amplitud_max_m,amplitud_mediana_m,es_tidal
11410000016,África,1,1,0,0,0,100.0,0.9591,0.9591,0.9591,sí
11410000023,África,62,62,0,0,0,100.0,0.8341,1.0206,0.8583,sí
11410000031,África,52,19,33,0,0,100.0,0.5698,0.6180,0.5725,sí
11410000041,África,52,0,52,0,0,100.0,,,,sí
11430000011,África,56,0,56,0,0,100.0,,,,sí
11430000021,África,55,0,55,0,0,100.0,,,,sí
11430000031,África,94,0,94,0,0,100.0,,,,sí
11430000041,África,94,0,94,0,0,100.0,,,,sí
11430000051,África,43,0,34,0,9,79.1,,,,sí
11430000061,África,51,0,0,0,51,0.0,,,,no
11441100011,África,87,0,0,0,87,0.0,,,,no
11441100021,África,52,0,0,9,43,0.0,,,,no
11441100031,África,52,0,0,52,0,0.0,,,,no
11441100041,África,89,0,0,89,0,0.0,,,,no
11441100051,África,55,0,0,55,0,0.0,,,,no
11441100061,África,73,0,0,73,0,0.0,,,,no
11441100071,África,64,0,0,64,0,0.0,,,,no
11441100081,África,63,0,0,63,0,0.0,,,,no
11441100091,África,64,0,0,64,0,0.0,,,,no
11441100101,África,98,0,0,98,0,0.0,,,,no
11441100111,África,98,0,0,98,0,0.0,,,,no
11441100121,África,98,0,0,98,0,0.0,,,,no
11441100131,África,98,0,0,98,0,0.0,,,,no
11441100141,África,98,0,0,98,0,0.0,,,,no
11441100151,África,98,0,0,98,0,0.0,,,,no
11441100161,África,98,0,0,98,0,0.0,,,,no
11441100171,África,78,0,0,78,0,0.0,,,,no
11441100181,África,50,0,0,50,0,0.0,,,,no
11441100191,África,50,0,0,50,0,0.0,,,,no
11441100201,África,50,0,0,50,0,0.0,,,,no
11441100211,África,50,0,0,50,0,0.0,,,,no
11441100221,África,62,0,0,62,0,0.0,,,,no
11441100231,África,62,0,0,62,0,0.0,,,,no
11441100241,África,88,0,0,88,0,0.0,,,,no
11441100251,África,61,0,0,61,0,0.0,,,,no
11441100261,África,96,0,0,96,0,0.0,,,,no
11710200015,África,51,51,0,0,0,100.0,0.9671,1.0080,0.9605,sí
11710200025,África,40,40,0,0,0,100.0,1.0261,1.0818,1.0190,sí
11710200035,África,13,13,0,0,0,100.0,0.6623,0.9553,0.6937,sí
11710200045,África,52,2,1,40,9,5.8,0.2232,0.2407,0.2232,sí
11710300016,África,1,1,0,0,0,100.0,0.9551,0.9551,0.9551,sí
11710300025,África,50,50,0,0,0,100.0,0.9323,0.9593,0.9295,sí
11710900016,África,1,1,0,0,0,100.0,0.8417,0.8417,0.8417,sí
11720100015,África,54,54,0,0,0,100.0,0.8840,0.9191,0.8945,sí
11720100025,África,55,55,0,0,0,100.0,0.8104,0.8844,0.7975,sí
11720100035,África,47,27,20,0,0,100.0,0.7626,0.9266,0.8609,sí
11720100045,África,47,0,17,0,30,36.2,,,,sí
11720100055,África,47,0,0,0,47,0.0,,,,no
11720100065,África,92,0,0,0,92,0.0,,,,no
11720100075,África,51,1,50,0,0,100.0,0.6653,0.6653,0.6653,sí
11720100085,África,20,0,20,0,0,100.0,,,,sí
11720100095,África,57,0,57,0,0,100.0,,,,sí
11720100105,África,58,0,58,0,0,100.0,,,,sí
11720100115,África,55,0,55,0,0,100.0,,,,sí
11720100125,África,52,0,52,0,0,100.0,,,,sí
11720100135,África,53,0,53,0,0,100.0,,,,sí
11720100145,África,56,0,56,0,0,100.0,,,,sí
11734100016,África,1,1,0,0,0,100.0,1.1475,1.1475,1.1475,sí
11734100025,África,55,55,0,0,0,100.0,1.0996,1.1511,1.1099,sí
11734100035,África,57,34,23,0,0,100.0,0.8689,0.9131,0.8632,sí
11734100043,África,47,0,47,0,0,100.0,,,,sí
11734100051,África,91,0,91,0,0,100.0,,,,sí
11734100061,África,56,0,56,0,0,100.0,,,,sí
11734100071,África,56,0,41,10,5,73.2,,,,sí
11734100084,África,2,0,0,2,0,0.0,,,,no
11734100094,África,5,0,0,5,0,0.0,,,,no
11735000016,África,1,0,1,0,0,100.0,,,,sí
11736100013,África,34,0,34,0,0,100.0,,,,sí
11736100021,África,83,0,68,0,15,81.9,,,,sí
11736100031,África,98,0,0,0,98,0.0,,,,no
11736100041,África,51,0,0,44,7,0.0,,,,no
11736100051,África,53,0,0,53,0,0.0,,,,no
11736100061,África,53,0,0,53,0,0.0,,,,no
11736100071,África,53,0,0,53,0,0.0,,,,no
11736100081,África,53,0,0,53,0,0.0,,,,no
11736100091,África,53,0,0,53,0,0.0,,,,no
11736100101,África,55,0,0,55,0,0.0,,,,no
11736100111,África,91,0,0,91,0,0.0,,,,no
11736100121,África,56,0,0,56,0,0.0,,,,no
11736100131,África,100,0,0,100,0,0.0,,,,no
11736100141,África,49,0,0,49,0,0.0,,,,no
11738000016,África,1,1,0,0,0,100.0,0.4843,0.4843,0.4843,sí
11738000023,África,56,3,53,0,0,100.0,0.4920,0.4940,0.4933,sí
11738000033,África,57,0,57,0,0,100.0,,,,sí
11738000041,África,51,0,51,0,0,100.0,,,,sí
11738000051,África,87,0,7,0,80,8.0,,,,sí
11738000061,África,87,0,0,0,87,0.0,,,,no
11738000071,África,85,0,0,4,81,0.0,,,,no
11738000081,África,64,0,0,64,0,0.0,,,,no
11738000091,África,53,0,0,53,0,0.0,,,,no
11738000101,África,53,0,0,53,0,0.0,,,,no
11738000111,África,53,0,0,53,0,0.0,,,,no
11738000121,África,53,0,0,53,0,0.0,,,,no
11738000131,África,53,0,0,53,0,0.0,,,,no
11738000141,África,53,0,0,53,0,0.0,,,,no
11738000151,África,65,0,0,65,0,0.0,,,,no
11738000161,África,54,0,0,54,0,0.0,,,,no
11738000171,África,54,0,0,54,0,0.0,,,,no
11738000181,África,54,0,0,54,0,0.0,,,,no
11738000191,África,54,0,0,54,0,0.0,,,,no
11738000201,África,54,0,0,54,0,0.0,,,,no
11738000211,África,51,0,0,51,0,0.0,,,,no
11738000221,África,51,0,0,51,0,0.0,,,,no
11738000231,África,90,0,0,90,0,0.0,,,,no
11738000241,África,92,0,0,92,0,0.0,,,,no
11738000251,África,93,0,0,93,0,0.0,,,,no
11738000261,África,92,0,0,92,0,0.0,,,,no
11741000015,África,59,0,59,0,0,100.0,,,,sí
11741000025,África,29,0,29,0,0,100.0,,,,sí
11741000035,África,1,0,1,0,0,100.0,,,,sí
11741000041,África,96,0,96,0,0,100.0,,,,sí
11741000051,África,51,0,51,0,0,100.0,,,,sí
11741000061,África,51,0,1,0,50,2.0,,,,sí
11741000071,África,53,0,0,0,53,0.0,,,,no
11741000081,África,76,0,0,47,29,0.0,,,,no
11741000091,África,53,0,0,53,0,0.0,,,,no
11741000101,África,87,0,0,87,0,0.0,,,,no
11750100016,África,1,1,0,0,0,100.0,1.2398,1.2398,1.2398,sí
11750100025,África,52,44,8,0,0,100.0,0.9663,1.2398,0.8485,sí
11761000013,África,36,0,36,0,0,100.0,,,,sí
11761000021,África,10,0,10,0,0,100.0,,,,sí
11761000031,África,99,0,60,0,39,60.6,,,,sí
11761000041,África,56,0,0,52,4,0.0,,,,no
11761000051,África,56,0,0,56,0,0.0,,,,no
11761000061,África,90,0,0,90,0,0.0,,,,no
11761000071,África,86,0,0,86,0,0.0,,,,no
11761000081,África,57,0,0,57,0,0.0,,,,no
11761000091,África,57,0,0,57,0,0.0,,,,no
11761000101,África,57,0,0,57,0,0.0,,,,no
11761000111,África,56,0,0,56,0,0.0,,,,no
11761000121,África,95,0,0,95,0,0.0,,,,no
11761000131,África,57,0,0,57,0,0.0,,,,no
11761000141,África,57,0,0,57,0,0.0,,,,no
11761000151,África,61,0,0,61,0,0.0,,,,no
11761000161,África,61,0,0,61,0,0.0,,,,no
11761000171,África,77,0,0,77,0,0.0,,,,no
11761000181,África,99,0,0,99,0,0.0,,,,no
11761000191,África,52,0,0,52,0,0.0,,,,no
11761000201,África,52,0,0,52,0,0.0,,,,no
11770100016,África,1,0,1,0,0,100.0,,,,sí
11770400016,África,1,0,1,0,0,100.0,,,,sí
11770400023,África,32,0,32,0,0,100.0,,,,sí
11770400031,África,53,0,53,0,0,100.0,,,,sí
11770400041,África,53,0,53,0,0,100.0,,,,sí
11770400051,África,53,0,53,0,0,100.0,,,,sí
11770400061,África,99,0,99,0,0,100.0,,,,sí
11770400071,África,95,0,19,42,34,20.0,,,,sí
11770400081,África,46,0,0,46,0,0.0,,,,no
11770400091,África,46,0,0,46,0,0.0,,,,no
11770400101,África,46,0,0,46,0,0.0,,,,no
11770400111,África,96,0,0,96,0,0.0,,,,no
11770400121,África,70,0,0,70,0,0.0,,,,no
11770400131,África,73,0,0,73,0,0.0,,,,no
11770400141,África,61,0,0,61,0,0.0,,,,no
11770400151,África,61,0,0,61,0,0.0,,,,no
11770400161,África,51,0,0,51,0,0.0,,,,no
11770400171,África,51,0,0,51,0,0.0,,,,no
11770400181,África,51,0,0,51,0,0.0,,,,no
11770400191,África,51,0,0,51,0,0.0,,,,no
11770400201,África,51,0,0,51,0,0.0,,,,no
11770400211,África,70,0,0,70,0,0.0,,,,no
11770400221,África,55,0,0,55,0,0.0,,,,no
11770400231,África,62,0,0,62,0,0.0,,,,no
11770400241,África,96,0,0,96,0,0.0,,,,no
11770400251,África,96,0,0,96,0,0.0,,,,no
11770400261,África,96,0,0,96,0,0.0,,,,no
11770400271,África,99,0,0,99,0,0.0,,,,no
11770400281,África,82,0,0,82,0,0.0,,,,no
11770400291,África,60,0,0,60,0,0.0,,,,no
11770500016,África,1,1,0,0,0,100.0,0.3691,0.3691,0.3691,sí
11770500021,África,21,0,21,0,0,100.0,,,,sí
11770600011,África,46,0,46,0,0,100.0,,,,sí
11770600021,África,46,0,46,0,0,100.0,,,,sí
11770600031,África,46,0,46,0,0,100.0,,,,sí
11770600041,África,43,0,43,0,0,100.0,,,,sí
11770600051,África,5,0,5,0,0,100.0,,,,sí
11770600061,África,96,0,96,0,0,100.0,,,,sí
11770600071,África,1,0,1,0,0,100.0,,,,sí
11770600081,África,55,0,12,36,7,21.8,,,,sí
11770600091,África,56,0,0,56,0,0.0,,,,no
11770600101,África,51,0,0,51,0,0.0,,,,no
11770600111,África,51,0,0,51,0,0.0,,,,no
11770600121,África,51,0,0,51,0,0.0,,,,no
11770600131,África,30,0,0,30,0,0.0,,,,no
11770600151,África,60,0,0,60,0,0.0,,,,no
11770800016,África,1,0,1,0,0,100.0,,,,sí
11770800021,África,49,0,49,0,0,100.0,,,,sí
11770800031,África,50,0,50,0,0,100.0,,,,sí
11770800041,África,50,0,50,0,0,100.0,,,,sí
11770800051,África,33,0,33,0,0,100.0,,,,sí
11770800061,África,68,0,68,0,0,100.0,,,,sí
11770800071,África,61,0,61,0,0,100.0,,,,sí
11770800081,África,64,0,64,0,0,100.0,,,,sí
11770800091,África,56,0,56,0,0,100.0,,,,sí
11770800101,África,56,0,56,0,0,100.0,,,,sí
11770800111,África,1,0,1,0,0,100.0,,,,sí
11770800121,África,47,0,5,36,6,10.6,,,,sí
11770800131,África,48,0,0,48,0,0.0,,,,no
11770800141,África,41,0,0,41,0,0.0,,,,no
11780100016,África,1,0,1,0,0,100.0,,,,sí
11780100023,África,35,0,35,0,0,100.0,,,,sí
11780100031,África,58,0,17,0,41,29.3,,,,sí
11780100041,África,86,0,0,50,36,0.0,,,,no
11780100051,África,100,0,0,100,0,0.0,,,,no
11780100061,África,56,0,0,56,0,0.0,,,,no
11780100071,África,96,0,0,96,0,0.0,,,,no
11780100081,África,58,0,0,58,0,0.0,,,,no
11780100091,África,58,0,0,58,0,0.0,,,,no
11780100101,África,50,0,0,50,0,0.0,,,,no
11780100111,África,50,0,0,50,0,0.0,,,,no
11780100121,África,50,0,0,50,0,0.0,,,,no
11780100131,África,50,0,0,50,0,0.0,,,,no
11780100141,África,79,0,0,79,0,0.0,,,,no
11780100151,África,84,0,0,84,0,0.0,,,,no
11780100161,África,99,0,0,99,0,0.0,,,,no
11780100171,África,99,0,0,99,0,0.0,,,,no
11780100181,África,90,0,0,90,0,0.0,,,,no
11780100191,África,53,0,0,53,0,0.0,,,,no
11794000011,África,91,0,91,0,0,100.0,,,,sí
11794000021,África,90,0,60,0,30,66.7,,,,sí
11794000031,África,68,0,0,32,36,0.0,,,,no
11794000041,África,50,0,0,50,0,0.0,,,,no
11794000051,África,99,0,0,99,0,0.0,,,,no
11795000016,África,1,1,0,0,0,100.0,1.2822,1.2822,1.2822,sí
11795000025,África,51,34,17,0,0,100.0,1.2319,1.2885,1.2251,sí
11795000035,África,52,0,52,0,0,100.0,,,,sí
11795000046,África,1,1,0,0,0,100.0,1.0499,1.0499,1.0499,sí
11795000053,África,63,63,0,0,0,100.0,0.9560,1.0396,0.9729,sí
11795000061,África,88,31,57,0,0,100.0,0.6851,0.7746,0.7428,sí
11795000071,África,53,0,36,0,17,67.9,,,,sí
11795000081,África,61,0,0,16,45,0.0,,,,no
11795000091,África,61,0,0,61,0,0.0,,,,no
11795000101,África,90,0,0,90,0,0.0,,,,no
11795000111,África,57,0,0,57,0,0.0,,,,no
11795000121,África,56,0,0,56,0,0.0,,,,no
11795000131,África,56,0,0,56,0,0.0,,,,no
11795000141,África,2,0,0,2,0,0.0,,,,no
11795000151,África,53,0,0,53,0,0.0,,,,no
11795000161,África,53,0,0,53,0,0.0,,,,no
11795000171,África,52,0,0,52,0,0.0,,,,no
11795000196,África,1,0,1,0,0,100.0,,,,sí
11795000203,África,21,0,21,0,0,100.0,,,,sí
11795000216,África,1,1,0,0,0,100.0,1.3261,1.3261,1.3261,sí
11795000225,África,51,51,0,0,0,100.0,1.2354,1.3261,1.2181,sí
11795000235,África,52,1,51,0,0,100.0,1.0721,1.0721,1.0721,sí
11795000245,África,52,0,52,0,0,100.0,,,,sí
11795000255,África,52,0,52,0,0,100.0,,,,sí
11795000265,África,51,0,51,0,0,100.0,,,,sí
11795000286,África,1,1,0,0,0,100.0,0.8475,0.8475,0.8475,sí
11795000295,África,52,52,0,0,0,100.0,1.0338,1.2233,1.1052,sí
11795000305,África,53,53,0,0,0,100.0,0.8298,1.3138,0.8942,sí
11795000315,África,48,40,8,0,0,100.0,0.4183,0.5690,0.3908,sí
11795000346,África,1,1,0,0,0,100.0,0.9651,0.9651,0.9651,sí
11795000355,África,54,52,2,0,0,100.0,0.7699,0.9651,0.7929,sí
11795000365,África,55,0,55,0,0,100.0,,,,sí
11795000375,África,54,0,54,0,0,100.0,,,,sí
11795000391,África,2,0,0,2,0,0.0,,,,no
11796000013,África,7,0,7,0,0,100.0,,,,sí
11796000021,África,60,0,60,0,0,100.0,,,,sí
11796000031,África,50,0,2,0,48,4.0,,,,sí
11796000041,África,50,0,0,0,50,0.0,,,,no
11796000051,África,50,0,0,0,50,0.0,,,,no
11796000061,África,50,0,0,15,35,0.0,,,,no
11796000071,África,50,0,0,50,0,0.0,,,,no
11796000081,África,50,0,0,50,0,0.0,,,,no
11796000091,África,97,0,0,97,0,0.0,,,,no
11796000101,África,97,0,0,97,0,0.0,,,,no
11796000111,África,97,0,0,97,0,0.0,,,,no
11796000121,África,52,0,0,52,0,0.0,,,,no
11796000131,África,53,0,0,53,0,0.0,,,,no
11796000141,África,53,0,0,53,0,0.0,,,,no
11796000151,África,53,0,0,53,0,0.0,,,,no
11796000161,África,53,0,0,53,0,0.0,,,,no
11796000171,África,53,0,0,53,0,0.0,,,,no
11796000181,África,53,0,0,53,0,0.0,,,,no
11796000191,África,53,0,0,53,0,0.0,,,,no
11796000201,África,61,0,0,61,0,0.0,,,,no
11796000211,África,54,0,0,54,0,0.0,,,,no
11796000221,África,56,0,0,56,0,0.0,,,,no
11796000245,África,69,67,2,0,0,100.0,0.9409,1.1719,0.8236,sí
11797000016,África,1,1,0,0,0,100.0,1.1547,1.1547,1.1547,sí
11797000026,África,1,0,1,0,0,100.0,,,,sí
12100000086,África,1,0,1,0,0,100.0,,,,sí
12100000095,África,30,0,30,0,0,100.0,,,,sí
12100000105,África,31,0,31,0,0,100.0,,,,sí
12100000146,África,1,0,1,0,0,100.0,,,,sí
12100000155,África,47,0,47,0,0,100.0,,,,sí
12100000165,África,48,0,48,0,0,100.0,,,,sí
12100000175,África,48,0,48,0,0,100.0,,,,sí
12210000015,África,21,0,21,0,0,100.0,,,,sí
12210000025,África,57,0,57,0,0,100.0,,,,sí
12210000035,África,58,0,58,0,0,100.0,,,,sí
12210000045,África,19,0,19,0,0,100.0,,,,sí
12210000051,África,60,0,30,0,30,50.0,,,,sí
12210000061,África,60,0,0,0,60,0.0,,,,no
12210000071,África,78,0,0,0,78,0.0,,,,no
12210000081,África,92,0,0,29,63,0.0,,,,no
12210000091,África,92,0,0,92,0,0.0,,,,no
12210000101,África,50,0,0,50,0,0.0,,,,no
12210000111,África,50,0,0,50,0,0.0,,,,no
12210000121,África,52,0,0,52,0,0.0,,,,no
12210000131,África,61,0,0,61,0,0.0,,,,no
12210000141,África,92,0,0,92,0,0.0,,,,no
12210000151,África,65,0,0,65,0,0.0,,,,no
12210000161,África,58,0,0,58,0,0.0,,,,no
12210000171,África,58,0,0,58,0,0.0,,,,no
12301000016,África,1,1,0,0,0,100.0,1.3261,1.3261,1.3261,sí
12301000025,África,13,13,0,0,0,100.0,1.4308,1.4455,1.4331,sí
12301000035,África,66,0,66,0,0,100.0,,,,sí
12301000045,África,53,0,53,0,0,100.0,,,,sí
12301000055,África,51,51,0,0,0,100.0,1.3659,1.4583,1.3568,sí
12301000065,África,50,6,44,0,0,100.0,1.5010,1.6080,1.4832,sí
12301000075,África,51,0,51,0,0,100.0,,,,sí
12301000085,África,50,0,50,0,0,100.0,,,,sí
12301000095,África,86,0,86,0,0,100.0,,,,sí
12301000116,África,1,0,1,0,0,100.0,,,,sí
12301000125,África,27,0,27,0,0,100.0,,,,sí
12301000136,África,1,1,0,0,0,100.0,1.7633,1.7633,1.7633,sí
12301000141,África,20,20,0,0,0,100.0,1.7291,1.7622,1.7255,sí
12301000151,África,9,9,0,0,0,100.0,1.8066,1.8828,1.8048,sí
