reach_id,continente,amplitud_m2_media_m,amplitud_o1_media_m,ratio_o1_m2,tipo_marea
11410000016,África,0.8138,0.1453,0.179,semidiurna
11410000023,África,0.6684,0.1453,0.217,semidiurna
11410000031,África,0.4014,0.1517,0.378,mixta
11710200015,África,0.7618,0.2038,0.267,mixta
11710200025,África,0.7837,0.2522,0.322,mixta
11710200035,África,0.3644,0.2699,0.741,mixta
11710200045,África,0.1133,0.1033,0.912,mixta
11710300016,África,0.7613,0.2013,0.264,mixta
11710300025,África,0.7583,0.1781,0.235,semidiurna
11710900016,África,0.7934,0.0623,0.078,semidiurna
11720100015,África,0.8146,0.0715,0.088,semidiurna
11720100025,África,0.6813,0.1390,0.204,semidiurna
11720100035,África,0.5857,0.1761,0.301,mixta
11720100075,África,0.4990,0.1750,0.351,mixta
11734100016,África,1.0341,0.1135,0.110,semidiurna
11734100025,África,0.9855,0.1251,0.127,semidiurna
11734100035,África,0.7187,0.1338,0.186,semidiurna
11738000016,África,0.3791,0.0951,0.251,mixta
11738000023,África,0.3898,0.0947,0.243,semidiurna
11750100016,África,0.9123,0.3274,0.359,mixta
11750100025,África,0.7479,0.2191,0.293,mixta
11770500016,África,0.2423,0.1269,0.524,mixta
11795000016,África,1.1022,0.1771,0.161,semidiurna
11795000025,África,1.0613,0.1726,0.163,semidiurna
11795000046,África,0.9393,0.1065,0.113,semidiurna
11795000053,África,0.8405,0.1049,0.125,semidiurna
11795000061,África,0.5093,0.1656,0.325,mixta
11795000216,África,1.0861,0.2400,0.221,semidiurna
11795000225,África,1.0335,0.2029,0.196,semidiurna
11795000235,África,0.9208,0.1603,0.174,semidiurna
11795000286,África,0.6813,0.1662,0.244,semidiurna
11795000295,África,0.9070,0.1537,0.169,semidiurna
11795000305,África,0.6742,0.1660,0.246,semidiurna
11795000315,África,0.3064,0.1077,0.352,mixta
11795000346,África,0.8187,0.1220,0.149,semidiurna
11795000355,África,0.5907,0.1725,0.292,mixta
11796000245,África,0.8493,0.0915,0.108,semidiurna
11797000016,África,1.1243,0.0298,0.027,semidiurna
12301000016,África,1.1629,0.0599,0.052,semidiurna
12301000025,África,1.2692,0.0725,0.057,semidiurna
12301000055,África,1.2568,0.1104,0.088,semidiurna
12301000065,África,1.4132,0.0980,0.069,semidiurna
12301000136,África,1.6761,0.0919,0.055,semidiurna
12301000141,África,1.6215,0.0916,0.056,semidiurna
12301000151,África,1.6985,0.1235,0.073,semidiurna
12301000163,África,1.7475,0.1180,0.068,semidiurna
12301000171,África,1.7063,0.0981,0.058,semidiurna
12301000183,África,1.5604,0.1605,0.103,semidiurna
12301000191,África,1.4643,0.4522,0.309,mixta
12302100013,África,1.4668,0.3005,0.205,semidiurna
12302100023,África,0.9473,0.1711,0.181,semidiurna
12302300011,África,0.6436,0.1938,0.301,mixta
12302300021,África,0.4767,0.1731,0.363,mixta
12304000011,África,1.4219,0.1377,0.097,semidiurna
12304000023,África,1.2747,0.1129,0.089,semidiurna
12304000031,África,0.9784,0.0949,0.097,semidiurna
12304000041,África,0.6166,0.1313,0.213,semidiurna
12305000016,África,1.8824,0.1755,0.093,semidiurna
12305000023,África,1.7533,0.1418,0.081,semidiurna
12306100013,África,0.8269,0.0863,0.104,semidiurna
12306100021,África,0.4607,0.0347,0.075,semidiurna
12307000016,África,0.9948,0.1906,0.192,semidiurna
12309000016,África,0.4139,0.0404,0.098,semidiurna
12410000015,África,0.4477,0.0426,0.095,semidiurna
12410000025,África,0.4351,0.0573,0.132,semidiurna
12410000035,África,0.3508,0.1315,0.375,mixta
12410000045,África,0.3900,0.0718,0.184,semidiurna
12410000055,África,0.2872,0.0865,0.301,mixta
12520100016,África,0.5638,0.1423,0.252,mixta
12520100025,África,0.5638,0.1423,0.252,mixta
12520100033,África,0.5696,0.1464,0.257,mixta
12540100015,África,0.9125,0.1142,0.125,semidiurna
12540100025,África,0.5633,0.4091,0.726,mixta
12540100035,África,0.4055,0.4971,1.226,mixta
12551000016,África,0.6088,0.1087,0.179,semidiurna
12551000025,África,0.7279,0.1006,0.138,semidiurna
12551000035,África,0.8861,0.0664,0.075,semidiurna
12551000466,África,0.5644,0.1208,0.214,semidiurna
12551000473,África,0.5630,0.0965,0.171,semidiurna
12551000481,África,0.3215,0.0380,0.118,semidiurna
12552000016,África,0.3582,0.0969,0.271,mixta
12552000023,África,0.3629,0.1205,0.332,mixta
12552000033,África,0.3222,0.1767,0.548,mixta
12553300016,África,0.4235,0.0691,0.163,semidiurna
12553300023,África,0.4355,0.1351,0.310,mixta
12553600016,África,0.5049,0.0244,0.048,semidiurna
12553600023,África,0.5017,0.0760,0.152,semidiurna
12553800013,África,0.4341,0.0571,0.132,semidiurna
12553900016,África,0.4330,0.0730,0.169,semidiurna
12554000016,África,0.4098,0.1630,0.398,mixta
12554000021,África,0.4144,0.0997,0.241,semidiurna
12555000016,África,0.2576,0.0446,0.173,semidiurna
12555000023,África,0.2451,0.0653,0.266,mixta
12556100016,África,0.3346,0.1383,0.413,mixta
