age_ka,co2_mean_ppm,ch4_mean_ppb,excluded,corrected_co2_ppm,corrected_co2_high,corrected_co2_low
456.03,230.52,467.93,0,,,
558.46,224.68,461.13,0,,,
826.54,271.64,526.98,0,-7.92,253.87,260.14
677.64,293.45,527.46,0,-8.07,270.68,277.45
872.56,259.9,570.34,0,-7.62,246.06,251.97
800.27,263.49,492.14,0,-7.87,251.65,257.83
857.81,235.66,455.13,1,,,
781.21,249.43,514.21,1,,,
776.23,250.96,492.17,1,,,
705.24,254.15,480.8,1,,,
833.36,261.92,479.88,1,-7.07,,
770.3,255.04,490.2,1,,,
634.26,263.04,578.14,0,,,
648.57,255.3,597.81,1,,,
668.09,268.61,598.9,1,-6.86,,
714.6,263.22,611.8,1,,,
628.32,259.57,605.26,1,,,
604.11,248.5,516.77,1,-6.35,,
525.43,244.96,515.91,1,,,
676.03,245.83,524.73,1,,,
608.19,241.94,549.26,1,-6.83,,
544.57,251.4,527.71,1,,,
662.47,247.71,572.42,1,,,
875.93,290.49,497.36,1,-9.02,252.41,259.28
1143.46,228.13,477.1,1,,,
817.58,224.08,465.04,1,,,
833.1,227.86,491.21,1,,,
773.25,228.96,491.93,0,,,
2299.2,,511.38,0,,,
941.43,217.12,496.72,0,,,
1277.07,219.04,503.67,0,,,
1043.49,237.84,525.07,1,,,
1429.49,228.42,488.09,1,,,
2255.4,233.56,499.56,0,,,
1623.71,228.81,506.56,1,-6.15,,
1811.2,227.81,501.67,0,,,
1647.22,230.03,496.28,1,-6.36,,
1232.0,219.17,492.9,0,,,
1309.56,226.12,500.54,1,,,
680.44,217.4,494.59,1,,,
551.8,222.3,482.23,1,,,
578.96,232.9,507.69,1,,,
800.27,231.06,514.26,1,,,
601.45,225.84,502.31,1,,,
2867.67,250.63,504.35,0,,,
2674.51,248.46,510.88,1,-6.85,,
2015.6,245.34,517.29,1,,,
1750.9,237.2,508.51,0,,,
1983.72,239.04,506.4,1,,,
2144.4,228.81,510.64,0,,,
2043.7,237.43,507.96,0,,,
1861.9,229.27,511.04,0,,,
2080.42,235.81,506.51,1,-6.13,,
1083.91,222.22,506.39,1,,,
958.54,223.63,519.8,1,,,
1157.83,235.28,518.53,1,,,
558.22,221.67,507.27,1,,,
678.34,222.34,495.12,1,,,
2008.88,268.58,530.87,1,-9.34,238.71,245.39
1507.18,554.78,535.45,1,,,
1847.39,658.1,533.17,1,-18.06,282.82,301.96
2606.48,,554.36,0,-15.51,307.59,323.21
898.58,,520.71,0,-6.53,,
846.27,335.18,524.18,1,-8.98,310.52,318.94
891.05,312.17,516.75,1,-8.85,276.37,283.78
1163.22,,517.43,0,-12.15,257.65,267.0
1374.87,,543.66,0,-18.09,262.74,280.59
1602.95,,554.65,0,-21.83,215.34,240.05
1871.76,,603.07,0,-24.75,231.93,280.32
1926.66,,,0,-24.75,230.85,279.0
1871.43,,576.73,0,-24.64,238.87,287.29
1521.3,,541.42,0,,,
1674.49,,574.97,0,,,
1712.38,,565.84,0,-21.02,264.07,290.73
1833.23,870.23,588.16,1,-21.22,286.58,316.39
1384.29,466.71,584.61,0,,,
2206.76,,583.32,0,-22.87,227.84,259.23
2684.4,973.95,1288.15,1,,233.24,269.59
2848.48,,733.83,0,,,
3064.98,1352.32,1228.61,1,-23.81,244.62,285.37
2765.33,1443.89,679.22,1,-24.96,249.17,304.06
3987.7,1230.19,13628.18,1,-25.34,,
852.44,,454.7,0,,,
845.62,240.79,,0,,,
834.6,,,1,,,
819.91,,463.09,0,,,
813.09,245.91,,0,,,
801.03,,,1,,,
780.13,250.81,,0,,,
780.6,,469.84,0,,,
781.07,253.62,,0,,,
781.9,,,1,,,
783.11,,551.16,0,,,
789.77,253.83,,0,,,
805.13,,,1,,,
791.21,,597.27,0,,,
784.37,260.96,,0,,,
730.5,,572.31,0,,,
725.28,256.23,,0,,,
716.04,,,1,,,
691.53,258.89,,0,,,
689.12,,,1,,,
676.26,265.7,,0,-7.0,,
667.82,,591.89,0,,,
662.6,255.28,,0,,,
652.55,,,1,,,
641.71,241.95,,0,,,
668.51,,,1,,,
668.77,264.64,,0,,,
663.45,,546.26,0,,,
659.03,214.32,,0,,,
648.68,,,1,,,
873.73,,470.31,0,,,
882.56,231.76,,0,,,
898.17,,,1,,,
921.85,228.53,,0,-6.15,,
933.35,,510.7,0,,,
942.7,229.95,,0,,,
959.23,,,1,,,
993.03,227.49,,0,,,
997.34,,,1,,,
1020.26,,489.01,0,,,
1024.13,225.99,,0,,,
1030.99,,,1,,,
1490.88,,495.4,0,,,
1518.85,230.46,,0,,,
1568.34,,,1,,,
1619.45,221.23,,0,,,
1621.89,,,1,,,
1638.99,225.32,,0,,,
1491.38,,,1,,,
1191.96,,456.69,0,,,
1136.03,216.97,,0,,,
1037.08,,,1,,,
912.32,218.78,,0,,,
821.98,,,1,,,
718.73,,502.42,0,,,
662.8,225.84,,0,,,
650.89,,,1,,,
635.87,219.54,,0,,,
627.59,,,1,,,
609.98,219.71,,0,,,
597.55,,,1,,,
585.63,,510.82,0,,,
578.9,225.44,,0,,,
566.99,,,1,,,
697.91,228.96,,0,-6.6,,
785.26,,487.64,0,,,
692.57,221.37,,0,,,
759.34,,,1,,,
1268.71,227.24,,0,,,
1400.16,,,1,,,
1810.94,,500.35,0,,,
2024.54,227.25,,0,,,
2402.46,,,1,,,
2017.28,,513.79,0,,,
2035.27,227.05,,0,,,
745.38,,,1,,,
