age_ka,co2_ppm
10.14,264.0
10.17,263.4
10.26,265.7
10.43,267.5
10.56,266.9
10.66,267.6
10.79,264.8
10.86,264.4
10.95,264.84
11.18,267.17
11.26,267.66
11.36,267.09
11.46,247.55
11.57,255.89
11.66,258.53
11.77,253.63
11.88,258.57
11.96,253.99
12.09,248.41
12.16,251.03
12.27,251.14
12.36,249.23
12.46,246.97
12.55,246.4
12.67,246.74
12.75,247.02
12.87,242.53
12.95,247.3
13.07,239.35
13.15,237.15
13.25,236.91
13.37,237.83
13.49,238.55
13.56,241.59
13.66,239.08
13.75,235.92
13.86,236.4
13.97,236.6
14.07,235.8
14.24,242.08
14.25,238.39
14.35,240.95
14.45,239.86
14.56,234.62
14.65,228.91
14.79,227.9
14.86,227.79
14.95,232.22
15.06,225.38
15.17,230.18
15.26,225.39
15.37,223.53
15.47,224.86
15.64,223.51
15.65,223.77
15.76,224.24
15.87,221.49
15.95,218.56
16.06,212.95
16.16,208.65
16.29,210.25
16.4,205.19
16.45,202.93
16.69,202.1
16.77,198.63
16.86,198.29
17.01,194.65
17.12,190.5
17.17,191.89
17.26,191.59
17.35,189.52
17.45,188.54
17.56,188.88
17.68,188.21
17.76,187.45
17.91,188.57
18.04,193.9
18.15,191.27
18.3,192.71
18.37,191.09
18.53,191.52
18.65,188.95
18.76,191.42
19.04,193.6
19.23,196.06
19.49,193.72
19.75,190.47
19.96,189.99
20.13,187.76
20.25,192.66
20.39,190.87
20.48,188.4
20.61,190.05
20.7,187.24
20.92,185.23
21.21,187.96
21.31,190.78
21.41,187.38
21.62,191.27
21.8,187.22
22.75,184.68
22.92,188.49
22.98,185.21
23.07,190.01
23.25,189.4
23.27,190.53
23.37,190.08
23.56,188.6
23.75,197.67
23.92,193.53
23.99,186.78
24.12,187.99
24.55,183.13
24.67,184.68
25.15,180.57
25.29,180.69
25.36,182.66
25.49,183.38
25.73,186.54
25.9,184.52
26.09,184.57
26.19,186.01
26.27,185.44
26.48,186.43
26.62,188.08
26.66,186.27
26.83,190.06
27.0,191.95
27.54,191.95
27.56,191.23
27.67,192.71
27.76,187.59
27.86,189.29
28.02,191.82
28.08,191.59
28.17,189.16
28.31,192.82
28.36,193.1
28.61,193.8
28.81,193.89
28.86,192.69
29.1,192.87
29.21,192.26
29.29,188.1
29.37,192.39
29.55,191.01
29.71,189.21
29.88,189.24
29.96,189.77
30.06,188.25
30.15,188.48
30.38,184.3
30.47,182.94
30.83,188.0
31.1,188.48
31.23,189.95
31.56,193.71
31.81,193.33
32.18,193.91
32.34,192.51
32.46,196.42
32.57,192.47
32.66,195.25
32.79,194.43
32.98,196.33
33.08,197.65
33.47,196.9
33.58,197.13
33.77,200.03
33.9,195.63
33.95,195.41
34.05,194.89
34.55,200.29
34.7,197.16
34.91,202.8
34.97,203.09
35.08,198.78
35.16,203.6
35.27,205.38
35.37,200.3
35.48,201.83
35.66,200.5
35.78,198.8
35.87,201.78
35.99,200.09
36.2,198.96
36.43,205.1
36.57,203.77
36.8,203.51
36.87,202.76
37.07,206.36
37.54,208.25
37.57,209.66
37.66,212.51
37.75,209.84
37.9,212.09
37.97,214.21
38.06,207.41
38.16,210.79
38.34,204.79
38.35,208.23
38.53,204.46
38.59,206.54
38.71,205.65
38.82,205.99
38.9,204.28
39.0,208.69
39.06,209.5
39.22,207.87
39.25,204.78
39.36,198.14
39.49,195.7
39.66,196.67
39.95,197.55
40.07,193.69
40.17,193.08
40.41,201.32
40.49,201.48
40.78,200.47
41.01,200.97
41.17,201.53
41.3,204.19
41.54,205.49
41.7,201.12
41.89,199.89
42.37,200.9
42.76,204.83
42.99,206.35
43.19,204.26
43.4,203.16
43.49,201.66
43.68,203.18
43.83,201.69
44.08,204.31
44.17,206.22
