ecosystem,plotID,site,Tmean_GS_B_CRU,ThermGS05_abundance,ThermGSMedian_abundance,ThermGS95_abundance,debt_GSMedian_ab
forest,EU_001_1,EU_001,14.18333362,0.578627756,0.243769153,0.008396097,-0.06660866
forest,EU_001_10,EU_001,14.18333362,-0.193439033,0.120313719,0.269765734,0.056846774
forest,EU_001_11,EU_001,13.71333356,0.049504928,0.07979212,0.116746398,0.18939028
forest,EU_001_12,EU_001,14.18333362,0.060261809,0.133435877,0.132246493,0.043724616
forest,EU_001_13,EU_001,14.18666693,0.016905131,0.051374052,0.079803932,0.121959284
forest,EU_001_14,EU_001,14.18333362,0.15923682,0.175820949,0.155437429,0.001339544
forest,EU_001_15,EU_001,14.18333362,0.028837639,0.108426615,0.227708287,0.068733878
forest,EU_001_16,EU_001,14.18333362,-0.080088511,0.005369556,0.070127673,0.171790937
forest,EU_001_17,EU_001,14.18333362,0.027430008,0.145884843,0.283806669,0.03127565
forest,EU_001_18,EU_001,14.18333362,0.267337043,-0.005594553,-0.121392164,0.182755046
forest,EU_001_19,EU_001,14.18666693,-0.159585674,0.037568969,0.183900939,0.135764367
forest,EU_001_2,EU_001,14.18333362,0.374326109,0.076559716,-0.096217333,0.100600777
forest,EU_001_20,EU_001,14.18333362,0.188634656,0.10394481,0.059161846,0.073215683
forest,EU_001_21,EU_001,14.18666693,0.005328409,0.052527119,0.088991721,0.120806217
forest,EU_001_22,EU_001,13.69000014,0.137584751,0.114882753,0.091573197,0.2073395
forest,EU_001_23,EU_001,14.18333362,0.155992167,0.051853769,0.033952703,0.125306724
forest,EU_001_24,EU_001,14.18333362,0.349238535,0.148101966,-0.029976104,0.029058527
forest,EU_001_25,EU_001,14.18666693,0.440386101,0.208943335,0.111527546,-0.035609999
forest,EU_001_26,EU_001,14.18333362,-0.141632673,0.120364078,0.261379711,0.056796415
forest,EU_001_27,EU_001,14.18666693,0.141732879,-0.024049249,0.063284614,0.197382585
forest,EU_001_28,EU_001,14.18666693,0.136688574,0.054567671,0.067070929,0.118765665
forest,EU_001_29,EU_001,13.71333356,-0.188658166,-0.034591499,0.045706775,0.303773899
forest,EU_001_3,EU_001,14.18666693,0.378612678,0.188783072,0.07973699,-0.015449736
forest,EU_001_30,EU_001,14.18666693,-0.179710666,0.059272947,0.231133972,0.114060389
forest,EU_001_31,EU_001,14.18333362,-0.019249867,0.065865635,0.126268091,0.111294858
forest,EU_001_32,EU_001,13.82000012,0.034300041,0.168222833,0.479563971,0.118733724
forest,EU_001_33,EU_001,14.18666693,-0.014769047,0.173331148,0.401557777,2.19e-06
forest,EU_001_34,EU_001,14.18333362,-0.193455404,-0.063360576,-0.030923914,0.240521069
forest,EU_001_35,EU_001,14.18333362,0.009535444,0.073510236,0.104857247,0.103650257
forest,EU_001_36,EU_001,14.18666693,0.005394512,0.112300599,0.246773984,0.061032737
forest,EU_001_37,EU_001,14.18666693,0.40828002,0.217999875,0.097317404,-0.044666539
forest,EU_001_38,EU_001,14.18333362,0.391616874,0.041049574,-0.156084589,0.136110919
forest,EU_001_39,EU_001,14.18666693,0.290694496,0.041116629,-0.060914146,0.132216707
forest,EU_001_4,EU_001,14.18666693,0.044190164,0.016520364,-0.036879806,0.156812972
forest,EU_001_40,EU_001,13.71333356,-0.036367324,0.081778656,0.389374602,0.187403744
forest,EU_001_41,EU_001,14.18333362,0.344586431,0.108784956,-0.024361529,0.068375537
forest,EU_001_42,EU_001,14.18333362,-0.226675548,-0.013904789,0.085130796,0.191065282
forest,EU_001_43,EU_001,14.18666693,-0.213028726,-0.117864419,-0.023119342,0.291197755
forest,EU_001_5,EU_001,13.82000012,0.381733924,0.284121753,0.281344472,0.002834804
forest,EU_001_6,EU_001,14.18666693,-0.192109064,-0.06133772,-0.045559337,0.234671056
forest,EU_001_7,EU_001,14.18666693,-0.198015412,0.058993794,0.216405535,0.114339542
forest,EU_001_8,EU_001,14.18666693,0.176040066,0.205882092,0.238310878,-0.032548756
forest,EU_001_9,EU_001,14.18666693,-0.034212016,0.038175078,0.087671337,0.135158258
forest,EU_002_1,EU_002,14.4000004,-0.443733295,-0.14653661,-0.283995221,0.654582569
forest,EU_002_10,EU_002,14.03333364,-0.595500756,-0.02595224,0.086689289,0.523653374
forest,EU_002_11,EU_002,14.03333364,-0.3047459,0.034382029,0.217138539,0.463319105
forest,EU_002_12,EU_002,14.03333364,0.113346556,-0.038724462,-0.174712774,0.536425596
forest,EU_002_13,EU_002,14.03333364,0.584822989,0.0856726,-0.154004741,0.412028534
forest,EU_002_14,EU_002,14.03333364,-0.057021244,0.067940216,0.393908624,0.429760918
forest,EU_002_15,EU_002,14.4000004,-1.382595353,-0.330168648,0.330709729,0.838214607
forest,EU_002_16,EU_002,14.4000004,0.209366586,0.034688928,0.029544585,0.473357031
forest,EU_002_17,EU_002,14.03333364,0.148888434,0.133788169,0.241604006,0.363912965
forest,EU_002_18,EU_002,14.45000025,-0.408535802,0.072890629,0.489901159,0.42021285
forest,EU_002_19,EU_002,14.03333364,0.079792177,-0.133622662,-0.449331869,0.631323796
forest,EU_002_2,EU_002,14.03333364,0.19763394,0.02207564,-0.007813832,0.475625494
forest,EU_002_20,EU_002,14.03333364,0.278736369,0.040144374,0.067921504,0.45755676
forest,EU_002_21,EU_002,14.03333364,-0.28199744,0.054696978,0.273026064,0.443004156
forest,EU_002_22,EU_002,14.4000004,-0.656718494,0.149402667,0.755691816,0.358643292
forest,EU_002_23,EU_002,14.4000004,-0.358447261,0.094919629,0.39305853,0.41312633
forest,EU_002_24,EU_002,14.42333352,-0.0892093,-0.014410364,0.037335134,0.515559857
forest,EU_002_25,EU_002,14.45000025,-0.768649325,-0.041460314,0.145922175,0.534563793
forest,EU_002_26,EU_002,14.45000025,-0.859108168,-0.125903597,0.033588214,0.619007076
forest,EU_002_27,EU_002,14.03333364,0.042959106,-0.085604231,-0.41681732,0.583305365
forest,EU_002_28,EU_002,14.03333364,0.722047957,0.030723529,-0.276201683,0.466977605
forest,EU_002_29,EU_002,14.42333352,-0.093114304,-0.030155305,-0.016955139,0.531304798
forest,EU_002_3,EU_002,14.03333364,0.035431266,-0.000379,0.005148675,0.498080134
forest,EU_002_30,EU_002,14.42333352,0.289443105,0.265798278,0.635445559,0.235351215
forest,EU_002_31,EU_002,14.42333352,0.072366508,0.01508251,-0.028721422,0.486066983
forest,EU_002_32,EU_002,14.03333364,-0.635099394,0.002741624,0.427784372,0.49495951
forest,EU_002_33,EU_002,14.03333364,-0.204501317,-0.089578022,0.040657625,0.587279156
forest,EU_002_34,EU_002,14.42333352,-0.077221225,-0.10059536,-0.342948476,0.601744853
forest,EU_002_35,EU_002,14.03333364,0.609181556,0.206265791,0.347996964,0.291435343
forest,EU_002_36,EU_002,14.4000004,-0.173786263,-0.09685574,-0.052641016,0.604901699
forest,EU_002_37,EU_002,14.4000004,-0.06429502,-0.016252969,0.091475,0.524298928
forest,EU_002_38,EU_002,14.4000004,-0.237273568,0.033250226,0.200998861,0.474795733
forest,EU_002_39,EU_002,14.42333352,0.397534141,0.120585624,-0.056511602,0.380563869
forest,EU_002_4,EU_002,14.03333364,0.206576509,-0.072282443,-0.14059893,0.569983577
forest,EU_002_5,EU_002,14.03333364,-0.289168473,-0.020181428,0.034642924,0.517882562
forest,EU_002_6,EU_002,14.03333364,-0.035048641,0.02492134,0.092886641,0.472779794
forest,EU_002_7,EU_002,14.03333364,0.240324302,0.071384176,-0.006412259,0.426316958
forest,EU_002_8,EU_002,14.03333364,-0.053478593,0.033968329,-0.023463479,0.463732805
forest,EU_002_9,EU_002,14.03333364,-0.130359006,-0.023469376,0.032266685,0.52117051
forest,EU_003_1,EU_003,14.02000022,1.023798007,0.307304865,0.426526046,0.46192597
forest,EU_003_10,EU_003,14.02000022,-0.133635941,0.036675835,0.250726921,0.732555
forest,EU_003_11,EU_003,14.02000022,0.101407962,0.003107323,-0.083968773,0.766123512
forest,EU_003_12,EU_003,14.02000022,-0.268484896,-0.378332915,-0.751901184,1.14756375
forest,EU_003_13,EU_003,14.02000022,-0.558101458,-0.103292279,0.020502557,0.872523114
forest,EU_003_14,EU_003,14.02000022,-0.498542849,-0.077040335,0.111890941,0.84627117
forest,EU_003_15,EU_003,14.02000022,-0.098832121,0.096563238,0.121219128,0.672667597
forest,EU_003_16,EU_003,14.02000022,0.128344053,-0.074916258,-0.289879151,0.844147093
forest,EU_003_17,EU_003,14.02000022,-0.245657724,-0.201299977,-0.291639225,0.970530812
forest,EU_003_2,EU_003,14.02000022,-0.158306532,0.070819485,0.211261679,0.69841135
forest,EU_003_3,EU_003,14.02000022,0.815501937,0.031565704,-0.409111173,0.737665131
forest,EU_003_4,EU_003,14.02000022,-1.165186235,-0.194842425,0.143270052,0.96407326
forest,EU_003_5,EU_003,14.02000022,-0.099669967,0.140363996,0.357713934,0.628866839
forest,EU_003_6,EU_003,14.02000022,0.057495104,-0.046894829,-0.086843633,0.816125664
forest,EU_003_7,EU_003,14.02000022,0.09997296,-0.227081717,-0.463480511,0.996312552
forest,EU_003_8,EU_003,14.02000022,-0.04265447,0.344780419,0.446179797,0.424450416
forest,EU_003_9,EU_003,14.02000022,-0.350595723,0.091605798,0.078336036,0.677625037
forest,EU_004_1,EU_004,14.38666701,0.229600911,0.11961906,0.26170396,0.492880915
forest,EU_004_10,EU_004,14.38666701,1.705837198,0.143294375,-1.110066464,0.4692056
forest,EU_004_100,EU_004,14.38666701,-0.086534197,0.017317192,0.050191622,0.595182783
forest,EU_004_101,EU_004,14.38666701,1.39136977,0.54434626,0.134902922,0.068153715
forest,EU_004_102,EU_004,14.38666701,-0.309690397,-0.061897335,0.21591655,0.67439731
forest,EU_004_103,EU_004,14.38666701,0.459282176,-0.097172085,-0.418070129,0.70967206
forest,EU_004_104,EU_004,14.38666701,-0.315646894,0.227938994,0.79533388,0.384560981
forest,EU_004_105,EU_004,14.38666701,0.342185316,0.18802441,0.044846237,0.424475565
forest,EU_004_106,EU_004,14.38666701,0.204958769,0.455460669,0.996490385,0.157039306
forest,EU_004_107,EU_004,14.38666701,0.161758057,0.239683113,0.438311719,0.372816862
forest,EU_004_108,EU_004,14.38666701,0.967249762,0.300826029,-0.227962372,0.311673946
forest,EU_004_109,EU_004,14.38666701,0.200013632,0.042494106,-0.465203805,0.570005869
forest,EU_004_11,EU_004,14.38666701,1.212651993,-0.008626908,-0.531979741,0.621126883
forest,EU_004_110,EU_004,14.38666701,1.601268595,0.17412259,-1.12240706,0.438377385
forest,EU_004_111,EU_004,14.38666701,0.657089179,0.333679738,0.347779106,0.278820237
forest,EU_004_12,EU_004,14.38666701,1.282993018,0.016617606,-0.636221888,0.595882369
forest,EU_004_13,EU_004,14.38666701,0.454708329,-0.101427421,-0.69213069,0.713927396
forest,EU_004_14,EU_004,14.38666701,0.718222114,0.030176888,-0.407219965,0.582323087
forest,EU_004_15,EU_004,14.38666701,-0.354965401,0.131511202,0.602169505,0.480988773
