rasgo,acuerdo,n_trials,se
Adornment,0.6149927219796215,8244,0.00535953125402358
Frequency,0.5617316942811331,1871,0.0114739695614882
Complexity,0.5589363334185631,15644,0.003969828907991824
Individuals,0.5255115961800818,7330,0.005832860536288811
AmplitudeModulation,0.5245143385753932,1081,0.015196218072520638
Rhythm,0.5201834862385321,1090,0.015139165478638033
Manipulated,0.5073891625615764,203,0.03517603540361012
Rate,0.4830657131291324,7411,0.0058051262878922195
Context,0.48284023668639053,845,0.017200571139910564
Development,0.4713283828382838,4848,0.00716998561373177
