lab_id,section,stratum,material,depth_cm,age_c14_bp,age_c14_sigma,cal_age_median_bp,cal_age_2sigma_max_bp,cal_age_2sigma_min_bp
D-AMS 050109,8,SU1a,wood,60,13655,57,16450,16660,16250
D-AMS 050108,8,SU1a,wood,60,13615,42,16390,16570,16230
D-AMS 050107,8,SU1a,wood,60,13464,73,16170,16410,15910
UCIAMS-292331,5,SU1b,wood,55,12525,25,14700,15000,14430
UCIAMS-292332,5,SU1b,wood,58,12310,25,14190,14780,14080
UCIAMS-292333,5,SU1b,wood,42,12275,30,14140,14320,14050
D-AMS 050106,1,SU1b,charcoal,40,12207,59,14080,14310,13810
UCIAMS-292335,5,SU1b,wood,42,11720,60,13540,13750,13410
UCIAMS-292330,5,SU1b,wood,46,11715,25,13540,13600,13470
UCIAMS-292334,5,SU1b,wood,33,11615,25,13450,13510,13350
D-AMS 050849,2,SU1b,wood,45,11596,48,13420,13570,13320
D-AMS 045773,CVH,SU2,wood,,11275,36,13150,13240,13100
D-AMS 050103,3,SU1c,bulk organic matter,45,10874,47,12770,12890,12730
D-AMS 050100,1,SU1c,gyttja,27,9955,47,11310,11620,11210
D-AMS 050850,2,SU1c,gyttja,35,9666,37,10950,11180,10770
UCIAMS-292329,5,SU1c,gyttja,28,8920,25,10020,10180,9890
UCIAMS-292339,7,SU1c,gyttja,40,8785,25,9720,9890,9560
UCIAMS-292336,6,SU2,brown peat,44,6330,25,7210,7310,7160
UCIAMS-292337,6,SU2,wood,33,5925,20,6710,6790,6650
D-AMS 050104,4,SU2,wood,50,4506,35,5140,5300,4890
UCIAMS-292338,6,SU2,wood,34,3805,20,4130,4240,3990
D-AMS 050099,1,SU1d,bulk organic matter,15,3096,27,3270,3360,3170
D-AMS 050105,1,SU1d,wood,20,117,29,,,
