mouse_id,date,group,volume_mm3
A_0,2025-03-17,VEH,113.1
A_0,2025-03-21,VEH,91.95
A_0,2025-03-24,VEH,164.64
A_0,2025-03-26,VEH,239.04
A_0,2025-03-28,VEH,448.92
A_0,2025-03-31,VEH,606.13
A_2,2025-03-17,VEH,143.79
A_2,2025-03-21,VEH,157.48
A_2,2025-03-24,VEH,102.16
A_2,2025-03-26,VEH,179.59
A_2,2025-03-28,VEH,381.7
A_2,2025-03-31,VEH,268.08
A_4,2025-03-17,VEH,65.45
A_4,2025-03-21,VEH,157.48
A_4,2025-03-24,VEH,258.15
A_4,2025-03-26,VEH,448.92
A_4,2025-03-28,VEH,1022.65
A_4,2025-03-31,VEH,1150.35
D_0,2025-03-17,DOX,143.79
D_0,2025-03-21,DOX,102.16
D_0,2025-03-24,DOX,28.73
D_0,2025-03-26,DOX,33.51
D_0,2025-03-28,DOX,220.89
D_0,2025-03-31,DOX,179.59
D_3,2025-03-17,DOX,179.59
D_3,2025-03-21,DOX,157.48
D_3,2025-03-24,DOX,33.51
D_3,2025-03-26,DOX,65.45
D_3,2025-03-28,DOX,113.1
D_3,2025-03-31,DOX,113.1
D_4,2025-03-17,DOX,143.79
D_4,2025-03-21,DOX,113.1
D_4,2025-03-24,DOX,22.45
D_4,2025-03-26,DOX,22.45
D_4,2025-03-28,DOX,220.89
D_4,2025-03-31,DOX,113.1
F_0,2025-03-17,DOX,65.45
F_0,2025-03-21,DOX,17.16
F_0,2025-03-28,DOX,47.71
F_0,2025-03-31,DOX,4.19
F_1,2025-03-17,DOX,87.11
F_1,2025-03-21,DOX,47.71
F_1,2025-03-24,DOX,17.16
F_1,2025-03-26,DOX,8.18
F_1,2025-03-28,DOX,87.11
F_1,2025-03-31,DOX,113.1
F_2,2025-03-17,DOX,87.11
F_2,2025-03-21,DOX,47.71
F_2,2025-03-26,DOX,22.45
F_2,2025-03-28,DOX,143.79
F_2,2025-03-31,DOX,47.71
F_3,2025-03-17,DOX,220.89
F_3,2025-03-21,DOX,187.4
F_3,2025-03-24,DOX,61.6
F_3,2025-03-28,DOX,87.11
F_3,2025-03-31,DOX,143.79
