sex,condition,sucrose_preference
female,associative,0.506494
female,unpaired,-0.16667
female,associative,1.0
female,unpaired,-1.0
female,associative,0.18328
female,unpaired,0.375
female,associative,0.794872
female,unpaired,0.965909
female,associative,0.779006
female,unpaired,-0.44444
female,associative,1.0
female,unpaired,-1.0
female,associative,1.0
female,unpaired,-1.0
female,associative,1.0
female,unpaired,1.0
female,associative,1.0
female,unpaired,0.901042
female,associative,0.196787
female,unpaired,0.692308
female,associative,0.365688
female,unpaired,0.209677
female,associative,-0.08253
female,unpaired,0.916084
female,associative,1.0
female,unpaired,-0.52765
female,associative,0.289958
female,unpaired,0.829787
female,associative,0.096866
female,unpaired,-0.87429
female,associative,0.988327
female,unpaired,-0.84286
female,associative,0.30137
female,unpaired,1.0
female,associative,1.0
female,unpaired,-0.16312
female,associative,0.977011494
female,unpaired,1.0
female,associative,1.0
female,unpaired,0.891892
female,associative,0.48
female,unpaired,-1.0
female,associative,0.978494624
female,unpaired,0.258741
female,associative,0.711711712
female,unpaired,0.698630137
female,associative,0.854368932
female,unpaired,0.788944724
female,associative,0.323741007
female,unpaired,0.128747795
female,associative,0.053435115
female,unpaired,0.112582781
female,associative,0.222222222
female,unpaired,1.0
female,associative,0.96
female,unpaired,-1.0
female,associative,1.0
female,unpaired,0.953125
female,associative,0.430051813
female,unpaired,0.545454545
female,associative,0.781763827
female,unpaired,-1.0
female,associative,0.949265688
female,unpaired,0.467836257
female,unpaired,0.521126761
