cell_line,testosterone_nM,replicate,growth_normalized
PFA5,0,1_R1,1.04
PFA5,10,1_R1,1.34
PFA5,25,1_R1,1.5
PFA5,50,1_R1,1.4
PFA5,100,1_R1,1.7
PFA5,1000,1_R1,2.33
PFA5,0,1_R2,0.88
PFA5,10,1_R2,1.35
PFA5,25,1_R2,1.49
PFA5,50,1_R2,1.37
PFA5,100,1_R2,1.41
PFA5,1000,1_R2,1.47
PFA5,0,1-R3,1.08
PFA5,10,1-R3,1.32
PFA5,25,1-R3,1.51
PFA5,50,1-R3,1.43
PFA5,100,1-R3,1.29
PFA5,1000,1-R3,1.77
PFA5,0,2_R1,0.99
PFA5,10,2_R1,1.39
PFA5,25,2_R1,1.42
PFA5,50,2_R1,1.67
PFA5,100,2_R1,1.27
PFA5,1000,2_R1,1.86
PFA5,0,2_R2,0.98
PFA5,10,2_R2,1.51
PFA5,25,2_R2,1.43
PFA5,50,2_R2,1.53
PFA5,100,2_R2,1.71
PFA5,1000,2_R2,1.5
PFA5,0,2-R3,1.03
PFA5,10,2-R3,1.54
PFA5,25,2-R3,2.01
PFA5,50,2-R3,1.89
PFA5,100,2-R3,1.94
PFA5,1000,2-R3,2.18
PFA7,0,1_R1,1.01
PFA7,10,1_R1,1.91
PFA7,25,1_R1,2.94
PFA7,50,1_R1,2.19
PFA7,100,1_R1,1.55
PFA7,1000,1_R1,1.55
PFA7,0,1_R2,0.82
PFA7,10,1_R2,1.62
PFA7,25,1_R2,1.81
PFA7,50,1_R2,2.22
PFA7,100,1_R2,1.51
PFA7,1000,1_R2,1.87
PFA7,0,1-R3,1.17
PFA7,10,1-R3,1.68
PFA7,25,1-R3,1.76
PFA7,50,1-R3,1.5
PFA7,100,1-R3,1.35
PFA7,1000,1-R3,1.95
PFA7,0,2_R1,1.08
PFA7,10,2_R1,1.62
PFA7,25,2_R1,2.29
PFA7,50,2_R1,1.72
PFA7,100,2_R1,1.3
PFA7,1000,2_R1,1.04
PFA7,0,2_R2,0.9
PFA7,10,2_R2,1.81
PFA7,25,2_R2,2.32
PFA7,50,2_R2,1.24
PFA7,100,2_R2,1.47
PFA7,1000,2_R2,1.29
PFA7,0,2-R3,1.02
PFA7,10,2-R3,1.48
PFA7,25,2-R3,1.69
PFA7,50,2-R3,1.77
PFA7,100,2-R3,1.99
PFA7,1000,2-R3,1.21
PFA9,0,1_R1,0.82
PFA9,10,1_R1,1.16
PFA9,25,1_R1,1.07
PFA9,50,1_R1,1.44
PFA9,100,1_R1,1.11
PFA9,1000,1_R1,1.27
PFA9,0,1_R2,1.1
PFA9,10,1_R2,1.22
PFA9,25,1_R2,1.13
PFA9,50,1_R2,1.36
