tumor_type,testosterone_nM,replicate,growth_normalized
ST1,0,1_R1,0.95
ST1,10,1_R1,0.95
ST1,25,1_R1,1.02
ST1,50,1_R1,1.12
ST1,100,1_R1,0.85
ST1,1000,1_R1,0.93
ST1,0,1_R2,0.96
ST1,10,1_R2,0.95
ST1,25,1_R2,0.93
ST1,50,1_R2,0.84
ST1,100,1_R2,0.87
ST1,1000,1_R2,1.12
ST1,0,1-R3,1.09
ST1,10,1-R3,0.98
ST1,25,1-R3,0.93
ST1,50,1-R3,0.95
ST1,100,1-R3,0.94
ST1,1000,1-R3,0.94
ST1,0,2_R1,1.09
ST1,10,2_R1,1.11
ST1,25,2_R1,0.94
ST1,50,2_R1,0.92
ST1,100,2_R1,0.98
ST1,1000,2_R1,1.03
ST1,0,2_R2,0.96
ST1,10,2_R2,0.85
ST1,25,2_R2,0.95
ST1,50,2_R2,0.89
ST1,100,2_R2,0.94
ST1,1000,2_R2,0.94
ST1,0,2-R3,0.95
ST1,10,2-R3,0.86
ST1,25,2-R3,0.92
ST1,50,2-R3,0.93
ST1,100,2-R3,0.96
ST1,1000,2-R3,0.83
ST4,0,1_R1,1.0
ST4,10,1_R1,1.07
ST4,25,1_R1,1.09
ST4,50,1_R1,1.07
ST4,100,1_R1,0.98
ST4,1000,1_R1,0.98
ST4,0,1_R2,0.99
ST4,10,1_R2,1.06
ST4,25,1_R2,1.08
ST4,50,1_R2,1.03
ST4,100,1_R2,0.95
ST4,1000,1_R2,1.04
ST4,0,1-R3,1.01
ST4,10,1-R3,1.03
ST4,25,1-R3,0.95
ST4,50,1-R3,0.95
ST4,100,1-R3,0.98
ST4,1000,1-R3,1.04
ST4,0,2_R1,1.13
ST4,10,2_R1,1.03
ST4,25,2_R1,1.04
ST4,50,2_R1,0.84
ST4,100,2_R1,1.03
ST4,1000,2_R1,0.86
ST4,0,2_R2,1.01
ST4,10,2_R2,0.74
ST4,25,2_R2,0.84
ST4,50,2_R2,1.21
ST4,100,2_R2,0.88
ST4,1000,2_R2,1.15
ST4,0,2-R3,0.86
ST4,10,2-R3,1.12
ST4,25,2-R3,1.11
ST4,50,2-R3,1.02
ST4,100,2-R3,1.15
ST4,1000,2-R3,0.98
DIPG004,0,1_R1,0.989
DIPG004,10,1_R1,1.038
DIPG004,25,1_R1,1.028
DIPG004,50,1_R1,0.936
DIPG004,100,1_R1,1.024
DIPG004,1000,1_R1,1.022
DIPG004,0,1_R2,1.007
DIPG004,10,1_R2,1.064
DIPG004,25,1_R2,1.042
DIPG004,50,1_R2,0.98
DIPG004,100,1_R2,1.039
DIPG004,1000,1_R2,1.033
DIPG004,0,1-R3,1.002
DIPG004,10,1-R3,1.049
DIPG004,25,1-R3,1.03
DIPG004,50,1-R3,0.977
DIPG004,100,1-R3,1.027
DIPG004,1000,1-R3,1.03
DIPG004,0,2_R1,1.004
DIPG004,10,2_R1,1.057
DIPG004,25,2_R1,1.047
DIPG004,50,2_R1,0.999
DIPG004,100,2_R1,1.041
DIPG004,1000,2_R1,1.024
DIPG004,0,2_R2,1.0
DIPG004,10,2_R2,1.035
DIPG004,25,2_R2,1.006
DIPG004,50,2_R2,0.966
DIPG004,100,2_R2,1.028
DIPG004,1000,2_R2,1.024
DIPG004,0,2-R3,0.999
DIPG004,10,2-R3,1.034
DIPG004,25,2-R3,1.07
DIPG004,50,2-R3,0.977
DIPG004,100,2-R3,1.022
DIPG004,1000,2-R3,1.027
DIPG007,0,1_R1,0.978
DIPG007,10,1_R1,0.991
DIPG007,25,1_R1,0.983
DIPG007,50,1_R1,0.978
DIPG007,100,1_R1,0.986
DIPG007,1000,1_R1,0.955
DIPG007,0,1_R2,1.003
DIPG007,10,1_R2,1.015
DIPG007,25,1_R2,0.989
DIPG007,50,1_R2,0.994
DIPG007,100,1_R2,0.999
DIPG007,1000,1_R2,0.958
DIPG007,0,1-R3,1.003
DIPG007,10,1-R3,1.003
DIPG007,25,1-R3,0.984
DIPG007,50,1-R3,0.989
DIPG007,100,1-R3,0.99
DIPG007,1000,1-R3,0.938
DIPG007,0,2_R1,1.006
DIPG007,10,2_R1,1.002
DIPG007,25,2_R1,0.996
DIPG007,50,2_R1,1.002
DIPG007,100,2_R1,1.007
DIPG007,1000,2_R1,0.951
DIPG007,0,2_R2,0.99
DIPG007,10,2_R2,1.032
DIPG007,25,2_R2,0.989
DIPG007,50,2_R2,0.994
DIPG007,100,2_R2,0.992
DIPG007,1000,2_R2,0.944
DIPG007,0,2-R3,1.021
DIPG007,10,2-R3,0.998
DIPG007,25,2-R3,0.994
DIPG007,50,2-R3,0.989
DIPG007,100,2-R3,0.983
DIPG007,1000,2-R3,0.947
