planet,environment,surface,pressure_bar,T_day,T_night,sigma
b,O₂ puro,basalto oscuro,0.1,456,165,1.4
b,O₂ puro,basalto oscuro,1.0,461,252,1.9
b,O₂ puro,basalto oscuro,10.0,468,340,5.7
b,N₂,A=0.1,0.01,463,132,1.8
b,N₂,A=0.1,1.0,455,245,3.2
b,O₂+H₂O (1%),basalto oscuro,0.1,483,267,2.6
c,O₂ puro,basalto,0.1,395,156,0.5
c,O₂ puro,basalto,1.0,388,237,0.5
c,O₂ puro,basalto,10.0,383,300,1.7
c,O₂+H₂O (10%),basalto,0.1,433,267,1.5
c,Vapor de agua,basalto,0.01,437,277,0.5
c,Vapor de agua,basalto,0.1,547,433,2.3
