fuel,fsc_ppmm,soot_ei_kg,ice_ei_kg
Jet-A1_con2,192.0,100000000000.0,2093000000000000.0
Jet-A1_con2,192.0,300000000000.0,2089000000000000.0
Jet-A1_con2,192.0,500000000000.0,2085000000000000.0
Jet-A1_con2,192.0,1000000000000.0,2075000000000000.0
Jet-A1_con2,192.0,3000000000000.0,2044000000000000.0
Jet-A1_con2,192.0,5000000000000.0,2021000000000000.0
Jet-A1_con2,192.0,10000000000000.0,1934000000000000.0
Jet-A1_con2,192.0,15000000000000.0,1859000000000000.0
Jet-A1_con2,192.0,20000000000000.0,1790000000000000.0
Jet-A1_con2,192.0,25000000000000.0,1668000000000000.0
Jet-A1_con2,192.0,30000000000000.0,1579000000000000.0
Jet-A1_con2,192.0,40000000000000.0,1390000000000000.0
Jet-A1_con2,192.0,50000000000000.0,1227000000000000.0
Jet-A1_con2,192.0,60000000000000.0,1049000000000000.0
Jet-A1_con2,192.0,80000000000000.0,798100000000000.0
Jet-A1_con2,192.0,100000000000000.0,585800000000000.0
Jet-A1_con2,192.0,150000000000000.0,294300000000000.0
Jet-A1_con2,192.0,200000000000000.0,230200000000000.0
Jet-A1_con2,192.0,250000000000000.0,253300000000000.0
Jet-A1_con2,192.0,300000000000000.0,295200000000000.0
Jet-A1_con2,192.0,400000000000000.0,385300000000000.0
Jet-A1_con2,192.0,500000000000000.0,475100000000000.0
Jet-A1_con2,192.0,600000000000000.0,563500000000000.0
Jet-A1_con2,192.0,800000000000000.0,736400000000000.0
Jet-A1_con2,192.0,1000000000000000.0,904400000000000.0
Jet-A1_con2,192.0,1500000000000000.0,1308000000000000.0
Jet-A1_con2,192.0,2000000000000000.0,1693000000000000.0
Jet-A1_con2,192.0,2500000000000000.0,2060000000000000.0
Jet-A1_con2,192.0,3000000000000000.0,2413000000000000.0
Jet-A1_con2,192.0,4000000000000000.0,3081000000000000.0
Jet-A1_con2,192.0,5000000000000000.0,3709000000000000.0
Jet-A1_con2,192.0,6000000000000000.0,4301000000000000.0
Jet-A1_con2,192.0,8000000000000000.0,5377000000000000.0
Jet-A1_con2,192.0,1e+16,6325000000000000.0
HEFA_con2,75.0,100000000000.0,521700000000000.0
HEFA_con2,75.0,300000000000.0,517100000000000.0
HEFA_con2,75.0,500000000000.0,512800000000000.0
HEFA_con2,75.0,1000000000000.0,501900000000000.0
HEFA_con2,75.0,3000000000000.0,480200000000000.0
HEFA_con2,75.0,5000000000000.0,452300000000000.0
HEFA_con2,75.0,10000000000000.0,374500000000000.0
HEFA_con2,75.0,15000000000000.0,333600000000000.0
HEFA_con2,75.0,20000000000000.0,279600000000000.0
HEFA_con2,75.0,25000000000000.0,242100000000000.0
HEFA_con2,75.0,30000000000000.0,206900000000000.0
HEFA_con2,75.0,40000000000000.0,150300000000000.0
HEFA_con2,75.0,50000000000000.0,113200000000000.0
HEFA_con2,75.0,60000000000000.0,94170000000000.0
HEFA_con2,75.0,80000000000000.0,92620000000000.0
HEFA_con2,75.0,100000000000000.0,107400000000000.0
HEFA_con2,75.0,150000000000000.0,153300000000000.0
HEFA_con2,75.0,200000000000000.0,200100000000000.0
HEFA_con2,75.0,250000000000000.0,246400000000000.0
HEFA_con2,75.0,300000000000000.0,292300000000000.0
