elem,Z,N,limit,logeps,[X/H],e_XH,[X/Fe],e_XFe,dNLTE,e_stat,e_stdev,dSP1,dSP2,dSP3,solar,[X/H]_NLTE,[X/Fe]_NLTE
Li I,3,1,True,0.33,-0.72,,3.81,,,,,-0.08,0.11,0.01,1.05,-0.72,3.59
C-H,6,1,True,3.88,-4.55,,-0.02,,0.11,,,-0.12,0.17,-0.22,8.43,-4.44,-0.13
N-H,7,1,True,4.56,-3.27,,1.26,,,,,-0.81,-0.48,-0.65,7.83,-3.27,1.04
O I,8,1,True,6.91,-1.78,,2.75,,,,,-0.03,0.26,0.11,8.69,-1.78,2.53
Na I,11,2,False,1.86,-4.38,0.12,0.15,0.09,0.06,0.07,0.08,-0.09,0.08,-0.03,6.24,-4.32,-0.0
Mg I,12,6,False,3.23,-4.37,0.12,0.16,0.11,0.26,0.07,0.19,-0.07,0.06,-0.07,7.6,-4.11,0.2
Al I,13,2,False,1.12,-5.33,0.13,-0.8,0.09,0.31,0.08,0.03,-0.11,0.1,-0.02,6.45,-5.02,-0.71
Si I,14,1,False,3.04,-4.47,0.18,0.06,0.13,0.24,0.11,0.0,-0.1,0.09,-0.09,7.51,-4.23,0.08
K I,19,1,True,2.18,-2.85,,1.69,,,,,-0.06,0.09,0.0,5.03,-2.85,1.47
Ca I,20,2,False,1.87,-4.47,0.13,0.06,0.1,0.21,0.08,0.0,-0.09,0.07,-0.05,6.34,-4.26,0.06
Ca II,20,2,False,2.05,-4.29,0.24,0.24,0.17,0.02,0.14,0.15,-0.2,0.07,0.0,6.34,-4.27,0.04
Sc II,21,3,False,-1.43,-4.58,0.21,-0.05,0.13,,0.11,0.06,-0.18,0.1,-0.03,3.15,-4.58,-0.27
Ti II,22,13,False,0.29,-4.66,0.14,-0.13,0.07,0.33,0.05,0.19,-0.12,0.13,-0.02,4.95,-4.34,-0.02
Cr I,24,2,False,0.57,-5.07,0.16,-0.54,0.11,0.03,0.1,0.05,-0.13,0.12,-0.01,5.64,-5.05,-0.73
Mn I,25,1,False,-0.12,-5.55,0.3,-1.01,0.27,0.68,0.27,0.0,-0.13,0.13,0.02,5.43,-4.87,-0.55
Fe I,26,58,False,2.97,-4.53,0.13,0.0,0.04,0.22,0.03,0.2,-0.12,0.11,-0.04,7.5,-4.31,0.0
Fe II,26,6,False,2.76,-4.74,0.15,-0.21,0.13,-0.0,0.12,0.3,-0.09,0.09,-0.01,7.5,-4.74,-0.42
Co I,27,2,False,0.51,-4.48,0.2,0.05,0.14,0.88,0.12,0.12,-0.16,0.15,-0.02,4.99,-3.6,0.72
Ni I,28,6,False,1.28,-4.94,0.16,-0.41,0.08,-0.0,0.06,0.12,-0.15,0.14,-0.03,6.22,-4.94,-0.62
Zn I,30,1,True,1.49,-3.07,,1.47,,,,,-0.08,0.07,-0.01,4.56,-3.07,1.25
Sr II,38,1,True,-3.35,-6.22,,-1.68,,,,,-0.21,0.1,-0.06,2.87,-6.22,-1.9
Ba II,56,1,True,-3.31,-5.49,,-0.95,,,,,-0.2,0.12,-0.06,2.18,-5.49,-1.17
