wavelength,flux,ivar
3328.1333,0.9903,0.4395
3328.1661,0.8986,0.4793
3328.1989,1.6699,1.7806
3328.2317,0.212,0.0342
3328.2645,0.698,0.3783
3328.2973,0.4649,0.1625
3328.3301,1.8354,2.3633
3328.363,0.3986,0.1197
3328.3958,0.3177,0.0793
3328.4286,1.5923,1.8102
3328.4614,0.2294,0.0387
3328.4942,1.8001,2.477
3328.527,1.2414,1.1705
3328.5598,1.2048,1.0838
3328.5926,0.9506,0.6884
3328.6254,1.8344,2.4444
3328.6582,1.169,1.03
3328.691,0.2684,0.052
3328.7238,0.2831,0.058
3328.7566,1.7429,2.2284
3328.7894,1.89,2.5404
3328.8222,0.5088,0.1977
3328.855,1.7545,2.2129
3328.9206,0.2852,0.0585
3328.9534,2.2831,3.453
3328.9862,0.6904,0.3328
3329.0191,0.0292,0.0006
3329.0519,1.5316,1.6591
3329.0847,0.9848,0.6696
3329.1831,0.7714,0.4063
3329.2159,1.2066,1.0427
3329.2487,1.9679,2.7635
3329.2815,0.1686,0.0207
3329.3143,0.7723,0.4436
3329.3799,1.0795,0.7836
3329.4127,0.2977,0.0632
3329.4783,1.7806,2.0777
3329.5111,1.542,1.6143
3329.5767,0.0799,0.0045
3329.6423,0.3888,0.0963
3329.6751,2.1708,2.9639
3329.708,2.6816,4.673
3329.7408,0.8503,0.4888
3329.8064,0.9284,0.5635
3329.8392,1.7415,1.9692
3329.872,0.0694,0.0033
3329.9048,0.8172,0.4316
3329.9376,0.8386,0.47
3329.9704,1.4705,1.465
3330.0032,0.2987,0.0596
3330.036,1.0288,0.6998
3330.0688,0.6436,0.2586
3330.2,0.1308,0.0118
3330.2328,0.4283,0.1214
3330.2656,0.1323,0.0116
3330.2984,0.2688,0.0467
3330.3641,2.0839,2.7816
3330.3969,1.0335,0.7028
3330.4297,0.2581,0.0446
3330.4625,1.1137,0.819
3330.5609,0.3671,0.0899
3330.5937,0.1292,0.0108
3330.6265,1.0366,0.6523
3330.6593,0.8434,0.4616
3330.6921,2.7158,4.5133
3330.7249,0.2423,0.0396
3330.7577,0.0467,0.0015
3330.7905,2.3347,3.4235
3330.8233,1.0187,0.6668
3330.8561,0.0677,0.003
3330.8889,1.6558,1.8023
3330.9217,1.103,0.7981
3330.9873,3.2463,6.3483
3331.0201,0.2369,0.0377
3331.053,1.5665,1.6229
3331.0858,1.7471,1.902
3331.1186,2.9047,5.0682
3331.1514,1.0733,0.7213
3331.217,0.9233,0.5516
3331.2498,0.1684,0.0189
3331.2826,0.5055,0.1715
3331.3154,0.5284,0.176
3331.3482,0.9468,0.5285
3331.381,0.4797,0.1529
3331.4138,0.8652,0.499
3331.4466,0.1113,0.0076
3331.4794,0.1546,0.0154
3331.5778,0.4919,0.161
3331.6106,0.8496,0.4687
3331.6434,1.5297,1.5284
3331.7091,2.0705,2.7403
3331.7747,1.8945,2.3236
3331.8403,0.6083,0.2582
3331.8731,2.0372,2.681
3331.9059,0.4403,0.1294
3331.9387,0.8424,0.4863
3332.0043,0.331,0.0723
3332.0371,0.5831,0.2179
3332.1027,1.013,0.6732
3332.1355,1.3359,1.184
3332.1683,1.8892,2.3484
3332.2011,2.9784,5.7622
3332.2339,2.8243,5.1027
3332.2667,0.4573,0.1376
3332.2995,0.2659,0.0476
3332.3323,1.6198,1.732
3332.3651,0.1779,0.0218
3332.398,0.1553,0.0164
3332.4308,1.0611,0.7005
3332.4636,1.6454,1.7081
3332.4964,0.9362,0.5473
3332.5292,1.5848,1.5717
3332.562,0.2673,0.0482
3332.6604,0.1096,0.0085
3332.6932,2.3368,3.5844
3332.726,1.9934,2.7137
3332.7588,0.632,0.279
3332.7916,1.8766,2.2772
3332.8572,0.6917,0.3325
3332.89,0.5376,0.2051
3332.9228,0.8234,0.4712
3332.9556,2.4323,3.9175
3333.0212,0.304,0.0649
3333.0541,1.3158,1.2341
3333.1197,0.1295,0.0116
3333.1853,1.1597,0.9039
3333.2181,0.8783,0.5179
3333.2509,0.3008,0.063
3333.2837,2.241,3.4003
3333.3165,0.6809,0.3332
3333.3493,0.8842,0.5912
3333.3821,1.5015,1.6369
3333.4149,0.3255,0.0768
3333.4477,0.6072,0.2654
3333.4805,1.3057,1.1734
3333.5133,1.2547,1.1402
3333.5461,0.4828,0.181
3333.5789,2.6254,4.8333
3333.6117,1.6676,2.0123
3333.6445,1.1184,0.9515
3333.6773,1.2036,1.0281
3333.743,0.6284,0.2871
3333.7758,1.5331,1.6825
3333.8086,1.112,0.8768
3333.8414,1.4167,1.495
3333.8742,1.111,0.9369
3333.907,1.9774,2.7913
3333.9726,0.204,0.0321
3334.0054,0.0341,0.0009
3334.0382,0.6969,0.3786
3334.071,2.0597,3.1636
3334.1038,0.6173,0.2864
3334.1366,1.302,1.3043
3334.1694,0.8312,0.5249
3334.235,0.6638,0.3413
3334.2678,1.2997,1.2801
3334.3006,2.6006,5.0899
3334.3334,0.782,0.4722
3334.3662,2.2207,3.7568
3334.3991,0.0082,0.0001
3334.4319,1.0737,0.8493
3334.4647,0.7405,0.4398
3334.4975,0.9179,0.6694
3334.5303,0.7944,0.4772
3334.5631,1.5277,1.8042
3334.5959,1.764,2.4375
3334.6287,1.0269,0.8646
3334.6615,0.6314,0.3321
3334.6943,0.2661,0.0577
3334.7271,3.1338,7.815
3334.7599,0.522,0.2237
3334.7927,1.8281,2.5757
3334.8255,1.5909,2.1421
3334.8583,1.1889,1.2411
3334.8911,0.092,0.0074
3334.9239,0.9175,0.6958
3334.9567,0.7375,0.4399
3334.9895,0.8324,0.5936
3335.0223,0.8874,0.6737
