Name,Reference,Teff,logg,[C/H],[Mg/H],[Fe/H],[C/Fe],[Mg/Fe],[Ca/H],[Ti/H],[Na/H],[Al/H],[Ni/H],[Sr/H],[Ba/H],ulc,ulmg,ulfe,ra,dec,phot_g_mean_mag,distance,Lz_best,Rperi_best,Rapo_best,ecc
BD+44493,PLA24,5351,3.12,-2.56,-3.35,-3.96,1.4,0.61,-3.61,-3.76,-3.63,-4.51,-3.88,-4.28,-4.71,False,False,False,36.70798855520213,44.96278074917981,8.863495826721191,0.2,-0.5435456846829534,1.475566035504252,8.472187458000281,0.7034462277275875
HE1012-1540,ROE14a,5230,2.65,-1.77,-2.36,-4.17,2.4,1.81,-3.29,-4.37,-2.52,-3.48,-4.22,-4.56,-4.45,False,False,False,153.72234162853272,-15.931311607029654,13.851529121398926,0.38,-0.561513300966487,1.32546336558754,13.15376914219578,0.8178954744278992
2MASSJ18082002-5104378,MEL16,5440,3.0,-3.13,-3.53,-4.07,0.94,0.54,-3.96,-3.51,-3.85,-4.64,-3.85,-4.9,-4.38,True,False,False,272.0834241666179,-51.0772462995543,11.750325202941896,0.59,-1.5537728474206651,5.745988762800757,7.749678971026116,0.148260705405574
LAMOSTJ1253+0753,LI15c,6030,3.65,-2.43,-3.78,-4.02,1.59,0.24,-3.65,-3.52,-4.22,,-3.35,-3.83,-4.32,False,False,False,193.4419866128419,7.894999392324952,12.282818794250488,0.7,-0.8544500844856747,2.1236530972308936,11.962528953018198,0.6992276149001767
SDSS J014036.21+234458.1,YON13,5703,3.36,-2.52,-3.61,-4.09,1.57,0.48,-3.89,-4.05,-3.92,-4.25,-3.97,-3.56,-4.13,False,False,False,25.15092450776965,23.74940575968034,15.341981887817385,0.83,-0.8222819015736874,2.257849411749769,11.102844360366516,0.6635597924404099
HE1327-23261D,FRE08,6180,3.7,-1.53,-4.06,-5.71,4.18,1.65,-5.0,-5.04,-3.25,-4.55,-5.49,-4.63,-4.32,False,False,False,202.5244932263845,-23.6969364171368,13.373862266540527,1.08,-1.5434441068624434,5.445139530302077,40.66368532023687,0.7637745514070327
HE0233-0343,HAN15,6100,3.4,-1.2,-4.09,-4.68,3.48,0.59,-4.34,-4.5,-4.18,-4.65,-3.78,-4.36,-3.88,False,False,False,39.12436046749966,-3.50172172393176,15.258462905883787,1.19,-0.1648012875283963,0.6717060255810636,11.764927401439536,0.8958847748158375
SDSSJ102915.14+172927.9,CAF11a,5811,4.0,-3.68,-4.7,-4.73,1.05,0.03,-4.7,-4.68,,,-4.52,-5.0,,True,False,False,157.31307081868357,17.4910727453444,16.53645896911621,1.29,-1.975359101499145,8.739235187410351,9.258732241041727,0.0299537962826334
J0815+4729,González Hernández 2020 https://iopscience.iop.org/article/10.3847/2041-8213/ab62ae/meta,6050,4.6,-1.0,-3.83,-5.49,4.49,1.66,-4.74,-4.25,-2.56,-4.95,-4.32,-4.47,-3.58,False,False,False,123.97602194798986,47.4964482941305,16.695043563842773,1.75,-0.5212176482920075,5.669090232200634,9.965922438745755,0.2737759821566786
HE 0134-1519,Hansen+2015,5500,3.2,-2.98,-3.73,-3.98,1.0,0.25,-3.88,-3.87,-4.22,-4.36,-3.79,-4.28,-4.48,False,False,False,24.272518874334228,-15.073046408473536,14.2578706741333,2.59,0.3215590898591406,2.7322467656300926,23.381856517328245,0.7908019154751471
