orig_p_value,repro_p_value,diff_p,abs_diff_p,repro_outcome_overall,preciso
4.435497e-07,0.00352358777976909,0.00352314423006909,0.00352314423006909,not,False
2.557983e-08,0.00414229116681718,0.00414226558698718,0.00414226558698718,not,False
4.40956e-09,0.000392550603478839,0.00039254619391883896,0.00039254619391883896,not,False
4.0457970000000003e-25,2.62554650201301e-22,2.62150070501301e-22,2.62150070501301e-22,not,False
0.01,0.000275814553004506,-0.009724185446995494,0.009724185446995494,approximate,False
0.0001331693,4.17131422254792e-05,-9.145615777452081e-05,9.145615777452081e-05,precise,True
8.537604e-06,0.000391880600599313,0.000383342996599313,0.000383342996599313,precise,True
2.810193e-15,5.977859261219961e-14,5.696839961219961e-14,5.696839961219961e-14,precise,True
1.420374e-06,1.6705709854412e-06,2.501969854412001e-07,2.501969854412001e-07,precise,True
0.01,0.335,0.325,0.325,not,False
0.003583049,0.0036,1.695099999999986e-05,1.695099999999986e-05,push button,True
6.334248e-05,0.0,-6.334248e-05,6.334248e-05,push button,True
0.0001479469,0.0272,0.027052053099999997,0.027052053099999997,approximate,False
0.002226033,0.0003,-0.0019260330000000002,0.0019260330000000002,push button,True
0.05,0.0181,-0.0319,0.0319,push button,True
0.06932404,7.4e-16,-0.06932403999999927,0.06932403999999927,approximate,False
7.568989e-09,1.5000000000000001e-30,-7.568989e-09,7.568989e-09,approximate,False
7.450089e-15,3e-11,2.9992549911e-11,2.9992549911e-11,approximate,False
0.0005684714,1.2e-09,-0.0005684702,0.0005684702,approximate,False
0.01,6.3e-05,-0.009937,0.009937,approximate,False
0.01,0.021,0.011000000000000001,0.011000000000000001,approximate,False
0.000526327,0.0005255,-8.270000000000109e-07,8.270000000000109e-07,precise,True
0.069,0.06921,0.00020999999999998797,0.00020999999999998797,precise,True
0.008,0.00843,0.0004299999999999998,0.0004299999999999998,precise,True
0.012,0.012,0.0,0.0,precise,True
0.001,0.03,0.028999999999999998,0.028999999999999998,approximate,False
0.001,0.0001069,-0.0008931,0.0008931,precise,True
0.007,0.003246,-0.003754,0.003754,not,False
0.001,3.923e-05,-0.00096077,0.00096077,precise,True
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,not,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,not,False
0.001,0.0,-0.001,0.001,not,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,not,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.001,0.0,0.0,approximate,False
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.001,0.0,0.0,approximate,False
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.05,0.017,-0.033,0.033,push button,True
0.01,0.004,-0.006,0.006,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.01,0.004,-0.006,0.006,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.01,0.002,-0.008,0.008,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.01,0.002,-0.008,0.008,push button,True
0.01,0.003,-0.007,0.007,push button,True
0.01,0.002,-0.008,0.008,push button,True
0.01,0.002,-0.008,0.008,push button,True
0.01,0.008,-0.002,0.002,push button,True
0.05,0.023,-0.027000000000000003,0.027000000000000003,push button,True
0.05,0.011,-0.03900000000000001,0.03900000000000001,push button,True
0.05,0.079,0.028999999999999998,0.028999999999999998,approximate,False
0.05,0.017,-0.033,0.033,push button,True
0.05,0.028,-0.022000000000000002,0.022000000000000002,push button,True
0.05,0.016,-0.034,0.034,push button,True
0.05,0.03,-0.020000000000000004,0.020000000000000004,push button,True
0.05,0.023,-0.027000000000000003,0.027000000000000003,precise,True
0.05,0.031,-0.019000000000000003,0.019000000000000003,push button,True
0.05,0.011,-0.03900000000000001,0.03900000000000001,push button,True
0.05,0.019,-0.031000000000000003,0.031000000000000003,push button,True
0.05,0.061,0.010999999999999996,0.010999999999999996,approximate,False
0.05,0.026,-0.024000000000000004,0.024000000000000004,push button,True
0.05,0.037,-0.013000000000000005,0.013000000000000005,push button,True
0.05,0.026,-0.024000000000000004,0.024000000000000004,push button,True
0.05,0.063,0.012999999999999998,0.012999999999999998,approximate,False
0.05,0.094,0.044,0.044,approximate,False
0.003,0.0059,0.0029,0.0029,approximate,False
0.086,0.1084,0.022400000000000003,0.022400000000000003,approximate,False
0.466,0.4819,0.01589999999999997,0.01589999999999997,approximate,False
0.342,0.2895,-0.05250000000000005,0.05250000000000005,not,False
0.006,0.0054,-0.0005999999999999998,0.0005999999999999998,approximate,False
0.01,0.0,-0.01,0.01,precise,True
0.01,0.0,-0.01,0.01,precise,True
0.004,0.004,0.0,0.0,push button,True
0.722,0.722,0.0,0.0,push button,True
0.003,0.003,0.0,0.0,push button,True
0.781,0.781,0.0,0.0,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.002,-0.008,0.008,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.002,-0.008,0.008,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.01,0.01,0.0,0.0,approximate,False
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.1,0.092,-0.008000000000000007,0.008000000000000007,push button,True
0.01,0.002,-0.008,0.008,push button,True
0.01,0.002,-0.008,0.008,push button,True
0.05,0.018,-0.032,0.032,push button,True
0.1,0.071,-0.029000000000000012,0.029000000000000012,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.05,0.018,-0.032,0.032,push button,True
0.1,0.058,-0.042,0.042,push button,True
0.1,0.069,-0.031,0.031,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.1,0.072,-0.02800000000000001,0.02800000000000001,push button,True
0.1,0.096,-0.0040000000000000036,0.0040000000000000036,push button,True
0.1,0.051,-0.04900000000000001,0.04900000000000001,push button,True
0.05,0.397,0.34700000000000003,0.34700000000000003,not,False
0.01,0.157,0.147,0.147,not,False
0.05,0.049,-0.0010000000000000009,0.0010000000000000009,push button,True
0.05,0.055,0.0049999999999999975,0.0049999999999999975,approximate,False
0.05,0.098,0.048,0.048,approximate,False
0.005,0.005,0.0,0.0,push button,True
0.002,0.002,0.0,0.0,approximate,False
0.001,0.001,0.0,0.0,push button,True
0.053,0.053,0.0,0.0,push button,True
0.012,0.012,0.0,0.0,push button,True
0.051,0.051,0.0,0.0,push button,True
0.001,0.0,-0.001,0.001,approximate,False
0.003,0.003,0.0,0.0,not,False
0.011,0.011,0.0,0.0,push button,True
0.035,0.035,0.0,0.0,precise,True
0.007,0.008,0.001,0.001,approximate,False
0.84,0.84,0.0,0.0,precise,True
0.001,0.0,-0.001,0.001,approximate,False
0.009,0.009,0.0,0.0,precise,True
0.01,0.002,-0.008,0.008,not,False
3.324167e-10,0.0,-3.324167e-10,3.324167e-10,approximate,False
0.001,0.0,-0.001,0.001,not,False
0.001,0.0,-0.001,0.001,approximate,False
