journal,require_data,require_data_year,require_code,require_code_year,repro_checks
Academy of Management Journal,No,,No,,No
American Economic Journal: Applied Economics,Yes,2005.0,Yes,2009.0,Yes
American Economic Review,Yes,2005.0,Yes,2005.0,Yes
American Educational Research Journal,No,,No,,No
American Journal of Political Science,Yes,2012.0,Yes,2012.0,Yes
American Journal of Sociology,No,,No,,No
American Political Science Review,Yes,2016.0,Yes,2016.0,Yes
American Sociological Review,No,,No,,No
British Journal of Political Science,Yes,2016.0,Yes,2016.0,No
Child Development,No,,No,,No
Clinical Psychological Science,Yes,2022.0,Yes,2022.0,No
Cognition,Yes,2015.0,No,,No
Comparative Political Studies,Yes,2013.0,Yes,2013.0,No
Computers and Education,Yes,2022.0,No,,No
Contemporary Educational Psychology,No,,No,,No
Criminology,No,,No,,No
Demography,No,,No,,No
Econometrica,Yes,2004.0,Yes,2004.0,Yes
Educational Researcher,No,,No,,No
European Journal of Personality,Yes,2022.0,Yes,2022.0,No
European Sociological Review,Yes,2025.0,Yes,2025.0,No
Evolution and Human Behavior,Yes,2017.0,No,,No
Exceptional Children,No,,No,,No
Experimental Economics,Yes,2021.0,Yes,2021.0,No
Health Psychology,No,,Yes,2021.0,No
Journal of Applied Psychology,No,,No,,No
Journal of Business Research,No,,No,,No
Journal of Conflict Resolution,Yes,2009.0,No,,No
Journal of Consulting and Clinical Psychology,No,,No,,No
Journal of Consumer Research,No,,No,,No
Journal of Educational Psychology,No,,No,,No
Journal of Environmental Psychology,No,,No,,No
Journal of Experimental Political Science,Yes,2016.0,Yes,2016.0,Yes
Journal of Experimental Psychology: General,Yes,2022.0,Yes,2022.0,No
Journal of Experimental Social Psychology,No,,No,,No
Journal of Finance,Yes,2017.0,Yes,2017.0,Yes
Journal of Financial Economics,No,,No,,No
Journal of Labor Economics,Yes,2009.0,Yes,2009.0,No
Journal of Management,No,,No,,No
Journal of Marketing,No,,No,,Yes
Journal of Marketing Research,No,,No,,Yes
Journal of Marriage and Family,No,,No,,No
Journal of Organizational Behavior,No,,No,,No
Journal of Personality and Social Psychology,Yes,2021.0,Yes,2021.0,No
Journal of Political Economy,Yes,2006.0,Yes,2006.0,Yes
Journal of Public Administration Research and Theory,Yes,2021.0,Yes,2021.0,No
Journal of the Academy of Marketing Science,No,,No,,No
Law and Human Behavior,Yes,2023.0,Yes,2023.0,No
Leadership Quarterly,No,,No,,No
Learning and Instruction,Yes,2025.0,No,,No
Management Science,Yes,2019.0,Yes,2019.0,Yes
Organization Science,Yes,2025.0,Yes,2025.0,No
Organizational Behavior and Human Decision Processes,Yes,2025.0,Yes,2025.0,No
Psychological Medicine,No,,No,,No
Psychological Science,Yes,2024.0,Yes,2024.0,Yes
Public Administration Review,No,,No,,No
Quarterly Journal of Economics,Yes,2016.0,Yes,2016.0,No
Review of Financial Studies,No,,Yes,2020.0,No
Social Forces,No,,No,,No
Social Science and Medicine,Yes,2018.0,Yes,2018.0,No
World Development,Yes,2019.0,Yes,2019.0,No
World Politics,Yes,2017.0,Yes,2017.0,No
