analyst_id,paper_id,disciplina,experimental,d_original,d_reanalisis,conclusion,direccion
6YWS5,Linkenauger_PsychologSci_2009_7WjP,psicologia,observational,1.1349,1.135,sin_efecto,misma
GOQ0F,Steinmetz_JournPerSocPsy_2016_E4Am,psicologia,experimental,0.4929,0.479,sin_efecto,misma
LYCQM,Pastötter_Cognition_2013_EQxa,psicologia,experimental,0.5047,0.505,misma,misma
Q9PO7,Hou_ChildDev_2017_YOXl,psicologia,observational,0.1993,,misma,misma
E0676,Steinmetz_JournPerSocPsy_2016_E4Am,psicologia,experimental,0.4929,0.493,misma,misma
V7XQ8,Savani_PsychologSci_2010_88xa,psicologia,experimental,1.0296,0.446,misma,misma
WJVLO,Pastötter_Cognition_2013_EQxa,psicologia,experimental,0.5047,0.505,misma,misma
FWSCE,Linkenauger_PsychologSci_2009_7WjP,psicologia,observational,1.1349,0.823,misma,misma
ELZ90,Linkenauger_PsychologSci_2009_7WjP,psicologia,observational,1.1349,1.135,misma,misma
GS2H9,Ku_JournEnvPsych_2014_YpZZ,psicologia,observational,1.0965,0.793,misma,misma
13H14,Dumas_AcaManageJourn_2018_5KrD,management,observational,0.2532,0.235,sin_efecto,misma
0EING,Pastötter_Cognition_2013_EQxa,psicologia,experimental,0.5047,0.498,misma,misma
T2AYX,Linkenauger_PsychologSci_2009_7WjP,psicologia,observational,1.1349,0.125,sin_efecto,misma
3IYFJ,Pastötter_Cognition_2013_EQxa,psicologia,experimental,0.5047,0.498,misma,misma
QYU74,Steinmetz_JournPerSocPsy_2016_E4Am,psicologia,experimental,0.4929,,sin_efecto,misma
9ZUZK,Steinmetz_JournPerSocPsy_2016_E4Am,psicologia,experimental,0.4929,0.572,sin_efecto,misma
2898B,Luttrell_JournExpSocPsych_2016_rjb,psicologia,observational,0.3511,0.11,sin_efecto,misma
2KUPE,Angrist_AmEcoRev_2009_Gv3O,economia,experimental,0.0799,0.681,misma,misma
30S6Z,Ihme_JournExpPoliSci_2018_xYbO,ciencia_politica,experimental,0.4143,0.251,sin_efecto,misma
GNUQA,GROSSMAN_AmPoliSciRev_2014_LyWB,ciencia_politica,observational,0.3857,,misma,misma
KZGB8,Ku_JournEnvPsych_2014_YpZZ,psicologia,observational,1.0965,0.886,misma,misma
TS468,Axt_JournExpSocPsych_2018_zK2,psicologia,experimental,0.3958,1.335,misma,misma
NMQ6A,Zunick_JournExpSocPsych_2017_zlw,psicologia,experimental,0.6551,0.625,misma,misma
1DLDB,Bursztyn_AmEcoRev_2017_VB9K,economia,experimental,0.5826,0.568,misma,misma
7HMNU,BATESON_AmPoliSciRev_2012_RYKv,ciencia_politica,observational,0.4811,0.162,misma,misma
WMHM7,Brough_JournConsRes_2016_9ey,marketing,observational,0.9624,0.278,misma,misma
Z4PYX,Nelson_JournConsRes_2009_eg1q,marketing,experimental,0.4893,0.489,misma,misma
YSQYA,Hurst_EvoHumanBehavior_2017_yypJ,psicologia,observational,1.1965,1.196,misma,misma
EHJDU,ANN_SLOCUM_Criminology_2010_JxXe,criminologia,observational,0.1165,0.318,misma,misma
204TY,Cohen_AmEcoRev_2015_2lb5,economia,experimental,0.4076,-0.069,sin_efecto,opuesta
M69JQ,Petersen_Cognition_2017_yJwG,psicologia,experimental,1.8121,1.812,misma,misma
QPC4J,Nelson_JournConsRes_2009_eg1q,marketing,experimental,0.4893,,misma,misma
NWV79,Yang_JournMarketRes_2013_G1Lr,marketing,experimental,0.6894,,misma,misma
DXJ85,Steinmetz_JournPerSocPsy_2016_E4Am,psicologia,experimental,0.4929,,misma,misma
0G5CG,Miller_JournConflictRes_2011_zV1O,ciencia_politica,observational,0.1388,0.57,sin_efecto,misma
DMAMC,Beaman_JournLabEco_2018_7ybJ,economia,observational,0.4344,0.41,misma,misma
N8P2J,Savani_PsychologSci_2010_88xa,psicologia,experimental,1.0296,,misma,misma
UFG37,Cleave_ExpEco_2013_Njqj,economia,experimental,0.2137,0.189,misma,misma
ST0G3,Benjamin_AmEcoRev_2010_WaYe,economia,experimental,0.8249,0.525,misma,misma
FHS67,Yang_JournMarketRes_2013_G1Lr,marketing,experimental,0.6894,0.6,misma,misma
50PCE,Bartels_JournConsRes_2015_mrZ,marketing,observational,0.4688,,misma,misma
HTJM4,Hurst_EvoHumanBehavior_2017_yypJ,psicologia,observational,1.1965,1.607,misma,misma
CGTZS,Hertel_ClinPsychSci_2018_YabW,psicologia,experimental,0.719,,sin_efecto,opuesta
7TRF7,Yang_JournMarketRes_2013_G1Lr,marketing,experimental,0.6894,0.677,misma,misma
AJJUX,Savani_PsychologSci_2010_88xa,psicologia,experimental,1.0296,0.789,misma,misma
8PTRZ,Einstein_AmJourPoliSci_2017_mxyQ,ciencia_politica,experimental,0.3204,0.322,misma,misma
0XXWZ,BATESON_AmPoliSciRev_2012_RYKv,ciencia_politica,observational,0.4811,0.116,misma,misma
9Y597,Rovny_WorldPolitics_2014_AQgj,ciencia_politica,observational,0.4736,0.383,misma,misma
Q5U26,Wang_AmEcoJourn_2013_7d4J,economia,observational,0.0401,-0.002,sin_efecto,opuesta
IMKS4,Wilde_AmSocioRev_2010_4XLv,sociologia,observational,0.1053,0.071,misma,misma
FO7L6,Barreca_JournPoliEco_2016_J999,economia,observational,1.1287,,sin_efecto,opuesta
QPS9D,Platt_Boustan_AmEcoJourn_2012_PVQK,economia,observational,0.3955,0.265,misma,misma
QQH7Q,Gartzke_JournConflictRes_2009_rym8,ciencia_politica,observational,0.0218,13.147,misma,misma
NF5O3,Brough_JournConsRes_2016_9ey,marketing,observational,0.9624,,misma,misma
WLGL6,Woltin_JournExpSocPsych_2011_Wre,psicologia,experimental,0.8231,-0.823,sin_efecto,opuesta
AJIUW,Angrist_AmEcoRev_2009_Gv3O,economia,experimental,0.0799,0.111,sin_efecto,misma
FGUV2,Ihme_JournExpPoliSci_2018_xYbO,ciencia_politica,experimental,0.4143,0.433,misma,misma
T64KZ,Hertel_ClinPsychSci_2018_YabW,psicologia,experimental,0.719,0.79,misma,misma
TKJER,Beaman_JournLabEco_2018_7ybJ,economia,observational,0.4344,,misma,misma
WW7AB,McDevitt_JournPoliEco_2014_yQeR,economia,observational,0.2836,0.277,misma,misma
53BDN,Hertel_ClinPsychSci_2018_YabW,psicologia,experimental,0.719,1.188,misma,misma
A1SBQ,Angrist_AmEcoRev_2009_Gv3O,economia,experimental,0.0799,-0.112,opuesto,opuesta
DAILV,Rovny_WorldPolitics_2014_AQgj,ciencia_politica,observational,0.4736,0.661,misma,misma
