sample_id,phase,lab_number,sr_87_86
BUR169,2,F10227,0.709134
BUR170,2,F10240,0.709073
BUR171,1,F10241,0.708822
BUR172,1,F10242,0.708978
BUR173,1,F10243,0.708733
BUR174,1,F10244,0.708572
BUR175,1,F10245,0.708267
BUR176,1,F10246,0.70883
BUR176,1,F10913,0.708852
BUR177,2,F10247,0.70911
BUR177,2,F10914,0.708688
BUR178,1,F10248,0.709053
BUR179,1,F10249,0.708873
BUR179,1,F10915,0.708751
BUR180,1,F10250,0.708647
BUR181,2,F10251,0.708675
BUR182,2,F10252,0.70891
BUR183,1,F10253,0.709404
BUR184,2,F10254,0.708926
BUR185,1,F10255,0.708638
BUR186,1,F10256,0.707892
BUR187,1,F10257,0.708571
BUR188,2,F10258,0.709558
BUR189,1,F10228,0.708923
BUR190,1,F10259,0.709033
BUR191,1,F10260,0.709922
BUR191,1,F10916,0.709717
BUR192,2,F10229,0.70894
BUR193,2,F10261,0.709644
BUR194,1,F10230,0.708959
BUR195,2,F10262,0.708296
BUR195,2,F10917,0.708305
BUR196,2,F10263,0.708879
BUR197,1,F10264,0.708718
BUR198,1,F10265,0.708634
BUR199,1,F10266,0.708581
BUR200,1,F10231,0.708732
BUR200,1,F10918,0.708653
BUR201,1,F10232,0.709055
BUR202,1,F10267,0.708646
BUR203,2,F10268,0.710624
BUR203,2,F10919,0.708909
BUR204,1,F10269,0.708722
BUR204,1,F10920,0.708759
BUR205,Unknown,F10233,0.708622
BUR206,1,F10270,0.708788
BUR207,1,F10922,0.708719
BUR208,1,F10923,0.708534
BUR209,1,F10273,0.708819
BUR209,1,F10924,0.708798
BUR210,2,F10925,0.709258
BUR211,2,F10275,0.709445
BUR212,1,F10276,0.709223
BUR212,1,F10926,0.708902
BUR213,2,F10277,0.710019
BUR213,2,F10927,0.710762
BUR214,1,F10278,0.709002
BUR215,1,F10279,0.709034
BUR216,1,F10928,0.70882
BUR217,1,F10280,0.70856
BUR218,1,F10929,0.709177
BUR219,1,F10930,0.70869
BUR220,Unknown,F10931,0.708695
BUR221,Unknown,F10932,0.708599
BUR222,1,F10933,0.708711
BUR223,1,F10934,0.708586
BUR224,1,F10935,0.708896
BUR225,1,F10936,0.709307
BUR226,2,F10937,0.709013
BUR227,2,F10938,0.708219
BUR228,1,F10281,0.70891
BUR229,1,F10939,0.709986
BUR230,2,F10940,0.7098
BUR231,2,F10941,0.709994
BUR232,1,F10942,0.70872
BUR233,2,F10943,0.708651
BUR235,2,F10944,0.70961
BUR236,1,F10945,0.708936
BUR237,2,F10946,0.708273
BUR238,1,F10283,0.70867
BUR239,2,F10947,0.708937
BUR240,Unknown,F10948,0.708913
BUR241,2,F10949,0.708813
BUR242,1,F10950,0.708803
BUR243,Unknown,F10951,0.708908
BUR244,2,F10952,0.710909
BUR245,2,F10235,0.709075
BUR246,1,F10236,0.708784
BUR247,1,F10284,0.70846
BUR248,1,F10285,0.70886
BUR249,1,F10286,0.70937
BUR250,2,F10953,0.709751
BUR251,1,F11490,0.709458
BUR252,1,F11491,0.708886
BUR253,2,F11492,0.708741
BUR254,1,F11493,0.709217
BUR255,Unknown,F11494,0.710263
BUR256,2,F11495,0.708383
BUR257,1,F11496,0.708007
BUR258,1,F11497,0.709002
BUR259,1,F11498,0.709214
BUR260,2,F11499,0.709706
BUR261,1,F10954,0.708613
BUR262,1,F10955,0.709194
BUR263,1,F10956,0.708965
BUR264,1,F10957,0.70949
BUR265,2,F10958,0.708833
BUR266,1,F10959,0.708559
BUR267,1,F10960,0.708477
BUR268,2,F10961,0.708536
BUR269,1,F10962,0.708826
BUR270,2,F10963,0.708558
BUR271,1,F10964,0.708849
BUR272,2,F10965,0.708979
BUR273,1,F10966,0.709215
BUR274,1,F10967,0.709204
BUR275,1,F10968,0.708711
BUR276,2,F10969,0.709941
BUR277,1,F10970,0.709851
BUR278,1,F10971,0.708794
BUR279,1,F10972,0.709863
BUR280,2,F10973,0.708478
BUR281,2,F10974,0.709903
BUR282,2,F10975,0.709944
BUR283,1,F10976,0.709592
BUR284,Unknown,F10977,0.709224
BUR285,2,F10978,0.709106
BUR287,2,F10980,0.7087
BUR288,1,F10981,0.708951
BUR289,1,F10982,0.708623
BUR291,1,F10984,0.708705
BUR292,2,F10985,0.709036
BUR293,2,F10986,0.708263
BUR294,2,F10987,0.707982
BUR295,Unknown,F10988,0.718113
BUR296,1,F10989,0.708121
BUR297,2,F10990,0.709425
BUR298,1,F10991,0.708954
BUR299,Unknown,F10992,0.708955
BUR300,2,F10993,0.709763
BUR301,2,F10994,0.709056
BUR302,1,F10995,0.708817
BUR303,1,F10996,0.709249
BUR304,1,F10997,0.708373
BUR305,Unknown,F10998,0.709103
BUR306,2,F10999,0.709773
BUR307,2,F11000,0.710015
BUR308,1,F11001,0.709877
BUR309,Unknown,F11002,0.708716
BUR310,2,F11003,0.708524
BUR311,2,F11004,0.709424
BUR312,2,F11005,0.710686
BUR313,2,F11006,0.709627
BUR314,2,F11007,0.710241
BUR315,1,F11008,0.710386
BUR316,1,F10921,0.708592
BUR316,1,F11009,0.708916
BUR317,1,F11010,0.708657
BUR318,2,F11011,0.709639
BUR319,2,F11012,0.709052
BUR320,Unknown,F11013,0.709417
BUR321,1,F11014,0.708907
BUR322,1,F11015,0.7083
BUR323,2,F11016,0.711012
BUR324,2,F11017,0.710631
BUR325,1,F11018,0.708814
BUR326,2,F11019,0.709535
BUR327,1,F11020,0.70849
BUR328,1,F11021,0.70928
BUR329,2,F11022,0.70967
BUR330,1,F11023,0.708767
BUR331,1,F11024,0.70932
BUR332,1,F11025,0.708882
BUR333,1,F11026,0.708901
BUR334,1,F11027,0.708843
BUR335,1,F11028,0.71035
BUR336,2,F11029,0.709235
BUR337,1,F11030,0.709038
BUR338,1,F11031,0.708758
BUR339,2,F11032,0.709824
BUR340,1,F11033,0.708771
BUR341,1,F11034,0.708772
BUR342,1,F11035,0.70914
BUR343,1,F11036,0.708642
BUR344,1,F11037,0.708205
BUR345,1,F11038,0.708903
BUR346,1,F11039,0.710636
BUR347,Unknown,F11040,0.710223
BUR348,2,F11041,0.709046
BUR349,1,F11042,0.708692
