sample_id,phase,phase_confidence,sex,family_id,mito_haplogroup,y_haplogroup,avg_age_cal_bc
BUR169,2,High,XX,unrelated,U5b2b5,,"=IFERROR(VLOOKUP(A3,'3_datesAndIsotopes '!A$2:K$20,11,FALSE),"""")"
BUR170,2,High,XY,pedigree_2.A,V10,I2a1a1,"=IFERROR(-VLOOKUP(A4,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR171,1,High,XY,no_data,H2a2a,,"=IFERROR(-VLOOKUP(A5,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR172,1,High,XY,(pedigree_1.B),H1c,,"=IFERROR(-VLOOKUP(A6,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR173,1,High,Not Assigned,no_data,H2a2a1,,"=IFERROR(-VLOOKUP(A7,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR174,1,High,XY,pedigree_1.A,J1c1,H2a1,"=IFERROR(-VLOOKUP(A8,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR175,1,Medium,Not Assigned,no_data,W5,,"=IFERROR(-VLOOKUP(A9,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR176,1,High,XY,pedigree_1.A,J2b1a,H2a1,"=IFERROR(-VLOOKUP(A10,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR177,2,Medium,XY,unrelated,K1a3a,I2a1a1,"=IFERROR(-VLOOKUP(A11,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR178,1,Medium,XY,no_data,H1q,,"=IFERROR(-VLOOKUP(A12,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR179,1,High,XY,pedigree_1.B,H1c,,"=IFERROR(-VLOOKUP(A13,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR180,1,High,XX,no_data,K2b1,,"=IFERROR(-VLOOKUP(A14,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR181,2,High,XY,no_data,K1b1a,,"=IFERROR(-VLOOKUP(A15,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR182,2,Medium,XY,unrelated,K1a2,I2a1a1,"=IFERROR(-VLOOKUP(A16,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR183,1,High,XX,pedigree_1.B,K2b1,,"=IFERROR(-VLOOKUP(A17,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR184,2,High,XY,unrelated,U3a1,I2a1a1,"=IFERROR(-VLOOKUP(A18,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR185,1,High,XY,pedigree_1.B,U5b,H2a1,"=IFERROR(-VLOOKUP(A19,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR186,1,High,XY,no_data,H1q,,"=IFERROR(-VLOOKUP(A20,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR187,1,High,XY,no_data,HV0a,,"=IFERROR(-VLOOKUP(A21,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR188,2,High,XY,no_data,H2a2,,"=IFERROR(-VLOOKUP(A22,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR189,1,High,XY,pedigree_1.A,J1c1,H2a1,"=IFERROR(-VLOOKUP(A23,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR190,1,High,XY,no_data,J1c1,,"=IFERROR(-VLOOKUP(A24,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR191,1,High,XY,pedigree_1.A,J2b1a2,H2a1,"=IFERROR(-VLOOKUP(A25,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR192,2,High,XY,pedigree_2.A,H2a2a,I2a1a1,"=IFERROR(-VLOOKUP(A26,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR193,2,High,XY,no_data,K1a+195,,"=IFERROR(-VLOOKUP(A27,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR194,1,High,XX,unrelated,K1a4a1,,"=IFERROR(-VLOOKUP(A28,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR195,2,High,XX,pedigree_2.C,H7d,,"=IFERROR(-VLOOKUP(A29,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR196,2,High,XX,pedigree_2.G,K1a4a1,,"=IFERROR(-VLOOKUP(A30,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR197,1,High,XY,no_data,V10,,"=IFERROR(-VLOOKUP(A31,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR198,1,High,XY,no_data,K1a4a1,,"=IFERROR(-VLOOKUP(A32,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR199,1,High,XY,no_data,J2b1a2,,"=IFERROR(-VLOOKUP(A33,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR200,1,High,XY,pedigree_1.F,J1c1,I2a1a2,"=IFERROR(-VLOOKUP(A34,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR201,1,High,XY,no_data,T2,,"=IFERROR(-VLOOKUP(A35,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR202,1,High,XY,pedigree_1.C,K1a4a1,H2a1,"=IFERROR(-VLOOKUP(A36,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
