year,month,month_name,inflow_m3s
2011,1,Ene,73.01
2012,1,Ene,149.58
2013,1,Ene,102.29
2014,1,Ene,67.55
2015,1,Ene,98.56
2016,1,Ene,46.95
2017,1,Ene,102.68
2018,1,Ene,106.57
2019,1,Ene,92.71
2020,1,Ene,122.61
2021,1,Ene,82.73
2022,1,Ene,55.36
2023,1,Ene,64.39
2024,1,Ene,92.47
2011,2,Feb,93.28
2012,2,Feb,138.67
2013,2,Feb,93.2
2014,2,Feb,42.18
2015,2,Feb,91.15
2016,2,Feb,101.55
2017,2,Feb,101.36
2018,2,Feb,58.61
2019,2,Feb,146.15
2020,2,Feb,64.55
2021,2,Feb,83.21
2022,2,Feb,57.2
2023,2,Feb,55.68
2024,2,Feb,74.1
2011,3,Mar,61.43
2012,3,Mar,168.35
2013,3,Mar,89.99
2014,3,Mar,107.19
2015,3,Mar,123.43
2016,3,Mar,164.5
2017,3,Mar,182.94
2018,3,Mar,62.49
2019,3,Mar,109.97
2020,3,Mar,75.07
2021,3,Mar,181.78
2022,3,Mar,116.85
2023,3,Mar,99.61
2024,3,Mar,64.33
2011,4,Abr,187.58
2012,4,Abr,160.96
2013,4,Abr,77.34
2014,4,Abr,126.86
2015,4,Abr,193.55
2016,4,Abr,199.54
2017,4,Abr,202.99
2018,4,Abr,136.79
2019,4,Abr,124.48
2020,4,Abr,158.59
2021,4,Abr,128.03
2022,4,Abr,152.68
2023,4,Abr,133.54
2024,4,Abr,69.39
2011,5,May,204.23
2012,5,May,139.45
2013,5,May,94.8
2014,5,May,156.24
2015,5,May,158.25
2016,5,May,181.47
2017,5,May,188.22
2018,5,May,256.26
2019,5,May,168.62
2020,5,May,253.24
2021,5,May,299.9
2022,5,May,155.66
2023,5,May,131.9
2024,5,May,129.09
2011,6,Jun,178.22
2012,6,Jun,151.09
2013,6,Jun,194.15
2014,6,Jun,171.86
2015,6,Jun,297.54
2016,6,Jun,367.43
2017,6,Jun,168.36
2018,6,Jun,173.38
2019,6,Jun,279.99
2020,6,Jun,169.2
2021,6,Jun,143.05
2022,6,Jun,146.48
2023,6,Jun,161.12
2024,6,Jun,151.14
2011,7,Jul,327.34
2012,7,Jul,177.59
2013,7,Jul,207.76
2014,7,Jul,186.34
2015,7,Jul,267.58
2016,7,Jul,175.96
2017,7,Jul,197.57
2018,7,Jul,174.3
2019,7,Jul,203.32
2020,7,Jul,182.45
2021,7,Jul,199.36
2022,7,Jul,264.65
2023,7,Jul,160.89
2024,7,Jul,96.13
2011,8,Ago,104.2
2012,8,Ago,141.51
2013,8,Ago,140.84
2014,8,Ago,143.94
2015,8,Ago,150.01
2016,8,Ago,119.43
2017,8,Ago,86.52
2018,8,Ago,175.58
2019,8,Ago,208.02
2020,8,Ago,109.22
2021,8,Ago,106.77
2022,8,Ago,153.49
2023,8,Ago,119.17
2024,8,Ago,49.99
2011,9,Sep,151.09
2012,9,Sep,83.42
2013,9,Sep,103.23
2014,9,Sep,79.09
2015,9,Sep,111.77
2016,9,Sep,84.83
2017,9,Sep,79.78
2018,9,Sep,108.55
2019,9,Sep,100.15
2020,9,Sep,112.92
2021,9,Sep,110.55
2022,9,Sep,83.09
2023,9,Sep,53.79
2024,9,Sep,40.71
2011,10,Oct,87.9
2012,10,Oct,79.28
2013,10,Oct,91.51
2014,10,Oct,141.93
2015,10,Oct,116.06
2016,10,Oct,65.27
2017,10,Oct,100.51
2018,10,Oct,56.93
2019,10,Oct,134.18
2020,10,Oct,83.77
2021,10,Oct,128.14
2022,10,Oct,88.17
2023,10,Oct,43.69
2024,10,Oct,39.54
2011,11,Nov,86.07
2012,11,Nov,77.04
2013,11,Nov,46.08
2014,11,Nov,64.55
2015,11,Nov,76.01
2016,11,Nov,49.19
2017,11,Nov,55.98
2018,11,Nov,96.91
2019,11,Nov,103.25
2020,11,Nov,49.49
2021,11,Nov,145.09
2022,11,Nov,68.25
2023,11,Nov,54.78
2024,11,Nov,25.48
2011,12,Dic,149.51
2012,12,Dic,54.71
2013,12,Dic,39.87
2014,12,Dic,73.16
2015,12,Dic,81.13
2016,12,Dic,55.55
2017,12,Dic,57.44
2018,12,Dic,83.74
2019,12,Dic,127.53
2020,12,Dic,87.58
2021,12,Dic,116.36
2022,12,Dic,43.45
2023,12,Dic,79.02
2024,12,Dic,61.5
