year,month,month_name,solar_cf,wind_cf,load_norm
2011,1,Ene,0.1896,0.4524,1.0017
2012,1,Ene,0.1896,0.4524,1.0017
2013,1,Ene,0.1896,0.4524,1.0017
2014,1,Ene,0.1896,0.4524,1.0017
2015,1,Ene,0.1896,0.4524,1.0017
2016,1,Ene,0.1896,0.4524,1.0017
2017,1,Ene,0.1896,0.4524,1.0017
2018,1,Ene,0.1896,0.4524,1.0017
2019,1,Ene,0.1896,0.4524,1.0017
2020,1,Ene,0.1896,0.4524,1.0017
2021,1,Ene,0.1896,0.4524,1.0017
2022,1,Ene,0.1896,0.4524,1.0017
2023,1,Ene,0.1896,0.4524,1.0017
2024,1,Ene,0.1896,0.4524,1.0017
2011,2,Feb,0.1894,0.4662,0.9946
2012,2,Feb,0.1883,0.4667,0.9973
2013,2,Feb,0.1894,0.4662,0.9946
2014,2,Feb,0.1894,0.4662,0.9946
2015,2,Feb,0.1894,0.4662,0.9946
2016,2,Feb,0.1883,0.4667,0.9973
2017,2,Feb,0.1894,0.4662,0.9946
2018,2,Feb,0.1894,0.4662,0.9946
2019,2,Feb,0.1894,0.4662,0.9946
2020,2,Feb,0.1883,0.4667,0.9973
2021,2,Feb,0.1894,0.4662,0.9946
2022,2,Feb,0.1894,0.4662,0.9946
2023,2,Feb,0.1894,0.4662,0.9946
2024,2,Feb,0.1883,0.4667,0.9973
2011,3,Mar,0.199,0.4651,0.9966
2012,3,Mar,0.199,0.4654,0.9934
2013,3,Mar,0.199,0.4651,0.9966
2014,3,Mar,0.199,0.4651,0.9966
2015,3,Mar,0.199,0.4651,0.9966
2016,3,Mar,0.199,0.4654,0.9934
2017,3,Mar,0.199,0.4651,0.9966
2018,3,Mar,0.199,0.4651,0.9966
2019,3,Mar,0.199,0.4651,0.9966
2020,3,Mar,0.199,0.4654,0.9934
2021,3,Mar,0.199,0.4651,0.9966
2022,3,Mar,0.199,0.4651,0.9966
2023,3,Mar,0.199,0.4651,0.9966
2024,3,Mar,0.199,0.4654,0.9934
2011,4,Abr,0.1769,0.4912,1.0029
2012,4,Abr,0.1771,0.4879,1.002
2013,4,Abr,0.1769,0.4912,1.0029
2014,4,Abr,0.1769,0.4912,1.0029
2015,4,Abr,0.1769,0.4912,1.0029
2016,4,Abr,0.1771,0.4879,1.002
2017,4,Abr,0.1769,0.4912,1.0029
2018,4,Abr,0.1769,0.4912,1.0029
2019,4,Abr,0.1769,0.4912,1.0029
2020,4,Abr,0.1771,0.4879,1.002
2021,4,Abr,0.1769,0.4912,1.0029
2022,4,Abr,0.1769,0.4912,1.0029
2023,4,Abr,0.1769,0.4912,1.0029
2024,4,Abr,0.1771,0.4879,1.002
2011,5,May,0.1669,0.5044,0.9968
2012,5,May,0.1666,0.4997,1.0004
2013,5,May,0.1669,0.5044,0.9968
2014,5,May,0.1669,0.5044,0.9968
