reader_id,birads_threshold,fpr,sensitivity
R1,4A,0.746031746031746,0.914285714285714
R2,4A,0.365079365079365,0.757142857142857
R3,4A,0.714285714285714,0.807142857142857
R4,4A,0.476190476190476,0.821428571428571
R5,4A,0.761904761904762,0.835714285714286
R6,4A,0.428571428571429,0.657142857142857
R7,4A,0.888888888888889,0.914285714285714
R8,4A,0.492063492063492,0.778571428571429
R9,4A,0.714285714285714,0.835714285714286
R1,4B,0.301587301587302,0.657142857142857
R2,4B,0.0317460317460317,0.25
R3,4B,0.206349206349206,0.414285714285714
R4,4B,0.301587301587302,0.628571428571429
R5,4B,0.158730158730159,0.5
R6,4B,0.174603174603175,0.414285714285714
R7,4B,0.365079365079365,0.728571428571429
R8,4B,0.174603174603175,0.478571428571429
R9,4B,0.238095238095238,0.507142857142857
R1,4C,0.0952380952380952,0.292857142857143
R2,4C,0,0.05
R3,4C,0.0634920634920635,0.278571428571429
R4,4C,0.0793650793650793,0.357142857142857
R5,4C,0.0476190476190477,0.192857142857143
R6,4C,0.0158730158730158,0.2
R7,4C,0.0793650793650793,0.407142857142857
R8,4C,0.0158730158730158,0.142857142857143
R9,4C,0.0476190476190477,0.192857142857143
