planta,metodo,dia,altura_cm
#1,solar,0,0
#1,solar,7,5
#1,solar,14,9
#1,solar,21,9.1
#1,solar,28,20.4
#1,solar,35,27.3
#1,solar,42,27.6
#1,ro,0,0
#1,ro,7,5.5
#1,ro,14,8.7
#1,ro,21,10
#1,ro,28,16.4
#1,ro,35,26.1
#1,ro,42,26.6
#1,natural,0,0
#1,natural,7,4
#1,natural,14,7.6
#1,natural,21,7.9
#1,natural,28,10.1
#1,natural,35,14.8
#1,natural,42,11.2
#2,solar,0,0
#2,solar,7,4.5
#2,solar,14,8.2
#2,solar,21,9.8
#2,solar,28,20.4
#2,solar,35,30.2
#2,solar,42,32.2
#2,ro,0,0
#2,ro,7,5
#2,ro,14,7.8
#2,ro,21,12.1
#2,ro,28,17.6
#2,ro,35,24.3
#2,ro,42,25.3
#2,natural,0,0
#2,natural,7,5
#2,natural,14,6.4
#2,natural,21,8.4
#2,natural,28,10.4
#2,natural,35,15.8
#2,natural,42,11.4
#3,solar,0,0
#3,solar,7,4.1
#3,solar,14,8.9
#3,solar,21,9.2
#3,solar,28,21
#3,solar,35,28.8
#3,solar,42,28.9
#3,ro,0,0
#3,ro,7,6
#3,ro,14,7.4
#3,ro,21,9.8
#3,ro,28,17.4
#3,ro,35,26.1
#3,ro,42,25.7
#3,natural,0,0
#3,natural,7,4.5
#3,natural,14,6.8
#3,natural,21,7.6
#3,natural,28,10.8
#3,natural,35,16.9
#3,natural,42,12.8
#4,solar,0,0
#4,solar,7,5.3
#4,solar,14,9.2
#4,solar,21,9.1
#4,solar,28,18.1
#4,solar,35,29.2
#4,solar,42,30.9
#4,ro,0,0
#4,ro,7,4.2
#4,ro,14,7.2
#4,ro,21,9.6
#4,ro,28,14.8
#4,ro,35,20.8
#4,ro,42,26.8
#4,natural,0,0
#4,natural,7,5
#4,natural,14,7.4
#4,natural,21,8.4
#4,natural,28,8.6
#4,natural,35,17.2
#4,natural,42,13.1
#5,solar,0,0
#5,solar,7,4.8
#5,solar,14,7.7
#5,solar,21,8.8
#5,solar,28,18.1
#5,solar,35,26.4
#5,solar,42,26.7
#5,ro,0,0
#5,ro,7,4.5
#5,ro,14,10.3
#5,ro,21,11.2
#5,ro,28,19.7
#5,ro,35,21.3
#5,ro,42,27.4
#5,natural,0,0
#5,natural,7,4.8
#5,natural,14,7.8
#5,natural,21,8.2
#5,natural,28,8.2
#5,natural,35,16.4
#5,natural,42,10.9
#6,solar,0,0
#6,solar,7,6
#6,solar,14,8.5
#6,solar,21,11.3
#6,solar,28,18.5
#6,solar,35,22.3
#6,solar,42,30.2
#6,ro,0,0
#6,ro,7,5
#6,ro,14,8.5
#6,ro,21,10.4
#6,ro,28,15.5
#6,ro,35,24.4
#6,ro,42,26.2
#6,natural,0,0
#6,natural,7,4
#6,natural,14,7.3
#6,natural,21,8.7
#6,natural,28,9.1
#6,natural,35,14.2
#6,natural,42,10.7
#7,solar,0,0
#7,solar,7,4.5
#7,solar,14,8.2
#7,solar,21,10.3
#7,solar,28,16.2
#7,solar,35,21.9
#7,solar,42,24.6
#7,ro,0,0
#7,ro,7,5
#7,ro,14,9
#7,ro,21,8.4
#7,ro,28,16
#7,ro,35,27.4
#7,ro,42,28.5
#7,natural,0,0
#7,natural,7,5.3
#7,natural,14,8.2
#7,natural,21,7.9
#7,natural,28,9.9
#7,natural,35,16.5
#7,natural,42,12.4
#8,solar,0,0
#8,solar,7,4
#8,solar,14,9.1
#8,solar,21,12.2
#8,solar,28,15.5
#8,solar,35,24.2
#8,solar,42,30.8
#8,ro,0,0
#8,ro,7,6
#8,ro,14,10.3
#8,ro,21,7.6
#8,ro,28,18.1
#8,ro,35,22.9
#8,ro,42,24.9
#8,natural,0,0
#8,natural,7,5
#8,natural,14,7.1
#8,natural,21,8.9
#8,natural,28,9.1
#8,natural,35,16.4
#8,natural,42,13.1
#9,solar,0,0
#9,solar,7,4.2
#9,solar,14,8.5
#9,solar,21,10.3
#9,solar,28,19.2
#9,solar,35,24.1
#9,solar,42,32.4
#9,ro,0,0
#9,ro,7,4.5
#9,ro,14,7.6
#9,ro,21,9.3
#9,ro,28,17.8
#9,ro,35,23.4
#9,ro,42,25.3
#9,natural,0,0
#9,natural,7,4.3
#9,natural,14,8.3
#9,natural,21,8.8
#9,natural,28,10.1
#9,natural,35,17.7
#9,natural,42,14.5
#10,solar,0,0
#10,solar,7,5
#10,solar,14,7.8
#10,solar,21,9.9
#10,solar,28,14.1
#10,solar,35,23.7
#10,solar,42,26.2
#10,ro,0,0
#10,ro,7,5
#10,ro,14,9.2
