Taxon,Taxon2,Kingdom,Metric,Legacy,Relative_recovery_30,Relative_recovery_30_upper_confidence_interval,Relative_recovery_30_lower_confidence_interval,Resistance,Resistance_upper_confidence_interval,Resistance_lower_confidence_interval,Lambda,Lambda_upper_confidence_interval,Lambda_lower_confidence_interval,Recoverytime,Recoverytime_upper_confidence_interval,Recoverytime_lower_confidence_interval,R2,Trophic,TrophicLevel,Dispersal
Bacteria 10 cm depth,Bacteria,Bacteria,Abundance,cacao,1.0,1.0,0.916,0.666,0.727,0.472,1.027,2.592,0.057,1.569,28.372,0.676,0.228,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,Abundance,pasture,0.962,1.0,0.883,0.905,0.988,0.822,0.033,0.059,0.016,0.0,47.45,0.0,0.003,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,alpha_q0,cacao,0.906,1.0,0.821,0.906,0.996,0.762,0.0,0.455,0.0,0.0,1.66736669561183e+16,0.0,-0.001,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,alpha_q0,pasture,1.0,1.0,1.0,0.77,0.847,0.689,15.6,18.2,1.171,0.053,0.976,0.026,0.125,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,alpha_q1,cacao,0.794,0.908,0.692,0.672,0.839,0.55,0.015,0.04,0.0,76.946,308428224084554.0,30.929,-0.057,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,alpha_q1,pasture,1.0,1.0,0.883,0.588,0.663,0.528,18.08,18.088,0.904,0.078,36.531,0.071,0.116,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,alpha_q2,cacao,0.9,1.0,0.713,0.702,0.997,0.509,0.037,0.079,0.006,29.935,3.73314798514551e+17,0.0,0.018,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,alpha_q2,pasture,0.741,1.0,0.563,0.658,0.941,0.506,0.009,17.771,0.001,132.998,7856380437844091.0,0.0,-0.161,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,braycurtis,cacao,0.883,0.888,0.839,0.883,0.888,0.839,0.0,0.0,0.0,2228517167393.14,3958913706919.48,21448498.254,-0.653,detritivor,0.0,aerial
Bacteria 10 cm depth,Bacteria,Bacteria,braycurtis,pasture,0.893,0.924,0.873,0.802,0.825,0.797,0.021,0.033,0.014,33.04,45.922,21.841,0.065,detritivor,0.0,aerial
Bacteria 50 cm depth,Bacteria,Bacteria,Abundance,cacao,0.793,0.953,0.598,0.793,0.855,0.574,0.0,10.935,0.0,5.37e+18,1.43435225340176e+30,1.5401051647615e+18,-0.318,detritivor,0.0,aerial
Bacteria 50 cm depth,Bacteria,Bacteria,Abundance,pasture,0.97,0.988,0.94,0.429,0.462,0.395,0.125,0.156,0.103,20.698,25.578,16.597,0.578,detritivor,0.0,aerial
Bacteria 50 cm depth,Bacteria,Bacteria,alpha_q0,cacao,0.976,1.0,0.721,0.976,0.992,0.388,0.0,16.478,0.425,0.0,649.511,0.0,-0.295,detritivor,0.0,aerial
Bacteria 50 cm depth,Bacteria,Bacteria,alpha_q0,pasture,0.944,0.985,0.892,0.468,0.475,0.46,0.098,0.161,0.075,24.738,32.53,15.872,0.428,detritivor,0.0,aerial
Bacteria 50 cm depth,Bacteria,Bacteria,alpha_q1,cacao,0.937,1.0,0.727,0.937,0.995,0.548,0.0,15.211,0.0,0.0,8.1156679503607e+20,0.0,-0.14,detritivor,0.0,aerial
Bacteria 50 cm depth,Bacteria,Bacteria,alpha_q1,pasture,0.95,0.988,0.919,0.702,0.745,0.659,0.07,0.141,0.053,20.673,27.539,10.943,0.16,detritivor,0.0,aerial
Bacteria 50 cm depth,Bacteria,Bacteria,alpha_q2,cacao,0.987,1.0,0.797,0.987,0.987,0.797,0.0,16.1,0.0,0.0,63391882263464.3,0.0,-0.114,detritivor,0.0,aerial
Bacteria 50 cm depth,Bacteria,Bacteria,alpha_q2,pasture,0.999,1.0,0.985,0.915,0.917,0.739,0.151,0.104,0.104,0.0,12.063,0.0,0.019,detritivor,0.0,aerial
