farmaco,sexo,n,bmi_pre_mediana,bmi_change_pct_mediana,meses_tratamiento_mediana,se_constipation,se_diarrhea,se_nausea,se_vomiting,se_loss_appetite,se_taste,se_stomach_pain,se_pleasure_eating,se_muscle_weakness,se_face_sagging,se_butt_sagging
All,M,4908,35.6 (6.8),-10.0% (8.2),9.1 (11.4),"1,053 (21.5%)",540 (11.0%),744 (15.2%),247 (5.0%),"2,706 (55.1%)",240 (4.9%),463 (9.4%),971 (19.8%),339 (6.9%),115 (2.3%),227 (4.6%)
All,F,22977,35.0 (7.8),-12.2% (9.7),8.2 (9.9),"6,559 (28.5%)","2,921 (12.7%)","6,262 (27.3%)","2,106 (9.2%)","13,711 (59.7%)","1,892 (8.2%)","3,029 (13.2%)","6,209 (27.0%)","1,938 (8.4%)","1,089 (4.7%)","1,975 (8.6%)"
Ozempic,M,2307,35.7 (6.8),-9.1% (7.7),11.4 (14.3),487 (21.1%),282 (12.2%),388 (16.8%),140 (6.1%),"1,082 (46.9%)",119 (5.2%),246 (10.7%),405 (17.6%),186 (8.1%),64 (2.8%),104 (4.5%)
Ozempic,F,9664,35.2 (8.0),-11.2% (9.4),9.5 (12.3),"2,702 (28.0%)","1,354 (14.0%)","2,777 (28.7%)","1,047 (10.8%)","4,836 (50.0%)",862 (8.9%),"1,456 (15.1%)","2,318 (24.0%)",841 (8.7%),490 (5.1%),748 (7.7%)
Wegovy,M,600,36.9 (6.4),-10.3% (8.3),7.1 (7.9),152 (25.3%),61 (10.2%),100 (16.7%),36 (6.0%),331 (55.2%),34 (5.7%),50 (8.3%),136 (22.7%),34 (5.7%),10 (1.7%),25 (4.2%)
Wegovy,F,3221,35.9 (7.2),-12.5% (9.8),7.9 (8.2),998 (31.0%),397 (12.3%),"1,010 (31.4%)",369 (11.5%),"2,021 (62.7%)",268 (8.3%),404 (12.5%),896 (27.8%),260 (8.1%),134 (4.2%),266 (8.3%)
Compounded_semaglutide,M,475,33.8 (6.0),-8.7% (7.3),6.1 (6.1),101 (21.3%),46 (9.7%),79 (16.6%),21 (4.4%),283 (59.6%),20 (4.2%),42 (8.8%),95 (20.0%),29 (6.1%),-,-
Compounded_semaglutide,F,3302,32.9 (7.1),-10.7% (8.6),6.4 (6.2),968 (29.3%),377 (11.4%),912 (27.6%),263 (8.0%),"2,061 (62.4%)",233 (7.1%),403 (12.2%),862 (26.1%),267 (8.1%),104 (3.1%),216 (6.5%)
Mounjaro,M,940,36.2 (7.2),-12.8% (9.4),10.9 (7.7),170 (18.1%),87 (9.3%),99 (10.5%),24 (2.6%),568 (60.4%),39 (4.1%),70 (7.4%),190 (20.2%),45 (4.8%),21 (2.2%),52 (5.5%)
Mounjaro,F,3710,36.2 (8.1),-15.8% (10.7),10.5 (8.0),997 (26.9%),428 (11.5%),798 (21.5%),229 (6.2%),"2,412 (65.0%)",277 (7.5%),414 (11.2%),"1,113 (30.0%)",303 (8.2%),219 (5.9%),427 (11.5%)
Zepbound,M,418,35.4 (6.6),-11.8% (7.5),5.2 (4.1),76 (18.2%),33 (7.9%),43 (10.3%),15 (3.6%),285 (68.2%),-,22 (5.3%),91 (21.8%),20 (4.8%),-,17 (4.1%)
Zepbound,F,1903,35.7 (7.2),-13.5% (9.4),5.7 (4.3),477 (25.1%),175 (9.2%),413 (21.7%),94 (4.9%),"1,342 (70.5%)",130 (6.8%),167 (8.8%),550 (28.9%),139 (7.3%),65 (3.4%),164 (8.6%)
Compounded_tirzepatide,M,168,33.5 (6.9),-10.0% (8.2),7.5 (5.6),41 (24.4%),10 (6.0%),15 (8.9%),-,108 (64.3%),-,20 (11.9%),36 (21.4%),11 (6.5%),-,10 (6.0%)
Compounded_tirzepatide,F,1177,32.2 (7.3),-13.2% (8.9),7.3 (5.9),259 (22.0%),92 (7.8%),178 (15.1%),32 (2.7%),804 (68.3%),69 (5.9%),85 (7.2%),339 (28.8%),83 (7.1%),52 (4.4%),122 (10.4%)
