water_year,scenario,init_frac,snow_frac,rain_frac
2015,baseline,0.0511,0.8024,0.1465
2016,baseline,0.0545,0.8068,0.1387
2017,baseline,0.0449,0.8506,0.1046
2018,baseline,0.061,0.8156,0.1234
2019,baseline,0.0467,0.8479,0.1054
2020,baseline,0.0552,0.8297,0.1151
2021,baseline,0.0531,0.7566,0.1903
2015,2.5,0.0521,0.7822,0.1657
2016,2.5,0.0548,0.7896,0.1556
2017,2.5,0.0458,0.8284,0.1258
2018,2.5,0.0628,0.7986,0.1386
2019,2.5,0.048,0.8268,0.1252
2020,2.5,0.0575,0.8012,0.1413
2021,2.5,0.0555,0.7258,0.2187
2015,4.0,0.0534,0.7765,0.1701
2016,4.0,0.058,0.7797,0.1622
2017,4.0,0.0483,0.8225,0.1293
2018,4.0,0.0652,0.7815,0.1533
2019,4.0,0.0521,0.8168,0.1311
2020,4.0,0.0628,0.7854,0.1518
2021,4.0,0.0598,0.7128,0.2274
