sciName,order,family,genus,BioRealm,DOMESTICATED_large,extinct,Synanthropy_level_simple,WildMeat,Traded_all,Traded_legal,Traded_illegal,Traded_all_live,Traded_all_product,timeTraded_all_1980_2019,Zoonose_vector_1,ZOONOTIC_NB_all,Zoonose_virus_vector_1,ZOONOTIC_NB_viruses,PhyloDist_Homosapiens_mean,pubs_pubmed_all_log,pubs_X
Ornithorhynchus_anatinus,MONOTREMATA,ORNITHORHYNCHIDAE,Ornithorhynchus,Australoceania,no,0,no,no,yes,yes,yes,no,yes,0,Zoonotic,1,NotZoonotic,0,376.5765580534445,6.896694331622713,0.136179110089919
Tachyglossus_aculeatus,MONOTREMATA,TACHYGLOSSIDAE,Tachyglossus,Australoceania,no,0,no,yes,yes,yes,yes,yes,yes,0,NotZoonotic,0,NotZoonotic,0,376.5765614365445,5.768320995793772,0.08035611595703131
Zaglossus_attenboroughi,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,Australoceania,no,0,no,yes,yes,yes,no,no,yes,1,NotZoonotic,0,NotZoonotic,0,376.5765603743495,0,0
Zaglossus_bartoni,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,Australoceania,no,0,no,yes,yes,yes,no,no,yes,2,NotZoonotic,0,NotZoonotic,0,376.5765607694844,1.09861228866811,0.03023633288979501
Zaglossus_bruijnii,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,Australoceania,no,0,no,yes,yes,yes,yes,yes,yes,7,NotZoonotic,0,NotZoonotic,0,376.5765607860795,1.945910149055313,0
Caenolestes_caniventer,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.739090185148,0,0
Caenolestes_condorensis,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390904813725,0,0
Caenolestes_convelatus,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes,Neotropic,no,0,no,no,yes,yes,no,no,yes,0,NotZoonotic,0,NotZoonotic,0,320.739090120673,0,0
Caenolestes_fuliginosus,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes,Neotropic,no,0,no,no,yes,yes,no,no,yes,0,NotZoonotic,0,NotZoonotic,0,320.739090290789,1.386294361119891,0.04647411751850491
Caenolestes_sangay,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390902118631,0,0
Lestoros_inca,PAUCITUBERCULATA,CAENOLESTIDAE,Lestoros,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390898558095,1.6094379124341,0.0348821089138858
Rhyncholestes_raphanurus,PAUCITUBERCULATA,CAENOLESTIDAE,Rhyncholestes,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390898558095,0.6931471805599453,0
Caluromys_derbianus,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,multiple,no,0,yes,no,yes,yes,no,yes,no,0,Zoonotic,2,Zoonotic,2,320.7390884197625,2.397895272798371,0.04965549146070054
Caluromys_lanatus,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390884197625,1.791759469228055,0.04931333494885793
Caluromys_philander,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,Neotropic,no,0,no,no,yes,yes,no,no,yes,0,Zoonotic,5,Zoonotic,5,320.7390883493945,3.218875824868201,0.02839483476370751
Caluromysiops_irrupta,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromysiops,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390879183445,0,0
Chironectes_minimus,DIDELPHIMORPHIA,DIDELPHIDAE,Chironectes,multiple,no,0,no,no,yes,yes,no,yes,no,0,Zoonotic,1,Zoonotic,1,320.7390876341645,2.19722457733622,0
Didelphis_albiventris,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,Neotropic,no,0,yes,no,yes,yes,no,no,yes,0,Zoonotic,4,NotZoonotic,0,320.739087559225,5.46383180502561,0.203574182761358
Didelphis_aurita,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,Neotropic,no,0,yes,yes,yes,yes,no,no,yes,0,Zoonotic,1,NotZoonotic,0,320.7390875213745,4.52178857704904,0.1601642784298394
Didelphis_imperfecta,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.739087559225,0,0
Didelphis_marsupialis,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,multiple,no,0,yes,yes,yes,yes,yes,yes,yes,0,Zoonotic,19,Zoonotic,14,320.7390875213745,5.799092654460526,0.1907409179342519
Didelphis_pernigra,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,Neotropic,no,0,yes,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390875477845,1.09861228866811,0
Didelphis_virginiana,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,multiple,no,0,yes,yes,yes,yes,yes,yes,yes,0,Zoonotic,14,Zoonotic,7,320.7390870214945,6.634633357861686,0.1896641992379074
Lutreolina_crassicaudata,DIDELPHIMORPHIA,DIDELPHIDAE,Lutreolina,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390877367545,2.564949357461537,0.08255083706538961
Lutreolina_massoia,DIDELPHIMORPHIA,DIDELPHIDAE,Lutreolina,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390877367545,0,0
Philander_andersoni,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390874740695,0,0
Philander_canus,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390874740695,0.6931471805599453,0.02323705875925246
Philander_deltae,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390875439251,0,0
Philander_mcilhennyi,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390874615435,0,0
Philander_melanurus,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390874740695,0,0
Philander_nigratus,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390874740695,0,0
Philander_opossum,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,yes,no,yes,yes,yes,yes,yes,0,Zoonotic,11,Zoonotic,8,320.739087475159,4.007333185232471,0.1279921156475825
Philander_pebas,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390874740695,0,0
Philander_quica,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,Zoonotic,1,NotZoonotic,0,320.7390873337045,2.19722457733622,0.06047266577959002
Philander_vossi,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,Neotropic,no,0,no,no,no,no,no,no,no,0,NotZoonotic,0,NotZoonotic,0,320.7390874740695,0,0
