cellType,Mouse_AERfactors96w,Mouse_AERfactorsALI,Mouse_VehCtrl96w,Mouse_AERfactors96w_pc,Mouse_AERfactorsALI_pc,Mouse_VehCtrl96w_pc
CT_1,282,906,38,9.6,19.6,1.3
CT_2,340,676,89,11.5,14.6,3.1
CT_3,333,321,426,11.3,6.9,14.8
CT_4,276,645,139,9.3,13.9,4.8
CT_5,115,638,252,3.9,13.8,8.7
CT_6,419,21,519,14.2,0.5,18.0
CT_7,279,211,234,9.5,4.6,8.1
CT_8,265,82,271,9.0,1.8,9.4
CT_9,168,85,361,5.7,1.8,12.5
CT_10,66,169,72,2.2,3.6,2.5
CT_11,115,344,251,3.9,7.4,8.7
Basal Ectoderm,51,51,38,1.7,1.1,1.3
Differentiating Ectoderm,52,23,58,1.8,0.5,2.0
Muscle,116,265,32,3.9,5.7,1.1
Immune,19,79,28,0.6,1.7,1.0
Endothelial,21,37,42,0.7,0.8,1.5
Pericytes,28,70,28,0.9,1.5,1.0
Schwann,7,11,3,0.2,0.2,0.1
