snapshot,variable,correlacion,rmse
0,vorticidad_zeta_sobre_f,0.776440719091332,0.1607482135295868
0,divergencia_delta_sobre_f,0.11827814252797646,0.12599517405033112
0,deformacion_alpha_sobre_f,0.5760057693261394,0.14230604469776154
0,u_m_s,0.9606238337981414,0.094964399933815
0,v_m_s,0.960110499297885,0.14540012180805206
1,vorticidad_zeta_sobre_f,0.7721409320941647,0.16635285317897797
1,divergencia_delta_sobre_f,0.12039031279049746,0.12842512130737305
1,deformacion_alpha_sobre_f,0.5735756642006455,0.14810465276241302
1,u_m_s,0.9627471601157747,0.09332551062107086
1,v_m_s,0.9580608983619652,0.13201043009757996
2,vorticidad_zeta_sobre_f,0.7681694635993188,0.17254772782325745
2,divergencia_delta_sobre_f,0.12347000826473077,0.12987865507602692
2,deformacion_alpha_sobre_f,0.5741213578657297,0.1534450501203537
2,u_m_s,0.9637383657220291,0.09332532435655594
2,v_m_s,0.9582324676720831,0.1214708685874939
3,vorticidad_zeta_sobre_f,0.7653098565690782,0.17782747745513916
3,divergencia_delta_sobre_f,0.12186850911313878,0.1301233172416687
3,deformacion_alpha_sobre_f,0.576621065860194,0.15681125223636627
3,u_m_s,0.9633034973234673,0.09378360956907272
3,v_m_s,0.9605720513149657,0.11462061107158661
4,vorticidad_zeta_sobre_f,0.7625496191949802,0.18180401623249054
4,divergencia_delta_sobre_f,0.11338886783280215,0.1293404996395111
4,deformacion_alpha_sobre_f,0.5774253453217945,0.15851517021656036
4,u_m_s,0.961613449593084,0.09481525421142578
4,v_m_s,0.9634473537459587,0.10956117510795593
5,vorticidad_zeta_sobre_f,0.7593266337201836,0.18482059240341187
5,divergencia_delta_sobre_f,0.10354438291240335,0.12842673063278198
5,deformacion_alpha_sobre_f,0.5774051340314001,0.15930582582950592
5,u_m_s,0.959595517833757,0.09800486266613007
5,v_m_s,0.9648647967549345,0.10444475710391998
6,vorticidad_zeta_sobre_f,0.7580992447715706,0.18609493970870972
6,divergencia_delta_sobre_f,0.10515236539832323,0.1273312270641327
6,deformacion_alpha_sobre_f,0.5817392898156738,0.15864868462085724
6,u_m_s,0.9595636225556888,0.10041996091604233
6,v_m_s,0.9651837548020704,0.0987326055765152
7,vorticidad_zeta_sobre_f,0.7615212026664746,0.18401400744915009
7,divergencia_delta_sobre_f,0.1201602884998154,0.12514424324035645
7,deformacion_alpha_sobre_f,0.5900594687698181,0.15575726330280304
7,u_m_s,0.9627009571238562,0.09696260839700699
7,v_m_s,0.9661651396711913,0.09801192581653595
8,vorticidad_zeta_sobre_f,0.7668284774047774,0.17903023958206177
8,divergencia_delta_sobre_f,0.13266903780898376,0.12270128726959229
8,deformacion_alpha_sobre_f,0.5936772076108922,0.1518106609582901
8,u_m_s,0.9671528448701203,0.0889437198638916
8,v_m_s,0.9677784363033907,0.10755342245101929
9,vorticidad_zeta_sobre_f,0.768550519137336,0.17389625310897827
9,divergencia_delta_sobre_f,0.13003567225066748,0.12194890528917313
9,deformacion_alpha_sobre_f,0.5874266595898365,0.14901402592658997
9,u_m_s,0.9703567569382889,0.0856899544596672
9,v_m_s,0.9687463855681947,0.1203945130109787
10,vorticidad_zeta_sobre_f,0.7667036610802249,0.1705140620470047
10,divergencia_delta_sobre_f,0.11949903182319066,0.12271800637245178
10,deformacion_alpha_sobre_f,0.5783812959953826,0.14818361401557922
10,u_m_s,0.9711872935611808,0.09317333251237869
10,v_m_s,0.9690945228756594,0.12649208307266235
