Chondrites,Reservoir,17O,48Ca,50Ti,54Cr,54Fe,64Ni,66Zn,96Zr,94Mo,95Mo,100Ru,17O_uncertainty,48Ca_uncertainty,50Ti_uncertainty,54Cr_uncertainty,54Fe_uncertainty,64Ni_uncertainty,66Zn_uncertainty,96Zr_uncertainty,94Mo_uncertainty,95Mo_uncertainty,100Ru_uncertainty
H,OC-EC,0.72,-0.24,-0.573,-0.382,0.1156,-0.16,-0.3,0.34,0.67,0.29,-0.3,0.05,0.29,0.09,0.02,0.047,0.05,0.05,0.02,0.07,0.04,0.05
L,OC-EC,1.03,-0.21,-0.631,-0.32,0.106,-0.11,-0.25,0.297,0.59,0.21,-0.28,0.04,0.05,0.02,0.06,0.05,0.06,0.03,0.03,0.19,0.11,0.13
LL,OC-EC,1.19,-0.36,-0.65,-0.424,0.129,-0.18,-0.27,0.29,0.62,0.2,,0.06,0.02,0.05,0.05,0.04,0.05,0.03,0.02,0.11,0.06,
EH/Aub,OC-EC,0,-0.11,-0.103,-0.019,,0.071,-0.16,0.187,0.451,0.225,-0.062,0.081,0.02,0.08,0.066,,0.03,0.03,0.04,0.079,0.042,0.028
EL,OC-EC,-0.01,-0.18,-0.306,0.03,0.064,-0.05,-0.16,0.17,0.27,0.12,-0.08,0.07,0.04,0.06,0.07,0.03,0.04,0.04,0.03,0.04,0.04,0.05
Kak,OC-EC,-1.09,-1.3,,-0.44,,,,0.42,,,,0.35,0.25,,0.04,,,,0.04,,,
Rum,OC-EC,2.64,,-0.47,-0.06,0.064,,,0.25,0.42,0.18,,0.15,,0.1,0.09,0.03,,,0.05,0.09,0.05,
Win,OC-EC,-0.49,-0.21,-0.29,-0.14,,,,0.02,0.22,0.09,-0.06,0.07,0.09,0.11,0.04,,,,0.03,0.06,0.05,0.1
Mars,OC-EC,0.27,-0.2,-0.44,-0.18,0.061,0.08,-0.2,0.27,0.33,0.25,,0.03,0.02,0.04,0.03,0.02,0.11,0.03,0.02,0.06,0.04,
IAB,Iron Meteorites,,,,,-0.01,-0.06,-0.19,,0.04,-0.04,-0.02,,,,,0.02,0.06,0.13,,0.05,0.05,0.03
IC,Iron Meteorites,,,,,0.1,-0.24,-0.33,,0.88,0.34,-0.28,,,,,0.05,0.09,0.05,,0.03,0.01,0.03
IIAB,Iron Meteorites,-0.66,,,-0.83,0.16,-0.29,,,1.18,0.51,-0.43,0.13,,,0.03,0.03,0.1,,,0.02,0.02,0.02
IIE,Iron Meteorites,0.57,,,-0.59,,,,,0.68,0.3,,0.05,,,0.13,,,,,0.05,0.03,
IIIAB,Iron Meteorites,-0.2,,,-0.81,0.1,-0.32,,,1.02,0.44,-0.5,0.04,,,0.05,0.05,0.07,,,0.05,0.03,0.1
IIICD,Iron Meteorites,,,,,,,,,0.11,-0.02,,,,,,,,,,0.03,0.04,
IIIE,Iron Meteorites,,,,,,-0.26,,,0.95,0.43,-0.51,,,,,,0.08,,,0.06,0.04,0.06
IVA,Iron Meteorites,1.17,,,-0.473,0.1,-0.28,,,0.79,0.4,-0.28,0.1,,,0.06,0.04,0.04,,,0.04,0.03,0.07
