neuron_id,n_stimuli,rho_vis_imag,p_vis_imag,rho_enc_imag,p_enc_imag,rho_vis_enc,p_vis_enc
3927,6,0.7941,5.9218e-02,-0.0580,9.1313e-01,0.0290,9.5653e-01
3989,6,0.6088,1.9966e-01,0.0870,8.6988e-01,0.6000,2.0800e-01
7883,6,0.4638,3.5416e-01,0.5218,2.8834e-01,0.5147,2.9612e-01
2394,8,0.7143,4.6528e-02,0.3333,4.1975e-01,0.6190,1.0173e-01
4141,8,-0.0732,8.6325e-01,0.4286,2.8940e-01,0.3416,4.0763e-01
5786,8,-0.6464,8.3296e-02,0.1265,7.6532e-01,-0.2073,6.2225e-01
2089,8,0.5283,1.7830e-01,0.4050,3.1961e-01,0.6854,6.0634e-02
1866,8,0.4025,3.2290e-01,0.8264,1.1443e-02,0.6425,8.5770e-02
3494,8,0.1030,8.0818e-01,0.1317,7.5583e-01,0.2651,5.2577e-01
2529,8,0.5389,1.6812e-01,0.8144,1.3844e-02,0.8313,1.0531e-02
3762,8,-0.1111,7.9331e-01,0.2635,5.2837e-01,0.7120,4.7567e-02
1762,8,0.0245,9.5400e-01,-0.3191,4.4110e-01,0.6250,9.7538e-02
1569,8,0.2535,5.4467e-01,0.3114,4.5280e-01,-0.1890,6.5400e-01
2891,8,0.7196,4.4190e-02,0.6084,1.0947e-01,0.9513,2.7847e-04
2923,8,0.5063,2.0041e-01,-0.0904,8.3149e-01,0.3767,3.5772e-01
2927,8,0.7760,2.3598e-02,0.9048,2.0083e-03,0.8511,7.3641e-03
2884,8,0.4910,2.1661e-01,0.4286,2.8940e-01,0.9940,5.2962e-07
2522,8,0.7483,3.2707e-02,0.1227,7.7220e-01,0.1837,6.6328e-01
2374,8,-0.0958,8.2145e-01,0.7904,1.9545e-02,0.3373,4.1382e-01
5733,8,-0.8012,1.6829e-02,-0.5270,1.7963e-01,0.5868,1.2620e-01
3584,8,0.3927,3.3588e-01,0.1473,7.2785e-01,0.6000,1.1584e-01
4516,8,-0.5389,1.6812e-01,0.0719,8.6573e-01,0.3735,3.6210e-01
2456,8,0.4878,2.2008e-01,0.3030,4.6563e-01,0.4530,2.5970e-01
2632,8,0.5713,1.3910e-01,0.7531,3.0988e-02,0.6758,6.5797e-02
1597,8,0.6156,1.0422e-01,-0.2823,4.9821e-01,0.2644,5.2686e-01
1024,8,0.7173,4.5167e-02,0.1455,7.3109e-01,0.4753,2.3389e-01
4733,8,0.0242,9.5456e-01,0.0479,9.1032e-01,0.7318,3.9064e-02
4734,8,0.6504,8.0760e-02,0.2700,5.1784e-01,0.6500,8.1020e-02
1462,8,0.2787,5.0390e-01,0.4074,3.1639e-01,-0.1026,8.0897e-01
2839,8,0.7009,5.2797e-02,-0.1437,7.3422e-01,-0.0881,8.3560e-01
4307,8,0.8771,4.2191e-03,0.3952,3.3252e-01,0.1181,7.8067e-01
5208,8,0.0964,8.2038e-01,0.0000,1.0000e+00,0.2651,5.2577e-01
3863,8,-0.2113,6.1548e-01,-0.1867,6.5791e-01,0.6276,9.5715e-02
4670,8,-0.0245,9.5401e-01,-0.0485,9.0923e-01,0.5671,1.4265e-01
4749,8,0.7780,2.2996e-02,0.1325,7.5440e-01,0.4878,2.2010e-01
4775,8,-0.2727,5.1342e-01,-0.5868,1.2620e-01,0.6145,1.0500e-01
5841,8,-0.5487,1.5906e-01,-0.3133,4.4994e-01,0.7847,2.1086e-02
5873,8,0.1429,7.3576e-01,0.1905,6.5140e-01,0.3333,4.1975e-01
8512,8,0.2711,5.1607e-01,-0.0838,8.4355e-01,-0.5389,1.6812e-01
8514,8,-0.4662,2.4432e-01,0.4665,2.4395e-01,-0.0779,8.5444e-01
7053,8,0.2161,6.0722e-01,-0.2182,6.0370e-01,0.2671,5.2245e-01
8367,8,0.2395,5.6777e-01,0.1084,7.9826e-01,0.9091,1.7516e-03
8412,8,0.6259,9.6931e-02,-0.0958,8.2145e-01,0.0732,8.6325e-01
