elev_center_m,count
-4074.0,9
-3874.0,14
-3774.0,49
-3674.0,21
-3374.0,2
-3274.0,12
-3174.0,16
-3074.0,30
-2974.0,32
-2874.0,38
-2774.0,146
-2674.0,1009
-2574.0,484
-2474.0,594
-2374.0,754
-2274.0,442
-2174.0,167
-2074.0,194
-1974.0,191
-1874.0,209
-1774.0,229
-1674.0,59
-1574.0,16
-1474.0,139
-1374.0,100
-1274.0,61
-1174.0,11
-1074.0,7
-974.0,5
-874.0,27
-774.0,16
-674.0,38
-574.0,42
-474.0,11
-174.0,42
-74.0,30
26.0,14
126.0,20
226.0,18
326.0,68
426.0,189
526.0,112
626.0,2
826.0,69
926.0,204
1026.0,1431
1126.0,1870
1226.0,1976
1326.0,1658
1426.0,1778
1526.0,1521
1626.0,45
1726.0,26
1826.0,56
1926.0,3
2026.0,38
2126.0,125
2226.0,11
2326.0,35
