sample_id,A,G,biosample_id,condition
TA_2023_01_A1,55.0,1.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_A2,62.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_D1,62.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_E1,60.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_G1,57.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_G2,59.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_H1,62.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_I1,64.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_K2,45.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_L1,48.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_M2,85.0,0.0,Control_LHON_no_mito_transplanted,control
TA_2023_01_N1,50.0,0.0,Control_LHON_no_mito_transplanted,control
73_TA_2023-01_50,58.0,20.0,LHON_mito_transplanted_2d_round_1,transplanted
74_TA_2023-01_51,53.0,58.0,LHON_mito_transplanted_2d_round_1,transplanted
75_TA_2023-01_52,73.0,21.0,LHON_mito_transplanted_2d_round_1,transplanted
79_TA_2023-01_56,81.0,9.0,LHON_mito_transplanted_2d_round_1,transplanted
81_TA_2023-01_58,48.0,36.0,LHON_mito_transplanted_2d_round_1,transplanted
83_TA_2023-01_60,61.0,40.0,LHON_mito_transplanted_2d_round_1,transplanted
85_TA_2023-01_62,58.0,21.0,LHON_mito_transplanted_2d_round_1,transplanted
88_TA_2023-01_65,39.0,38.0,LHON_mito_transplanted_2d_round_1,transplanted
90_TA_2023-01_67,57.0,45.0,LHON_mito_transplanted_2d_round_1,transplanted
92_TA_2023-01_69,74.0,21.0,LHON_mito_transplanted_2d_round_1,transplanted
94_TA_2023-01_71,41.0,70.0,LHON_mito_transplanted_2d_round_1,transplanted
291_TA_177,2.0,89.0,LHON_mito_transplanted_2d_round_2,transplanted
295_TA_181,72.0,33.0,LHON_mito_transplanted_2d_round_2,transplanted
298_TA_184,33.0,63.0,LHON_mito_transplanted_2d_round_2,transplanted
303_TA_189,11.0,71.0,LHON_mito_transplanted_2d_round_2,transplanted
305_TA_191,38.0,72.0,LHON_mito_transplanted_2d_round_2,transplanted
309_TA_195,84.0,2.0,LHON_mito_transplanted_2d_round_2,transplanted
311_TA_197,64.0,31.0,LHON_mito_transplanted_2d_round_2,transplanted
312_TA_198,7.0,103.0,LHON_mito_transplanted_2d_round_2,transplanted
313_TA_199,69.0,20.0,LHON_mito_transplanted_2d_round_2,transplanted
315_TA_201,74.0,13.0,LHON_mito_transplanted_2d_round_2,transplanted
316_TA_202,64.0,36.0,LHON_mito_transplanted_2d_round_2,transplanted
319_TA_205,52.0,32.0,LHON_mito_transplanted_2d_round_2,transplanted
320_TA_206,31.0,35.0,LHON_mito_transplanted_2d_round_2,transplanted
321_TA_207,48.0,65.0,LHON_mito_transplanted_2d_round_2,transplanted
322_TA_208,30.0,78.0,LHON_mito_transplanted_2d_round_2,transplanted
323_TA_209,17.0,65.0,LHON_mito_transplanted_2d_round_2,transplanted
325_TA_211,18.0,82.0,LHON_mito_transplanted_2d_round_2,transplanted
328_TA_214,10.0,67.0,LHON_mito_transplanted_2d_round_2,transplanted
329_TA_215,85.0,14.0,LHON_mito_transplanted_2d_round_2,transplanted
TA_2025_552,349.0,6.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_553,465.0,15.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_558,278.0,5.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_564,15.0,1.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_566,405.0,0.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_575,258.0,13.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_576,11.0,51.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_580,245.0,0.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_581,28.0,0.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_588,60.0,5.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_589,185.0,19.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_592,54.0,37.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_594,226.0,0.0,LHON_mito_transplanted_2d_protease_round_3,transplanted
TA_2025_597,282.0,1.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_598,452.0,0.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_600,444.0,2.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_602,150.0,7.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_603,114.0,0.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_604,200.0,0.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_607,34.0,0.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_610,243.0,0.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_611,498.0,0.0,Control_LHON_no_mito_transplanted_protease,control
TA_2025_642,4.0,20.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_654,279.0,138.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_625,503.0,136.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_630,10.0,309.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_627,88.0,167.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_646,212.0,126.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_660,330.0,624.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_634,8.0,141.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_653,16.0,437.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_615,7.0,567.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_648,23.0,1.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_620,784.0,4.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_629,7.0,362.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_628,2266.0,111.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_664,6.0,73.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_656,5.0,398.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_649,3.0,499.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_616,4.0,0.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_632,201.0,311.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_645,119.0,14.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_639,720.0,144.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_652,2.0,842.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_650,403.0,210.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_621,233.0,132.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_631,17.0,462.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_623,23.0,1353.0,LHON_mito_transplanted_2d_protease_round_4,transplanted
TA_2025_667,12.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_671,20.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_673,9.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_674,46.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_676,3.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_678,9.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_683,1.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_685,4.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_686,32.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_688,4.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_689,18.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_690,1.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_694,8.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_701,4.0,0.0,Control_LHON_no_mito_transplanted_empty_mito,control
TA_2025_702,12.0,0.0,Control_LHON_no_mito_transplanted_empty_mito,control
TA_2025_710,16.0,0.0,Control_LHON_no_mito_transplanted_empty_mito,control
TA_2025_711,1.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_713,1.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_716,10.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_723,28.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_727,29.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_730,10.0,0.0,LHON_mito_transplanted_2d_empty_mito_round_5,transplanted
TA_2025_735,7.0,0.0,Control_LHON_no_mito_transplanted_empty_mito,control
TA_2025_739,2.0,0.0,Control_LHON_no_mito_transplanted_empty_mito,control
TA_2025_740,2.0,0.0,Control_LHON_no_mito_transplanted_empty_mito,control
TA_2025_741,45.0,0.0,Control_LHON_no_mito_transplanted_empty_mito,control
TA_2025_743,30.0,0.0,Control_LHON_no_mito_transplanted_empty_mito,control
