individual_id,country,lat,lon,date_bp,region,unrelated,coverage,data_source
I10093,Israel,32.584242,35.185456,3750.0,SE,1,2.08,1. Previously published data (ancient)
I10769,Israel,32.584242,35.185456,3450.0,SE,1,3.67,1. Previously published data (ancient)
I10770,Israel,32.584242,35.185456,3450.0,SE,0,3.26,1. Previously published data (ancient)
I3965,Israel,32.7,35.2,3650.0,SE,1,1.78,1. Previously published data (ancient)
I3966,Israel,32.7,35.2,3650.0,SE,1,2.12,1. Previously published data (ancient)
I3985,Jordan,32.133012,35.560909,3280.0,SE,1,2.94,1. Previously published data (ancient)
I6459,Jordan,32.133012,35.560909,3234.0,SE,1,3.02,1. Previously published data (ancient)
I6564,Jordan,32.133012,35.560909,3300.0,SE,1,1.79,1. Previously published data (ancient)
I6566,Jordan,32.133012,35.560909,3300.0,SE,1,3.12,1. Previously published data (ancient)
I6570,Jordan,32.133012,35.560909,3300.0,SE,1,3.36,1. Previously published data (ancient)
I6571,Jordan,32.133012,35.560909,3385.0,SE,1,3.56,1. Previously published data (ancient)
I6572,Jordan,32.133012,35.560909,3300.0,SE,1,2.94,1. Previously published data (ancient)
AV1,Hungary,46.2833333,17.85,1360.0,C,1,3.02,1. Previously published data (ancient)
AV2,Hungary,46.2833333,17.85,1348.0,C,0,2.92,1. Previously published data (ancient)
CL121,Italy,45.0792,7.5783,1345.0,SW,1,3.17,1. Previously published data (ancient)
CL145,Italy,45.0792,7.5783,1345.0,SW,0,2.87,1. Previously published data (ancient)
CL146,Italy,45.0792,7.5783,1345.0,SW,0,3.08,1. Previously published data (ancient)
CL151,Italy,45.0792,7.5783,1345.0,SW,1,1.79,1. Previously published data (ancient)
CL23,Italy,45.0792,7.5783,1345.0,SW,1,3.25,1. Previously published data (ancient)
CL25,Italy,45.0792,7.5783,1345.0,SW,1,1.29,1. Previously published data (ancient)
CL30,Italy,45.0792,7.5783,1345.0,SW,1,2.76,1. Previously published data (ancient)
CL36,Italy,45.0792,7.5783,1345.0,SW,1,1.91,1. Previously published data (ancient)
CL38,Italy,45.0792,7.5783,1345.0,SW,1,2.45,1. Previously published data (ancient)
CL47,Italy,45.0792,7.5783,1345.0,SW,1,2.28,1. Previously published data (ancient)
CL57,Italy,45.0792,7.5783,1345.0,SW,1,1.72,1. Previously published data (ancient)
CL63,Italy,45.0792,7.5783,1345.0,SW,1,2.76,1. Previously published data (ancient)
CL83,Italy,45.0792,7.5783,1345.0,SW,0,1.2,1. Previously published data (ancient)
CL84,Italy,45.0792,7.5783,1345.0,SW,1,2.52,1. Previously published data (ancient)
CL87,Italy,45.0792,7.5783,1345.0,SW,0,3.23,1. Previously published data (ancient)
CL92,Italy,45.0792,7.5783,1345.0,SW,1,1.89,1. Previously published data (ancient)
CL93,Italy,45.0792,7.5783,1345.0,SW,0,2.33,1. Previously published data (ancient)
CL94,Italy,45.0792,7.5783,1345.0,SW,1,2.98,1. Previously published data (ancient)
SZ13,Hungary,46.2833333,17.85,1462.0,C,1,2.92,1. Previously published data (ancient)
SZ16,Hungary,46.2833333,17.85,1442.0,C,1,1.3,1. Previously published data (ancient)
SZ18,Hungary,46.2833333,17.85,1442.0,C,0,1.89,1. Previously published data (ancient)
SZ19,Hungary,46.2833333,17.85,1456.0,C,1,2.65,1. Previously published data (ancient)
SZ22,Hungary,46.2833333,17.85,1442.0,C,0,2.04,1. Previously published data (ancient)
SZ23,Hungary,46.2833333,17.85,1442.0,C,1,2.19,1. Previously published data (ancient)
SZ27,Hungary,46.2833333,17.85,1467.0,C,1,3.22,1. Previously published data (ancient)
SZ28,Hungary,46.2833333,17.85,1442.0,C,1,2.74,1. Previously published data (ancient)
SZ32,Hungary,46.2833333,17.85,1442.0,C,1,2.88,1. Previously published data (ancient)
SZ38,Hungary,46.2833333,17.85,1442.0,C,1,2.42,1. Previously published data (ancient)
SZ40,Hungary,46.2833333,17.85,1442.0,C,1,2.29,1. Previously published data (ancient)
SZ42,Hungary,46.2833333,17.85,1442.0,C,0,3.28,1. Previously published data (ancient)
SZ7,Hungary,46.2833333,17.85,1442.0,C,0,2.18,1. Previously published data (ancient)
SZ9,Hungary,46.2833333,17.85,1442.0,C,1,3.14,1. Previously published data (ancient)
I22935,Slovenia,45.867366,15.279788,2625.0,C,0,1.17,1. Previously published data (ancient)
I23971,Slovenia,45.867366,15.279788,2636.0,C,0,1.08,1. Previously published data (ancient)
I5684,Slovenia,45.867366,15.279788,2617.0,C,1,11.16,1. Previously published data (ancient)
I5685,Slovenia,45.867366,15.279788,2597.0,C,0,14.63,1. Previously published data (ancient)
I5686,Slovenia,45.867366,15.279788,2688.0,C,0,7.0,1. Previously published data (ancient)
BOU12,France,43.52,3.56,4560.0,SW,1,2.72,1. Previously published data (ancient)
BOU32,France,43.52,3.56,4921.0,SW,1,1.33,1. Previously published data (ancient)
BOU33,France,43.52,3.56,4426.0,SW,1,1.41,1. Previously published data (ancient)
