species,M,K,mass_kg,mass_g,K_linear
Pacific bluefin tuna,-3.522878745,-1.1220530483836435,0.3000000001936504,300.0000001936504,0.07549999999776927
Pacific bluefin tuna,-3.301029996,-0.6470460883836435,0.499999999613144,499.999999613144,0.22539999995135324
Pacific bluefin tuna,-3.301029996,-0.7522721673836437,0.499999999613144,499.999999613144,0.1768999998805037
Pacific bluefin tuna,-3.301029996,-0.9854794613836436,0.499999999613144,499.999999613144,0.10339999996629462
Pacific bluefin tuna,-2.958607315,-0.4268962163836436,1.0999999995992407,1099.9999995992407,0.3742000003897703
Pacific bluefin tuna,-2.48148606,-1.0195421073836437,3.3000000009278763,3300.000000927876,0.09560000007489963
Pacific bluefin tuna,-2.48148606,-0.8924508703836437,3.3000000009278763,3300.000000927876,0.12809999996214763
Pacific bluefin tuna,-2.468521083,-0.9161391993836436,3.3999999996691925,3399.9999996691927,0.1212999999301136
Pacific bluefin tuna,-2.366531544,-1.5171264163836438,4.3000000041625634,4300.0000041625635,0.030400000000532165
Pacific bluefin tuna,-2.301029996,-1.6197887583836437,4.99999999613144,4999.999996131441,0.023999999994736308
Pacific bluefin tuna,-2.27572413,-1.5316526693836436,5.300000004871852,5300.000004871852,0.02940000001382346
Pacific bluefin tuna,-2.22184875,-1.0056828473836437,5.999999994699769,5999.999994699769,0.09869999998789122
Pacific bluefin tuna,-2.008773924,-1.6073030463836435,9.800000006938951,9800.000006938952,0.024700000020286376
Pacific bluefin tuna,-1.920818754,-1.4621809053836436,11.99999999868408,11999.99999868408,0.03449999996370282
Pacific bluefin tuna,-1.785156152,-1.3448615653836438,16.399999998198812,16399.99999819881,0.045199999979702324
Pacific bluefin tuna,-1.754487332,-1.6989700043836435,17.600000007531666,17600.000007531664,0.0199999999978068
Pacific bluefin tuna,-1.524328812,-1.7569619513836436,29.899999977663896,29899.999977663894,0.01749999999718183
Alewife,-1.503070352,-1.7653140253836437,31.39999999470648,31399.99999470648,0.017166666678320532
Pacific bluefin tuna,-1.477555766,-1.9100948883836437,33.30000003785345,33300.00003785345,0.012300000005011778
Pacific bluefin tuna,-1.407823243,-2.2365720063836436,39.09999996435969,39099.99996435969,0.005800000000713412
Pacific bluefin tuna,-1.399027104,-2.2441251443836436,39.90000002877943,39900.00002877943,0.005699999999263242
Pacific bluefin tuna,-1.116906641,-2.3098039203836436,76.40000007464357,76400.00007464357,0.004899999995349767
Pacific bluefin tuna,-1.070581074,-1.9788107013836436,85.00000005591856,85000.00005591856,0.010499999989033691
Pacific bluefin tuna,-1.013676223,-2.3665315443836437,96.8999999886732,96899.9999886732,0.004300000000364062
Pacific bluefin tuna,-0.982966661,-2.4685210833836435,103.99999992845142,103999.99992845142,0.0033999999966657295
Pacific bluefin tuna,-0.844663963,-2.3467874863836435,142.99999984686926,142999.99984686926,0.0044999999983526325
Pacific bluefin tuna,-0.787812396,-2.6382721643836438,162.999999848386,162999.999848386,0.0022999999978750726
Pacific bluefin tuna,-0.782516056,-2.4436974993836436,164.99999991873136,164999.99991873137,0.0035999999987488883
Pacific bluefin tuna,-0.772113295,-2.1366771393836435,169.00000015033388,169000.0001503339,0.00730000000833553
Pacific bluefin tuna,-0.769551079,-2.568636235383644,169.9999998519287,169999.9998519287,0.002700000002843453
Pacific bluefin tuna,-0.764471553,-2.1739251973836438,172.00000003661475,172000.00003661474,0.006699999998696852
Pacific bluefin tuna,-0.735182177,-2.5376020023836436,183.99999999595966,183999.99999595966,0.002899999998112941
Pacific bluefin tuna,-0.68613278,-2.455931955383644,205.99999982489854,205999.99982489855,0.0035000000021443555
Rainbow trout,-0.510041521,-2.8239087413836437,308.9999996977307,308999.9996977307,0.0014999999984826255
Smallmouth bass,-0.49757288,-2.574031267383644,318.0000000113987,318000.0000113987,0.002666666668779365
Largemouth bass,-0.288192771,-2.5635722963836436,514.9999999511545,514999.99995115446,0.0027316666693681826
White sucker,-0.246416941,-2.3979400083836437,567.0000001398175,567000.0001398175,0.004000000002656206
Pacific bluefin tuna,-0.210419288,-2.8239087413836437,615.9999997667802,615999.9997667802,0.0014999999984826255
Brook trout,-0.167491087,-2.6320232143836435,680.0000004599627,680000.0004599628,0.002333333335062064
Largemouth bass,-0.075204004,-2.7340036293836434,841.0000003913378,841000.0003913378,0.0018450000005152192
Pacific bluefin tuna,-0.058488567,-2.9586073143836433,874.000000735749,874000.000735749,0.0011000000011603757
Pacific bluefin tuna,-0.040958608,-3.096910013383644,909.9999993271957,909999.9993271957,0.0007999999993081424
Largemouth bass,0.093071306,-2.7777171733836434,1238.9999989271273,1238999.9989271273,0.0016683333314920414
Dolphinfish,0.113943352,-2.5086383063836437,1299.999999081527,1299999.9990815269,0.0030999999984445098
Largemouth bass,0.209515015,-2.8092015693836436,1620.0000017060725,1620000.0017060724,0.0015516666667333267
Largemouth bass,0.21031852,-2.8564647753836434,1623.000000649388,1623000.0006493882,0.0013916666651169979
Largemouth bass,0.248463718,-2.9124551903836435,1772.0000018318708,1772000.0018318708,0.0012233333335697485
Largemouth bass,0.261024834,-3.0473689743836436,1824.0000000319303,1824000.0000319304,0.0008966666673554567
Brown trout,0.379323651,-2.8239087413836437,2395.1000013604457,2395100.0013604457,0.0014999999984826255
Largemouth bass,0.432969291,-3.0307394423836436,2710.0000007837084,2710000.0007837084,0.0009316666669103163
Chum salmon,0.447158031,-2.8297382843836436,2799.9999977936313,2799999.997793631,0.0014800000007544893
Dolphinfish,0.491361694,-2.6989700043836438,3100.000001182964,3100000.001182964,0.001999999999780679
Carp,0.546666025,-3.176091259383644,3520.9999994309887,3520999.999430989,0.0006666666661632254
Lake trout,0.556362815,-3.176091259383644,3600.4999978700143,3600499.9978700145,0.0006666666661632254
Pacific bluefin tuna,0.568201724,-3.1549019603836435,3699.999999429232,3699999.999429232,0.0006999999993586605
Pacific bluefin tuna,0.579783597,-3.3979400083836437,3800.0000033528436,3800000.0033528437,0.00040000000026562055
Pacific bluefin tuna,0.591064607,-2.7958800173836433,3899.999999762035,3899999.999762035,0.0015999999998542256
Pacific bluefin tuna,0.602059991,-2.9585915223836436,3999.9999969793544,3999999.9969793544,0.0011000400005538177
Pacific bluefin tuna,0.602059991,-3.2901875103836433,3999.9999969793544,3999999.9969793544,0.0005126399994667342
Pacific bluefin tuna,0.602059991,-3.2271357643836436,3999.9999969793544,3999999.9969793544,0.0005927399997285926
