epoch_name,project,instrument,start_utc,end_utc,year,duration_h
BM429B,BM429,VLBA,2016-05-29T04:28,2016-05-29T16:26,2016,12.0
BM429C,BM429,VLBA,2016-05-30T04:25,2016-05-30T16:22,2016,11.9
BM429D,BM429,VLBA,2016-05-31T04:21,2016-05-31T16:19,2016,12.0
BM429E,BM429,VLBA,2016-06-01T04:17,2016-06-01T16:15,2016,12.0
BM429F,BM429,VLBA,2016-06-02T04:13,2016-06-02T16:11,2016,12.0
BM429G,BM429,VLBA,2016-06-03T04:09,2016-06-03T16:08,2016,12.0
BR141A,BR141,VLBA,2009-01-23T14:39,2009-01-23T23:24,2009,8.8
BR141B,BR141,VLBA,2009-04-13T09:24,2009-04-13T18:09,2009,8.8
BR141C,BR141,VLBA,2009-07-13T03:27,2009-07-13T12:11,2009,8.7
BR141D,BR141,VLBA,2009-10-31T20:10,2009-11-01T04:55,2009,8.8
BM295A,BM295,VLBA,2009-07-14T03:14,2009-07-14T09:13,2009,6.0
BR148A,BR148,VLBA,2009-06-28T06:00,2009-06-28T14:29,2009,8.5
BS110X,BS110,VLBA,2001-10-15T19:30,2001-10-16T07:29,2001,12.0
BS060AX,BS060,VLBA,1998-08-10T03:30,1998-08-10T08:59,1998,5.5
BS060BX,BS060,VLBA,1998-08-12T03:30,1998-08-12T07:59,1998,4.5
BS060CX,BS060,VLBA,1998-08-14T03:00,1998-08-14T08:36,1998,5.6
RT013A,RT013,EVN,2016-05-31T17:30,2016-06-01T08:30,2016,15.0
RT013B,RT013,EVN,2016-06-01T20:27,2016-06-02T10:06,2016,13.7
RT013C,RT013,EVN,2016-06-02T18:02,2016-06-03T08:30,2016,14.5
