voltage_V,j_spincoated_mAcm2,luminance_spincoated_cdm2,j_assembled_mAcm2,luminance_assembled_cdm2
0.0,-3.41e-06,,-2.69e-06,
0.2,0.000165,,0.000174,
0.4,0.00028,,0.000215,
0.6,0.000375,,0.000288,
0.8,0.000478,,0.000359,
1.0,0.000602,,0.000438,
1.2,0.000674,,0.000471,
1.4,0.000796,,0.000571,
1.6,0.000905,,0.000644,
1.8,0.0,,0.000719,
2.0,0.01,,0.0,
2.2,0.03,,0.03,0.23
2.4,0.17,8.01,0.19,14.66
2.6,0.56,123.1,0.64,174.88
2.8,1.43,654.51,1.63,1031.45
3.0,3.01,1722.81,3.46,2599.53
3.2,5.55,3896.3,6.39,6137.11
3.4,9.29,7012.34,10.77,9760.98
3.6,14.38,11167.32,16.86,17345.21
3.8,20.93,16377.46,24.9,25547.79
4.0,29.02,22515.92,34.99,35345.55
4.2,38.66,28819.28,47.32,46206.29
4.4,49.99,34681.25,61.87,58965.62
4.6,62.85,43607.71,78.64,69938.35
4.8,77.34,50657.58,97.7,77221.16
5.0,93.31,59492.73,118.75,88311.0
5.2,110.47,66531.98,141.73,95397.82
5.4,130.05,71730.77,166.41,100747.59
5.6,150.32,75828.24,192.44,105455.46
5.8,172.25,79252.19,219.53,110363.56
6.0,195.23,82111.91,246.97,114545.14
6.2,218.41,84311.51,269.08,117143.6
6.4,240.06,83656.82,291.95,109063.0
6.6,258.74,84028.8,310.02,108216.55
6.8,260.55,83669.74,318.92,105266.24
7.0,260.79,73000.5,317.6,99439.53
7.2,228.51,65103.74,294.0,87418.76
7.4,189.72,37681.95,212.23,64466.52
7.6,131.8,21902.66,140.76,25902.52
7.8,69.42,9909.66,86.85,12260.18
8.0,38.29,3433.65,62.8,4794.89
