time_h,BHOA,BHOA_F,OLA,POA
0.0,1.0,1.0,0.95,0.98
2.0,0.95,0.98,1.0,1.0
4.0,0.89,0.96,1.0,1.0
6.0,0.83,0.94,1.0,1.0
8.0,0.76,0.93,1.0,1.0
10.0,0.69,0.93,1.0,1.0
14.0,0.6,0.91,0.98,0.98
18.0,0.5,0.9,1.0,1.0
22.0,0.43,0.89,1.0,1.0
26.0,0.35,0.87,1.0,0.96
32.0,0.3,0.88,1.0,1.0
36.0,0.26,0.87,1.0,1.0
42.0,0.24,0.85,1.0,1.0
48.0,0.21,0.85,0.97,0.98
54.0,0.19,0.84,0.92,0.94
72.0,0.17,0.83,0.94,0.96
80.0,0.16,0.83,0.94,0.96
85.0,0.15,0.82,0.92,0.96
97.0,0.15,0.82,0.91,0.96
103.0,0.14,0.81,0.9,0.99
120.0,0.14,0.8,0.89,0.96
144.0,0.12,0.8,0.88,0.96
168.0,0.1,0.78,0.86,0.96
192.0,0.08,0.76,0.84,0.96
216.0,0.05,0.75,0.87,0.98
240.0,0.02,0.72,0.88,0.97
264.0,0.0,0.69,0.84,0.96
288.0,,0.68,0.82,0.96
312.0,,0.66,0.8,0.95
336.0,,0.65,0.79,0.98
360.0,,0.63,0.78,0.95
384.0,,0.64,0.76,0.97
408.0,,0.62,0.75,0.94
432.0,,0.59,0.73,0.94
456.0,,0.58,0.72,0.93
480.0,,0.56,0.67,0.95
504.0,,0.55,0.7,0.93
528.0,,0.53,0.68,0.93
552.0,,0.52,0.68,0.93
576.0,,0.51,0.66,0.93
600.0,,0.48,0.65,0.91
624.0,,0.46,0.63,0.92
648.0,,0.44,0.61,0.91
672.0,,0.42,0.6,0.9
696.0,,0.42,0.59,0.9
720.0,,0.41,0.58,0.88
744.0,,0.41,0.56,0.87
768.0,,0.4,0.57,0.86
